,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년11월_계_총인구수,"295,462","26,941","28,965","19,314","15,782","19,067","23,183","27,834","19,858","35,050","20,872","33,133","25,463"
2021년11월_계_연령구간인구수,"295,462","26,941","28,965","19,314","15,782","19,067","23,183","27,834","19,858","35,050","20,872","33,133","25,463"
2021년11월_계_0~9세,"17,343","1,527","1,720",731,580,821,"1,426","1,654",946,"2,593","1,329","1,525","2,491"
2021년11월_계_10~19세,"25,561","2,297","2,583","1,184",903,"1,409","2,508","2,645","1,358","3,561","1,704","2,540","2,869"
2021년11월_계_20~29세,"42,455","3,661","4,100","2,859","2,375","3,193","3,710","4,099","2,804","5,169","2,877","4,870","2,738"
2021년11월_계_30~39세,"37,936","3,406","3,387","2,437","2,147","2,777","2,538","3,407","2,768","4,777","2,508","4,286","3,498"
2021년11월_계_40~49세,"44,532","3,809","4,252","2,626","1,963","2,434","3,811","4,256","2,624","5,818","3,074","4,760","5,105"
2021년11월_계_50~59세,"59,480","5,296","5,820","4,129","3,324","4,114","5,158","5,601","3,974","6,997","4,162","6,933","3,972"
2021년11월_계_60~69세,"43,344","4,385","4,522","3,370","2,917","3,019","2,758","4,038","3,383","3,932","3,160","4,842","3,018"
2021년11월_계_70~79세,"15,764","1,653","1,750","1,306","1,047",777,645,"1,360","1,314","1,318","1,295","2,107","1,192"
2021년11월_계_80~89세,"7,811",787,736,595,446,451,510,674,598,758,651,"1,109",496
2021년11월_계_90~99세,"1,210",115,91,75,80,71,116,99,88,124,111,156,84
2021년11월_계_100세 이상,26,5,4,2,0,1,3,1,1,3,1,5,0
2021년11월_남_총인구수,"147,171","13,523","14,653","10,175","7,859","9,125","11,714","13,642","9,805","17,441","10,329","16,371","12,534"
2021년11월_남_연령구간인구수,"147,171","13,523","14,653","10,175","7,859","9,125","11,714","13,642","9,805","17,441","10,329","16,371","12,534"
2021년11월_남_0~9세,"8,818",772,892,390,279,418,725,825,468,"1,318",707,770,"1,254"
2021년11월_남_10~19세,"13,061","1,203","1,321",617,475,742,"1,264","1,344",698,"1,762",872,"1,272","1,491"
2021년11월_남_20~29세,"22,312","1,949","2,262","1,541","1,214","1,632","1,950","2,153","1,454","2,732","1,472","2,577","1,376"
2021년11월_남_30~39세,"19,847","1,762","1,816","1,389","1,171","1,417","1,307","1,732","1,497","2,505","1,274","2,284","1,693"
2021년11월_남_40~49세,"22,265","1,924","2,118","1,431","1,017","1,108","1,878","2,076","1,347","2,836","1,547","2,339","2,644"
2021년11월_남_50~59세,"28,853","2,591","2,820","2,204","1,577","1,809","2,553","2,674","1,881","3,417","2,012","3,389","1,926"
2021년11월_남_60~69세,"22,056","2,247","2,308","1,768","1,465","1,511","1,564","1,993","1,644","2,058","1,608","2,486","1,404"
2021년11월_남_70~79세,"7,162",778,836,625,490,344,308,620,585,560,581,891,544
2021년11월_남_80~89세,"2,538",267,265,189,154,127,146,200,214,228,239,330,179
2021년11월_남_90~99세,253,29,15,21,17,16,18,24,17,24,17,32,23
2021년11월_남_100세 이상,6,1,0,0,0,1,1,1,0,1,0,1,0
2021년11월_여_총인구수,"148,291","13,418","14,312","9,139","7,923","9,942","11,469","14,192","10,053","17,609","10,543","16,762","12,929"
2021년11월_여_연령구간인구수,"148,291","13,418","14,312","9,139","7,923","9,942","11,469","14,192","10,053","17,609","10,543","16,762","12,929"
2021년11월_여_0~9세,"8,525",755,828,341,301,403,701,829,478,"1,275",622,755,"1,237"
2021년11월_여_10~19세,"12,500","1,094","1,262",567,428,667,"1,244","1,301",660,"1,799",832,"1,268","1,378"
2021년11월_여_20~29세,"20,143","1,712","1,838","1,318","1,161","1,561","1,760","1,946","1,350","2,437","1,405","2,293","1,362"
2021년11월_여_30~39세,"18,089","1,644","1,571","1,048",976,"1,360","1,231","1,675","1,271","2,272","1,234","2,002","1,805"
2021년11월_여_40~49세,"22,267","1,885","2,134","1,195",946,"1,326","1,933","2,180","1,277","2,982","1,527","2,421","2,461"
2021년11월_여_50~59세,"30,627","2,705","3,000","1,925","1,747","2,305","2,605","2,927","2,093","3,580","2,150","3,544","2,046"
2021년11월_여_60~69세,"21,288","2,138","2,214","1,602","1,452","1,508","1,194","2,045","1,739","1,874","1,552","2,356","1,614"
2021년11월_여_70~79세,"8,602",875,914,681,557,433,337,740,729,758,714,"1,216",648
2021년11월_여_80~89세,"5,273",520,471,406,292,324,364,474,384,530,412,779,317
2021년11월_여_90~99세,957,86,76,54,63,55,98,75,71,100,94,124,61
2021년11월_여_100세 이상,20,4,4,2,0,0,2,0,1,2,1,4,0
