카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년03월_계_총인구수,"2,115,823","657,549","256,931","400,618","103,839","99,234","317,933","175,650","115,573","43,182","166,186","50,953","64,626","51,361","30,625","99,756","77,585","61,771"
2021년03월_계_연령구간인구수,"2,115,823","657,549","256,931","400,618","103,839","99,234","317,933","175,650","115,573","43,182","166,186","50,953","64,626","51,361","30,625","99,756","77,585","61,771"
2021년03월_계_0~9세,"169,781","61,228","19,976","41,252","5,651","5,959","32,393","15,244","7,113","3,917","15,263","2,492","2,863","2,258","1,241","7,614","3,554","2,991"
2021년03월_계_10~19세,"201,595","68,021","26,018","42,003","8,103","8,156","34,704","17,148","9,687","6,294","15,652","4,269","4,584","3,423","1,999","9,546","5,660","4,349"
2021년03월_계_20~29세,"240,801","95,866","35,040","60,826","11,030","9,374","36,899","19,071","11,157","4,918","15,985","3,925","5,269","3,769","2,548","9,459","6,702","4,829"
2021년03월_계_30~39세,"265,022","104,158","32,715","71,443","9,347","9,179","48,118","21,925","10,543","4,690","22,484","3,605","4,277","3,361","2,050","10,343","6,015","4,927"
2021년03월_계_40~49세,"327,135","111,897","42,560","69,337","13,157","13,741","56,977","27,847","15,117","8,385","26,741","6,121","7,038","5,687","3,049","14,410","9,368","7,600"
2021년03월_계_50~59세,"337,907","102,621","43,376","59,245","18,163","16,866","46,564","28,371","19,360","6,999","26,009","8,864","10,597","8,376","5,192","15,800","13,401","10,724"
2021년03월_계_60~69세,"286,395","65,907","32,312","33,595","18,747","17,400","32,962","22,573","20,306","4,591","21,558","10,074","13,251","10,333","6,260","15,114","15,047","12,272"
2021년03월_계_70~79세,"171,028","30,234","15,582","14,652","11,415","11,233","18,063","13,946","12,938","2,083","13,220","6,790","9,351","7,997","4,494","10,082","10,319","8,863"
2021년03월_계_80~89세,"101,096","15,290","8,089","7,201","7,139","6,330","9,871","8,254","8,128","1,121","8,054","4,247","6,380","5,286","3,335","6,466","6,642","4,553"
2021년03월_계_90~99세,"14,544","2,232","1,208","1,024","1,049",953,"1,329","1,234","1,176",181,"1,170",557,983,847,450,891,849,643
2021년03월_계_100세 이상,519,95,55,40,38,43,53,37,48,3,50,9,33,24,7,31,28,20
2021년03월_남_총인구수,"1,080,841","335,763","130,221","205,542","51,972","50,329","165,144","91,548","57,835","21,516","88,279","25,692","32,077","25,385","15,544","49,649","39,006","31,102"
2021년03월_남_연령구간인구수,"1,080,841","335,763","130,221","205,542","51,972","50,329","165,144","91,548","57,835","21,516","88,279","25,692","32,077","25,385","15,544","49,649","39,006","31,102"
2021년03월_남_0~9세,"86,924","31,332","10,284","21,048","2,929","3,001","16,612","7,809","3,632","1,986","7,770","1,271","1,525","1,133",634,"3,973","1,835","1,482"
2021년03월_남_10~19세,"104,686","35,219","13,542","21,677","4,191","4,242","17,849","9,104","5,014","3,305","8,232","2,218","2,429","1,763","1,054","4,890","2,936","2,240"
2021년03월_남_20~29세,"132,916","50,399","18,574","31,825","6,061","5,508","20,541","11,332","6,241","2,742","9,296","2,258","3,035","2,186","1,486","5,207","3,785","2,839"
2021년03월_남_30~39세,"142,787","55,371","17,195","38,176","5,027","4,988","25,707","12,173","5,603","2,336","12,865","1,907","2,326","1,889","1,164","5,361","3,340","2,730"
2021년03월_남_40~49세,"174,570","57,988","21,976","36,012","6,951","7,522","30,979","14,922","8,019","4,076","15,075","3,357","3,835","3,103","1,787","7,530","5,150","4,276"
2021년03월_남_50~59세,"178,806","52,659","22,097","30,562","9,364","9,000","25,185","15,192","10,240","3,517","14,631","4,909","5,582","4,569","2,846","8,276","7,189","5,647"
2021년03월_남_60~69세,"143,402","33,307","16,248","17,059","9,394","8,545","16,457","11,320","10,246","2,227","11,042","5,136","6,637","5,049","3,206","7,422","7,487","5,927"
2021년03월_남_70~79세,"77,776","13,699","7,163","6,536","5,253","5,045","8,038","6,536","5,782",927,"6,191","3,098","4,201","3,582","2,048","4,492","4,672","4,212"
2021년03월_남_80~89세,"35,483","5,275","2,845","2,430","2,521","2,265","3,470","2,908","2,755",360,"2,875","1,411","2,258","1,906","1,191","2,269","2,405","1,614"
2021년03월_남_90~99세,"3,403",492,283,209,273,206,298,249,293,40,294,126,246,203,126,224,203,130
2021년03월_남_100세 이상,88,22,14,8,8,7,8,3,10,0,8,1,3,2,2,5,4,5
2021년03월_여_총인구수,"1,034,982","321,786","126,710","195,076","51,867","48,905","152,789","84,102","57,738","21,666","77,907","25,261","32,549","25,976","15,081","50,107","38,579","30,669"
2021년03월_여_연령구간인구수,"1,034,982","321,786","126,710","195,076","51,867","48,905","152,789","84,102","57,738","21,666","77,907","25,261","32,549","25,976","15,081","50,107","38,579","30,669"
2021년03월_여_0~9세,"82,857","29,896","9,692","20,204","2,722","2,958","15,781","7,435","3,481","1,931","7,493","1,221","1,338","1,125",607,"3,641","1,719","1,509"
2021년03월_여_10~19세,"96,909","32,802","12,476","20,326","3,912","3,914","16,855","8,044","4,673","2,989","7,420","2,051","2,155","1,660",945,"4,656","2,724","2,109"
2021년03월_여_20~29세,"107,885","45,467","16,466","29,001","4,969","3,866","16,358","7,739","4,916","2,176","6,689","1,667","2,234","1,583","1,062","4,252","2,917","1,990"
2021년03월_여_30~39세,"122,235","48,787","15,520","33,267","4,320","4,191","22,411","9,752","4,940","2,354","9,619","1,698","1,951","1,472",886,"4,982","2,675","2,197"
2021년03월_여_40~49세,"152,565","53,909","20,584","33,325","6,206","6,219","25,998","12,925","7,098","4,309","11,666","2,764","3,203","2,584","1,262","6,880","4,218","3,324"
2021년03월_여_50~59세,"159,101","49,962","21,279","28,683","8,799","7,866","21,379","13,179","9,120","3,482","11,378","3,955","5,015","3,807","2,346","7,524","6,212","5,077"
2021년03월_여_60~69세,"142,993","32,600","16,064","16,536","9,353","8,855","16,505","11,253","10,060","2,364","10,516","4,938","6,614","5,284","3,054","7,692","7,560","6,345"
2021년03월_여_70~79세,"93,252","16,535","8,419","8,116","6,162","6,188","10,025","7,410","7,156","1,156","7,029","3,692","5,150","4,415","2,446","5,590","5,647","4,651"
2021년03월_여_80~89세,"65,613","10,015","5,244","4,771","4,618","4,065","6,401","5,346","5,373",761,"5,179","2,836","4,122","3,380","2,144","4,197","4,237","2,939"
2021년03월_여_90~99세,"11,141","1,740",925,815,776,747,"1,031",985,883,141,876,431,737,644,324,667,646,513
2021년03월_여_100세 이상,431,73,41,32,30,36,45,34,38,3,42,8,30,22,5,26,24,15
