,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년01월_계_총인구수,"92,945","16,916","19,831","2,899","3,052","13,096","15,690","6,920","4,538","10,003"
2021년01월_계_연령구간인구수,"92,945","16,916","19,831","2,899","3,052","13,096","15,690","6,920","4,538","10,003"
2021년01월_계_0~9세,"5,832",895,"1,276",49,66,"1,565","1,079",236,176,490
2021년01월_계_10~19세,"7,615","1,377","1,978",116,139,"1,039","1,552",426,230,758
2021년01월_계_20~29세,"9,431","1,731","2,222",158,167,"1,404","1,794",603,335,"1,017"
2021년01월_계_30~39세,"9,587","1,502","1,951",169,177,"2,367","1,692",560,315,854
2021년01월_계_40~49세,"13,673","2,298","3,284",221,227,"2,195","2,822",876,476,"1,274"
2021년01월_계_50~59세,"17,696","3,211","3,913",530,536,"1,829","3,250","1,559",917,"1,951"
2021년01월_계_60~69세,"15,382","3,117","2,845",704,796,"1,510","2,018","1,420","1,047","1,925"
2021년01월_계_70~79세,"8,249","1,746","1,439",536,530,719,898,733,586,"1,062"
2021년01월_계_80~89세,"4,693",894,797,362,354,382,511,438,385,570
2021년01월_계_90~99세,729,138,111,51,56,69,74,65,66,99
2021년01월_계_100세 이상,58,7,15,3,4,17,0,4,5,3
2021년01월_남_총인구수,"49,247","8,642","10,574","1,477","1,592","6,989","8,572","3,843","2,461","5,097"
2021년01월_남_연령구간인구수,"49,247","8,642","10,574","1,477","1,592","6,989","8,572","3,843","2,461","5,097"
2021년01월_남_0~9세,"3,043",469,663,24,28,829,558,138,93,241
2021년01월_남_10~19세,"3,936",689,"1,066",62,88,522,808,233,114,354
2021년01월_남_20~29세,"5,503",987,"1,328",93,99,741,"1,088",368,219,580
2021년01월_남_30~39세,"5,370",820,"1,090",108,100,"1,270",970,350,196,466
2021년01월_남_40~49세,"7,687","1,244","1,802",144,154,"1,220","1,560",559,294,710
2021년01월_남_50~59세,"9,865","1,705","2,219",292,295,"1,008","1,879",901,527,"1,039"
2021년01월_남_60~69세,"8,139","1,588","1,463",369,437,862,"1,098",782,561,979
2021년01월_남_70~79세,"3,903",804,631,243,263,358,423,361,299,521
2021년01월_남_80~89세,"1,595",294,278,131,114,150,167,137,139,185
2021년01월_남_90~99세,180,39,30,11,13,15,21,12,17,22
2021년01월_남_100세 이상,26,3,4,0,1,14,0,2,2,0
2021년01월_여_총인구수,"43,698","8,274","9,257","1,422","1,460","6,107","7,118","3,077","2,077","4,906"
2021년01월_여_연령구간인구수,"43,698","8,274","9,257","1,422","1,460","6,107","7,118","3,077","2,077","4,906"
2021년01월_여_0~9세,"2,789",426,613,25,38,736,521,98,83,249
2021년01월_여_10~19세,"3,679",688,912,54,51,517,744,193,116,404
2021년01월_여_20~29세,"3,928",744,894,65,68,663,706,235,116,437
2021년01월_여_30~39세,"4,217",682,861,61,77,"1,097",722,210,119,388
2021년01월_여_40~49세,"5,986","1,054","1,482",77,73,975,"1,262",317,182,564
2021년01월_여_50~59세,"7,831","1,506","1,694",238,241,821,"1,371",658,390,912
2021년01월_여_60~69세,"7,243","1,529","1,382",335,359,648,920,638,486,946
2021년01월_여_70~79세,"4,346",942,808,293,267,361,475,372,287,541
2021년01월_여_80~89세,"3,098",600,519,231,240,232,344,301,246,385
2021년01월_여_90~99세,549,99,81,40,43,54,53,53,49,77
2021년01월_여_100세 이상,32,4,11,3,3,3,0,2,3,3
