,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년09월_계_총인구수,"557,450","28,427","43,678","24,385","27,118","11,360","3,667","31,629","6,610","5,178","44,324","25,435","21,355","12,918","22,052","7,048","5,749","22,928","10,618","4,114","89,129","54,095","26,075","29,558"
2021년09월_계_연령구간인구수,"557,450","28,427","43,678","24,385","27,118","11,360","3,667","31,629","6,610","5,178","44,324","25,435","21,355","12,918","22,052","7,048","5,749","22,928","10,618","4,114","89,129","54,095","26,075","29,558"
2021년09월_계_0~9세,"49,777","1,607","3,724","1,775","3,897",447,116,"3,777",291,143,"2,739","1,225","2,545",641,"1,547",583,159,979,527,115,"11,293","5,649","3,417","2,581"
2021년09월_계_10~19세,"53,945","1,854","5,706","1,901","3,330",801,203,"2,248",475,267,"4,743","2,250","1,883",898,"2,121",473,281,"1,689",632,215,"9,728","6,190","3,193","2,864"
2021년09월_계_20~29세,"77,286","3,225","5,896","3,311","2,404","1,480",346,"4,969",679,431,"7,443","3,719","2,831","2,552","2,963","1,057",718,"4,110","1,621",623,"11,610","7,211","3,633","4,454"
2021년09월_계_30~39세,"84,772","3,218","5,553","3,865","4,651","1,346",344,"6,840",601,343,"5,399","3,058","3,804","2,346","2,567","1,225",664,"3,007","1,469",425,"16,936","7,983","4,744","4,384"
2021년09월_계_40~49세,"96,407","4,106","8,359","4,640","5,639","1,683",460,"5,003",862,590,"7,441","4,116","3,818","2,156","3,668","1,128",771,"3,396","1,565",527,"17,061","9,420","5,308","4,690"
2021년09월_계_50~59세,"89,792","5,147","7,187","3,981","3,070","2,127",666,"4,324","1,242",927,"8,226","4,824","3,370","2,001","4,079","1,086",984,"4,214","1,853",776,"12,179","8,825","3,343","5,361"
2021년09월_계_60~69세,"59,932","4,741","4,078","2,833","2,339","1,890",777,"2,654","1,246","1,156","4,819","3,425","1,955","1,253","2,929",781,"1,030","3,111","1,590",772,"6,505","5,323","1,598","3,127"
2021년09월_계_70~79세,"28,663","2,738","1,961","1,296","1,092","1,015",460,"1,158",690,790,"2,264","1,795",716,717,"1,378",441,678,"1,560",885,449,"2,497","2,200",559,"1,324"
