,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년07월_계_총인구수,"658,280","259,219","24,224","4,165","4,344","4,370","3,289","2,328","6,135","2,154","5,563","3,678","8,876","9,516","18,043","24,617","45,188","56,068","36,661","399,061","24,777","22,120","19,386","8,697","16,293","25,708","14,218","38,268","19,212","40,912","69,983","42,895","56,592"
2020년07월_계_연령구간인구수,"658,280","259,219","24,224","4,165","4,344","4,370","3,289","2,328","6,135","2,154","5,563","3,678","8,876","9,516","18,043","24,617","45,188","56,068","36,661","399,061","24,777","22,120","19,386","8,697","16,293","25,708","14,218","38,268","19,212","40,912","69,983","42,895","56,592"
2020년07월_계_0~9세,"63,446","21,082","1,791",151,122,152,90,59,264,32,175,94,434,302,"1,102","2,297","4,963","6,228","2,826","42,364","1,325","1,969","1,403",317,807,"1,008",925,"3,584","1,530","5,883","10,636","3,661","9,316"
2020년07월_계_10~19세,"69,069","26,635","2,837",245,202,252,180,92,349,83,307,177,705,723,"1,452","3,302","5,916","7,035","2,778","42,434","2,359","2,436","1,895",585,"1,088","1,410","1,273","5,077","2,408","5,639","9,305","3,992","4,967"
2020년07월_계_20~29세,"96,063","35,500","2,768",390,382,381,257,198,764,137,552,498,"1,118","1,168","2,856","2,996","6,244","7,227","7,564","60,563","2,857","2,560","2,389",930,"2,461","6,509","2,522","5,985","2,726","5,173","8,823","9,368","8,260"
2020년07월_계_30~39세,"106,891","34,003","2,564",331,295,340,212,175,576,97,494,403,905,929,"2,481","2,738","7,060","8,739","5,664","72,888","2,279","3,059","2,676",733,"2,251","5,643","1,934","5,289","2,454","7,194","15,139","8,368","15,869"
2020년07월_계_40~49세,"112,094","43,350","4,589",463,460,530,340,236,758,184,695,486,"1,279","1,394","2,958","4,617","9,071","10,212","5,078","68,744","3,906","4,200","3,538","1,151","2,483","3,779","1,959","6,853","3,264","7,759","13,883","6,949","9,020"
2020년07월_계_50~59세,"102,687","44,052","4,376",797,899,896,651,461,"1,200",455,"1,105",701,"1,776","1,933","3,335","4,207","6,748","8,382","6,130","58,635","4,309","3,695","3,453","1,811","3,185","3,561","2,622","6,672","3,535","5,604","8,379","6,140","5,669"
2020년07월_계_60~69세,"61,103","30,063","2,756",897,964,900,738,497,"1,104",494,"1,165",710,"1,416","1,511","2,320","2,524","3,142","4,912","4,013","31,040","3,851","2,346","2,183","1,582","2,268","2,361","1,859","3,008","1,866","2,328","2,491","2,614","2,283"
2020년07월_계_70~79세,"29,845","15,426","1,520",509,573,517,484,328,628,369,710,397,806,"1,001","1,054","1,285","1,297","2,181","1,767","14,419","2,468","1,191","1,144",965,"1,205",968,743,"1,153",879,877,864,"1,180",782
2020년07월_계_80~89세,"14,784","7,872",903,333,381,347,293,255,411,254,310,185,374,493,412,566,653,974,728,"6,912","1,236",578,629,525,482,395,320,577,470,391,388,550,371
2020년07월_계_90~99세,"2,128","1,150",120,49,64,54,41,25,73,45,39,25,54,57,63,79,91,167,104,978,157,84,72,83,55,68,60,65,78,62,72,68,54
2020년07월_계_100세 이상,170,86,0,0,2,1,3,2,8,4,11,2,9,5,10,6,3,11,9,84,30,2,4,15,8,6,1,5,2,2,3,5,1
2020년07월_남_총인구수,"335,655","131,361","12,387","2,244","2,192","2,253","1,723","1,262","3,238","1,154","2,933","1,943","4,612","4,900","9,218","12,300","23,020","28,050","17,932","204,294","12,855","11,564","10,533","4,649","8,594","13,732","7,002","18,803","9,311","20,471","35,060","22,085","29,635"
2020년07월_남_연령구간인구수,"335,655","131,361","12,387","2,244","2,192","2,253","1,723","1,262","3,238","1,154","2,933","1,943","4,612","4,900","9,218","12,300","23,020","28,050","17,932","204,294","12,855","11,564","10,533","4,649","8,594","13,732","7,002","18,803","9,311","20,471","35,060","22,085","29,635"
2020년07월_남_0~9세,"32,370","10,833",915,81,62,76,47,29,129,17,90,49,242,151,577,"1,169","2,580","3,188","1,431","21,537",679,975,725,159,425,516,491,"1,800",759,"2,960","5,434","1,872","4,742"
2020년07월_남_10~19세,"35,793","13,829","1,495",127,121,128,89,52,185,53,165,84,412,394,774,"1,694","3,094","3,593","1,369","21,964","1,252","1,247","1,009",320,520,729,648,"2,674","1,300","2,925","4,743","2,059","2,538"
2020년07월_남_20~29세,"50,377","18,842","1,539",246,209,229,146,114,503,86,302,260,628,662,"1,485","1,663","3,371","3,782","3,617","31,535","1,626","1,423","1,423",561,"1,357","3,281","1,281","3,125","1,429","2,699","4,378","4,753","4,199"
2020년07월_남_30~39세,"56,705","17,816","1,335",199,160,200,134,115,349,55,289,245,496,567,"1,367","1,284","3,703","4,390","2,928","38,889","1,257","1,642","1,596",466,"1,317","3,411","1,039","2,623","1,216","3,463","7,515","4,691","8,653"
2020년07월_남_40~49세,"57,825","22,325","2,379",283,249,287,213,163,440,127,399,287,681,731,"1,529","2,302","4,581","5,099","2,575","35,500","2,166","2,268","2,019",675,"1,364","2,134",971,"3,203","1,537","3,911","6,798","3,529","4,925"
2020년07월_남_50~59세,"52,785","22,556","2,349",443,480,495,363,271,615,265,640,391,923,999,"1,714","2,139","3,422","4,170","2,877","30,229","2,332","2,016","1,878",998,"1,725","1,905","1,201","3,180","1,688","2,812","4,367","3,145","2,982"
2020년07월_남_60~69세,"30,784","15,104","1,379",490,511,457,400,270,581,269,583,382,695,728,"1,161","1,261","1,531","2,452","1,954","15,680","1,917","1,223","1,137",804,"1,148","1,201",912,"1,493",915,"1,171","1,289","1,298","1,172"
2020년07월_남_70~79세,"13,407","7,037",668,255,263,248,231,146,272,176,326,169,388,459,464,583,531,992,866,"6,370","1,117",542,498,442,545,419,331,498,329,407,392,528,322
2020년07월_남_80~89세,"5,075","2,732",297,108,120,123,93,97,146,96,122,65,131,194,132,185,183,346,294,"2,343",463,208,230,191,174,124,112,188,126,107,130,195,95
2020년07월_남_90~99세,488,264,31,12,17,10,6,5,17,9,13,11,14,13,12,16,23,35,20,224,37,20,18,31,16,12,16,16,11,15,13,12,7
2020년07월_남_100세 이상,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0
2020년07월_여_총인구수,"322,625","127,858","11,837","1,921","2,152","2,117","1,566","1,066","2,897","1,000","2,630","1,735","4,264","4,616","8,825","12,317","22,168","28,018","18,729","194,767","11,922","10,556","8,853","4,048","7,699","11,976","7,216","19,465","9,901","20,441","34,923","20,810","26,957"
