카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  반곡동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년12월_계_총인구수,"371,895","43,262","2,812","3,112","6,152","8,975","6,994","7,380","5,523","3,368","2,270","18,615","38,186","33,331","8,569","23,349","29,139","34,171","20,406","17,586","19,022","11,315","28,358"
2021년12월_계_연령구간인구수,"371,895","43,262","2,812","3,112","6,152","8,975","6,994","7,380","5,523","3,368","2,270","18,615","38,186","33,331","8,569","23,349","29,139","34,171","20,406","17,586","19,022","11,315","28,358"
2021년12월_계_0~9세,"47,063","2,983",98,93,307,331,248,312,181,68,84,"2,323","5,513","4,041","1,674","3,188","4,288","5,652","3,450","2,962","2,895","1,631","4,741"
2021년12월_계_10~19세,"45,794","4,151",92,116,345,369,310,405,350,106,169,"3,276","5,409","4,643","1,032","4,392","4,283","4,984","2,510","1,487","2,596","1,114","3,655"
2021년12월_계_20~29세,"38,510","6,489",402,280,708,925,997,842,544,272,242,"1,686","4,217","4,002",592,"1,828","2,482","2,458","1,707","2,222","1,810","1,326","2,479"
2021년12월_계_30~39세,"61,719","5,400",377,296,733,933,952,711,465,226,183,"2,341","7,145","5,578","1,833","3,204","5,085","5,944","4,231","4,811","3,324","2,161","5,786"
2021년12월_계_40~49세,"72,764","6,792",318,315,796,"1,013",954,858,641,302,289,"4,264","8,293","7,074","1,909","5,791","6,271","7,721","4,203","2,978","3,948","2,072","5,962"
2021년12월_계_50~59세,"48,876","6,739",529,511,"1,063","1,598","1,310","1,208","1,008",663,428,"2,761","4,512","4,284",862,"2,917","3,447","3,645","2,334","1,817","2,424","1,698","3,118"
2021년12월_계_60~69세,"33,522","5,733",551,709,"1,114","1,866","1,187","1,470","1,088",878,425,"1,229","2,107","2,271",416,"1,344","2,091","2,579","1,394",912,"1,392",916,"1,850"
2021년12월_계_70~79세,"14,775","3,104",254,416,618,"1,118",605,901,652,484,249,496,654,927,172,482,800,895,430,256,446,257,559
2021년12월_계_80~89세,"7,557","1,619",160,316,405,697,376,589,514,314,176,202,267,423,70,169,350,241,117,109,155,118,170
2021년12월_계_90~99세,"1,288",243,30,60,62,120,54,82,77,55,25,36,69,88,9,32,42,52,29,31,32,22,38
2021년12월_계_100세 이상,27,9,1,0,1,5,1,2,3,0,0,1,0,0,0,2,0,0,1,1,0,0,0
2021년12월_남_총인구수,"185,678","22,520","1,599","1,636","3,393","4,770","4,050","4,042","2,952","1,813","1,204","9,151","18,549","16,051","4,192","11,578","14,168","16,731","10,048","8,662","9,302","5,642","13,625"
2021년12월_남_연령구간인구수,"185,678","22,520","1,599","1,636","3,393","4,770","4,050","4,042","2,952","1,813","1,204","9,151","18,549","16,051","4,192","11,578","14,168","16,731","10,048","8,662","9,302","5,642","13,625"
2021년12월_남_0~9세,"23,984","1,538",49,45,155,168,129,154,95,30,41,"1,207","2,769","2,064",860,"1,657","2,219","2,875","1,735","1,501","1,460",874,"2,359"
2021년12월_남_10~19세,"23,081","2,136",47,62,186,183,142,215,198,59,78,"1,666","2,644","2,330",521,"2,327","2,110","2,547","1,245",718,"1,325",559,"1,783"
2021년12월_남_20~29세,"19,728","3,715",233,177,463,540,633,558,340,148,144,847,"1,976","1,769",264,899,"1,176","1,231",873,"1,011",886,680,"1,165"
2021년12월_남_30~39세,"30,131","2,997",248,182,464,566,645,449,288,139,119,"1,060","3,298","2,648",847,"1,433","2,412","2,746","1,984","2,376","1,508","1,055","2,667"
2021년12월_남_40~49세,"36,831","3,639",214,189,506,624,653,513,375,193,178,"2,010","4,109","3,374",964,"2,749","3,076","3,862","2,116","1,529","1,944","1,055","2,959"
