카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년03월_계_총인구수,"29,546","10,792","5,529","2,505","2,101","3,347","1,962","1,553","1,757"
2020년03월_계_연령구간인구수,"29,546","10,792","5,529","2,505","2,101","3,347","1,962","1,553","1,757"
2020년03월_계_0~9세,"1,273",678,281,60,56,91,51,21,35
2020년03월_계_10~19세,"2,073",991,423,106,141,178,88,39,107
2020년03월_계_20~29세,"2,388","1,182",511,126,109,159,101,83,117
2020년03월_계_30~39세,"2,141","1,074",444,114,92,168,87,76,86
2020년03월_계_40~49세,"3,475","1,539",737,199,195,360,163,132,150
2020년03월_계_50~59세,"5,792","2,032","1,005",543,417,693,426,310,366
2020년03월_계_60~69세,"6,095","1,745",977,632,538,802,525,434,442
2020년03월_계_70~79세,"3,921",982,754,443,358,551,319,258,256
2020년03월_계_80~89세,"2,101",495,358,237,174,305,183,176,173
2020년03월_계_90~99세,264,72,38,39,18,37,18,24,18
2020년03월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년03월_남_총인구수,"14,958","5,422","2,862","1,239","1,127","1,608","1,060",785,855
2020년03월_남_연령구간인구수,"14,958","5,422","2,862","1,239","1,127","1,608","1,060",785,855
2020년03월_남_0~9세,659,345,153,31,34,45,23,11,17
2020년03월_남_10~19세,"1,095",503,222,55,99,96,57,14,49
2020년03월_남_20~29세,"1,395",673,309,62,63,97,71,44,76
2020년03월_남_30~39세,"1,148",556,249,55,56,94,52,47,39
2020년03월_남_40~49세,"1,926",818,431,116,110,182,102,84,83
2020년03월_남_50~59세,"3,052","1,066",538,296,222,351,223,166,190
2020년03월_남_60~69세,"3,140",855,488,334,280,384,312,249,238
2020년03월_남_70~79세,"1,739",419,323,191,193,253,145,111,104
2020년03월_남_80~89세,730,171,139,86,65,99,66,52,52
2020년03월_남_90~99세,66,14,9,11,5,6,8,7,6
2020년03월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년03월_여_총인구수,"14,588","5,370","2,667","1,266",974,"1,739",902,768,902
2020년03월_여_연령구간인구수,"14,588","5,370","2,667","1,266",974,"1,739",902,768,902
2020년03월_여_0~9세,614,333,128,29,22,46,28,10,18
2020년03월_여_10~19세,978,488,201,51,42,82,31,25,58
2020년03월_여_20~29세,993,509,202,64,46,62,30,39,41
2020년03월_여_30~39세,993,518,195,59,36,74,35,29,47
2020년03월_여_40~49세,"1,549",721,306,83,85,178,61,48,67
2020년03월_여_50~59세,"2,740",966,467,247,195,342,203,144,176
2020년03월_여_60~69세,"2,955",890,489,298,258,418,213,185,204
2020년03월_여_70~79세,"2,182",563,431,252,165,298,174,147,152
2020년03월_여_80~89세,"1,371",324,219,151,109,206,117,124,121
2020년03월_여_90~99세,198,58,29,28,13,31,10,17,12
2020년03월_여_100세 이상,15,0,0,4,3,2,0,0,6
