,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년04월_계_총인구수,"531,526","32,395","36,489","28,833","15,707","23,426","22,521","28,976","29,295","16,040","25,210","18,311","22,014","16,041","25,420","20,784","40,060","21,740","32,739","33,292","42,233"
2020년04월_계_연령구간인구수,"531,526","32,395","36,489","28,833","15,707","23,426","22,521","28,976","29,295","16,040","25,210","18,311","22,014","16,041","25,420","20,784","40,060","21,740","32,739","33,292","42,233"
2020년04월_계_0~9세,"44,488","3,443","3,767","1,652",779,"1,386","1,760","1,774","1,913",780,"1,927","1,404","1,613",729,"1,633","1,796","6,257","1,433","3,011","2,708","4,723"
2020년04월_계_10~19세,"51,121","3,055","4,543","1,752","1,179","1,708","2,161","2,227","2,410","1,119","2,522","1,738","2,072","1,074","2,473","2,283","3,575","2,034","3,725","3,508","5,963"
2020년04월_계_20~29세,"72,072","4,242","4,397","6,367","2,197","3,327","2,951","4,204","4,366","2,001","3,359","2,545","3,013","2,271","3,556","2,468","4,055","2,964","4,281","4,637","4,871"
2020년04월_계_30~39세,"75,783","5,113","4,762","5,521","1,847","3,369","2,919","3,997","4,246","1,959","3,241","2,392","2,963","1,968","3,040","2,600","8,162","2,414","4,764","4,773","5,733"
2020년04월_계_40~49세,"90,104","5,614","6,838","4,513","2,412","3,592","3,944","4,481","4,575","2,337","4,274","2,932","3,455","2,226","3,940","3,554","7,184","3,533","5,908","5,830","8,962"
2020년04월_계_50~59세,"91,096","5,192","5,873","4,380","3,196","4,183","3,816","5,495","5,339","3,123","4,440","3,337","3,904","3,187","4,995","3,543","4,958","4,409","5,540","5,582","6,604"
2020년04월_계_60~69세,"62,715","3,502","3,859","2,772","2,234","3,161","2,859","3,919","3,813","2,460","3,304","2,366","2,949","2,632","3,297","2,769","3,771","2,908","3,321","3,480","3,339"
2020년04월_계_70~79세,"30,036","1,507","1,757","1,312","1,260","1,826","1,471","1,993","1,770","1,436","1,519","1,141","1,330","1,399","1,577","1,218","1,523","1,379","1,460","1,808","1,350"
