카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년08월_계_총인구수,"229,362","17,818","10,173","7,713","19,921","16,126","14,366","10,254","12,365","18,499","28,334","8,770","6,925","9,262","21,265","13,309","14,262"
2020년08월_계_연령구간인구수,"229,362","17,818","10,173","7,713","19,921","16,126","14,366","10,254","12,365","18,499","28,334","8,770","6,925","9,262","21,265","13,309","14,262"
2020년08월_계_0~9세,"13,754","1,020",399,206,714,"1,376",951,788,790,952,"2,806",567,251,437,"1,235",795,467
2020년08월_계_10~19세,"15,854","1,317",580,268,"1,215",861,"1,301",783,861,914,"2,955",506,297,504,"1,165","1,526",801
2020년08월_계_20~29세,"33,229","2,583","1,569",960,"4,231","2,452","1,881","1,599","1,860","2,826","3,008",996,"1,023","1,381","2,805","1,822","2,233"
2020년08월_계_30~39세,"38,043","2,852","1,780","1,044","3,152","3,658","2,112","1,846","2,032","3,728","3,745","1,519","1,149","1,696","4,049","1,509","2,172"
2020년08월_계_40~49세,"35,864","2,791","1,436","1,129","2,801","2,649","2,363","1,597","1,886","2,603","5,020","1,232",911,"1,392","3,439","2,506","2,109"
2020년08월_계_50~59세,"36,702","2,926","1,469","1,673","3,100","2,192","2,355","1,572","1,992","3,055","4,542","1,405","1,123","1,283","3,265","2,234","2,516"
2020년08월_계_60~69세,"28,281","2,221","1,447","1,350","2,364","1,637","1,722","1,025","1,520","2,277","2,961","1,320","1,073","1,189","2,761","1,401","2,013"
2020년08월_계_70~79세,"17,248","1,357",934,706,"1,548",843,"1,057",643,962,"1,341","1,857",779,630,860,"1,641",815,"1,275"
2020년08월_계_80~89세,"8,420",586,445,278,658,363,538,334,380,625,"1,172",371,368,421,715,609,557
2020년08월_계_90~99세,"1,599",135,91,67,104,77,72,53,69,135,234,61,78,85,155,86,97
2020년08월_계_100세 이상,368,30,23,32,34,18,14,14,13,43,34,14,22,14,35,6,22
2020년08월_남_총인구수,"110,403","8,672","4,898","4,722","9,329","7,770","6,759","4,859","5,891","8,929","13,229","4,124","3,275","4,275","10,234","6,386","7,051"
2020년08월_남_연령구간인구수,"110,403","8,672","4,898","4,722","9,329","7,770","6,759","4,859","5,891","8,929","13,229","4,124","3,275","4,275","10,234","6,386","7,051"
2020년08월_남_0~9세,"7,116",533,214,102,346,705,480,410,397,502,"1,457",296,124,227,660,404,259
2020년08월_남_10~19세,"8,063",726,297,145,656,446,517,401,448,478,"1,483",262,150,237,589,775,453
2020년08월_남_20~29세,"15,845","1,318",817,449,"1,698","1,037",887,735,879,"1,278","1,465",490,527,696,"1,411",909,"1,249"
2020년08월_남_30~39세,"18,958","1,471",910,561,"1,683","1,771","1,077",913,"1,003","1,767","1,665",766,623,850,"1,991",713,"1,194"
2020년08월_남_40~49세,"17,597","1,360",736,740,"1,399","1,380","1,149",749,929,"1,276","2,249",602,445,646,"1,685","1,191","1,061"
2020년08월_남_50~59세,"18,183","1,423",678,"1,189","1,535","1,086","1,167",756,981,"1,526","2,189",652,524,581,"1,568","1,115","1,213"
2020년08월_남_60~69세,"13,427","1,029",646,942,"1,073",782,806,482,683,"1,158","1,411",591,481,496,"1,285",696,866
2020년08월_남_70~79세,"7,465",584,424,413,653,383,467,266,404,622,756,335,239,355,713,325,526
2020년08월_남_80~89세,"3,137",186,146,136,250,151,185,125,149,255,449,117,134,160,276,227,191
2020년08월_남_90~99세,506,37,23,29,26,25,20,20,13,52,97,11,22,24,47,28,32
