,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년10월_계_총인구수,"34,416","6,746","1,413","1,058","1,998","2,868","1,811","4,120","5,620","5,566","1,159","2,057"
2021년10월_계_연령구간인구수,"34,416","6,746","1,413","1,058","1,998","2,868","1,811","4,120","5,620","5,566","1,159","2,057"
2021년10월_계_0~9세,"1,200",350,44,32,41,82,25,109,158,293,33,33
2021년10월_계_10~19세,"2,017",539,39,47,90,160,69,275,200,449,44,105
2021년10월_계_20~29세,"2,272",608,56,39,97,147,94,274,340,484,49,84
2021년10월_계_30~39세,"1,960",572,57,38,74,175,64,191,267,397,56,69
2021년10월_계_40~49세,"3,317",800,103,90,128,256,134,437,512,613,85,159
2021년10월_계_50~59세,"6,330","1,142",237,163,303,522,384,880,"1,127","1,051",167,354
2021년10월_계_60~69세,"7,742","1,219",355,220,471,620,469,972,"1,436","1,169",308,503
2021년10월_계_70~79세,"5,178",856,259,199,405,470,323,573,882,591,223,397
2021년10월_계_80~89세,"3,795",555,229,195,337,366,221,355,602,459,163,313
2021년10월_계_90~99세,591,102,33,34,51,68,27,53,93,60,31,39
2021년10월_계_100세 이상,14,3,1,1,1,2,1,1,3,0,0,1
2021년10월_남_총인구수,"16,935","3,272",700,507,961,"1,408",890,"2,053","2,830","2,732",559,"1,023"
2021년10월_남_연령구간인구수,"16,935","3,272",700,507,961,"1,408",890,"2,053","2,830","2,732",559,"1,023"
2021년10월_남_0~9세,610,173,23,13,28,46,16,49,93,141,14,14
2021년10월_남_10~19세,"1,088",282,27,28,53,86,44,156,104,221,22,65
2021년10월_남_20~29세,"1,309",344,30,20,61,83,54,155,212,276,29,45
2021년10월_남_30~39세,"1,051",294,35,17,44,94,40,91,152,210,33,41
2021년10월_남_40~49세,"1,829",404,60,56,85,145,77,225,305,310,58,104
2021년10월_남_50~59세,"3,468",596,153,103,175,300,197,484,597,545,103,215
2021년10월_남_60~69세,"4,031",624,184,114,242,326,242,484,764,623,157,271
2021년10월_남_70~79세,"2,310",379,118,82,160,199,142,265,416,271,97,181
2021년10월_남_80~89세,"1,122",158,61,68,102,111,74,128,178,126,40,76
2021년10월_남_90~99세,115,18,9,6,10,18,4,15,9,9,6,11
2021년10월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년10월_여_총인구수,"17,481","3,474",713,551,"1,037","1,460",921,"2,067","2,790","2,834",600,"1,034"
2021년10월_여_연령구간인구수,"17,481","3,474",713,551,"1,037","1,460",921,"2,067","2,790","2,834",600,"1,034"
2021년10월_여_0~9세,590,177,21,19,13,36,9,60,65,152,19,19
2021년10월_여_10~19세,929,257,12,19,37,74,25,119,96,228,22,40
2021년10월_여_20~29세,963,264,26,19,36,64,40,119,128,208,20,39
2021년10월_여_30~39세,909,278,22,21,30,81,24,100,115,187,23,28
2021년10월_여_40~49세,"1,488",396,43,34,43,111,57,212,207,303,27,55
2021년10월_여_50~59세,"2,862",546,84,60,128,222,187,396,530,506,64,139
2021년10월_여_60~69세,"3,711",595,171,106,229,294,227,488,672,546,151,232
2021년10월_여_70~79세,"2,868",477,141,117,245,271,181,308,466,320,126,216
2021년10월_여_80~89세,"2,673",397,168,127,235,255,147,227,424,333,123,237
2021년10월_여_90~99세,476,84,24,28,41,50,23,38,84,51,25,28
2021년10월_여_100세 이상,12,3,1,1,0,2,1,0,3,0,0,1
