카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년05월_계_총인구수,"451,541","31,069","30,128","22,127","25,677","41,602","20,652","20,967","15,397","18,164","14,855","13,778","20,217","20,520","19,643","49,533","33,013","24,823","29,376"
2021년05월_계_연령구간인구수,"451,541","31,069","30,128","22,127","25,677","41,602","20,652","20,967","15,397","18,164","14,855","13,778","20,217","20,520","19,643","49,533","33,013","24,823","29,376"
2021년05월_계_0~9세,"30,872","2,900","1,663","1,284","1,362","3,294",956,"1,400",818,"1,399",953,"1,467","1,019","1,804","1,284","3,739","1,581","2,057","1,892"
2021년05월_계_10~19세,"50,084","5,033","2,470","1,527","3,278","7,415","1,295","1,773","1,117","1,608","1,255","1,221","1,327","2,934","2,947","5,587","2,305","3,612","3,380"
2021년05월_계_20~29세,"58,872","3,296","4,960","3,482","4,118","4,385","2,647","2,611","2,004","2,154","2,128","1,573","2,589","2,392","2,447","6,234","5,227","3,113","3,512"
2021년05월_계_30~39세,"56,941","3,216","5,232","3,961","2,752","3,833","2,710","2,936","1,961","2,394","2,048","2,568","2,603","2,033","1,802","6,096","4,943","2,712","3,141"
2021년05월_계_40~49세,"77,940","6,815","4,594","3,169","4,446","8,938","3,033","3,276","2,176","3,019","2,281","2,176","2,906","4,018","3,722","8,485","5,147","4,698","5,041"
2021년05월_계_50~59세,"76,186","4,951","4,833","3,590","4,852","6,721","3,771","3,287","2,880","2,835","2,507","2,021","3,538","3,474","3,527","8,478","5,343","4,381","5,197"
2021년05월_계_60~69세,"59,164","2,963","3,919","3,069","2,753","4,347","3,689","3,324","2,538","2,778","2,206","1,722","3,485","2,245","2,301","6,255","4,816","2,696","4,058"
2021년05월_계_70~79세,"28,815","1,320","1,707","1,366","1,478","1,764","1,866","1,734","1,371","1,395","1,060",772,"1,824","1,070","1,097","3,241","2,660","1,026","2,064"
2021년05월_계_80~89세,"10,942",487,658,595,552,742,584,544,479,517,365,223,829,451,441,"1,221",884,425,945
2021년05월_계_90~99세,"1,656",84,89,79,76,159,96,80,51,62,52,30,94,97,72,190,102,102,141
2021년05월_계_100세 이상,69,4,3,5,10,4,5,2,2,3,0,5,3,2,3,7,5,1,5
