카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년08월_계_총인구수,"82,343","4,579","3,803","6,270","9,649","21,220","29,188","4,487","3,147"
2020년08월_계_연령구간인구수,"82,343","4,579","3,803","6,270","9,649","21,220","29,188","4,487","3,147"
2020년08월_계_0~9세,"5,903",179,255,239,543,"1,366","3,008",239,74
2020년08월_계_10~19세,"7,534",267,271,457,905,"2,241","3,019",246,128
2020년08월_계_20~29세,"8,971",432,323,645,"1,048","2,409","3,480",385,249
2020년08월_계_30~39세,"9,278",425,376,474,976,"2,189","4,105",500,233
2020년08월_계_40~49세,"12,532",541,514,780,"1,421","3,421","4,972",543,340
2020년08월_계_50~59세,"15,138",917,755,"1,304","1,771","4,006","4,853",861,671
2020년08월_계_60~69세,"12,440","1,010",663,"1,193","1,661","3,062","3,258",859,734
2020년08월_계_70~79세,"6,766",524,432,732,852,"1,605","1,658",497,466
2020년08월_계_80~89세,"3,147",237,184,359,386,769,714,288,210
2020년08월_계_90~99세,600,44,28,83,82,146,114,64,39
2020년08월_계_100세 이상,34,3,2,4,4,6,7,5,3
2020년08월_남_총인구수,"40,742","2,363","1,927","3,061","4,752","10,500","14,266","2,260","1,613"
2020년08월_남_연령구간인구수,"40,742","2,363","1,927","3,061","4,752","10,500","14,266","2,260","1,613"
2020년08월_남_0~9세,"2,976",89,138,127,278,666,"1,519",126,33
2020년08월_남_10~19세,"3,895",147,141,230,475,"1,136","1,549",136,81
2020년08월_남_20~29세,"5,059",268,174,381,599,"1,367","1,907",221,142
2020년08월_남_30~39세,"4,960",244,202,275,542,"1,174","2,092",286,145
2020년08월_남_40~49세,"6,225",303,284,403,713,"1,646","2,400",294,182
2020년08월_남_50~59세,"7,466",473,392,620,847,"1,989","2,328",458,359
2020년08월_남_60~69세,"6,016",504,322,576,800,"1,530","1,496",434,354
2020년08월_남_70~79세,"2,942",240,210,307,355,704,700,204,222
2020년08월_남_80~89세,"1,063",86,57,128,124,257,241,84,86
2020년08월_남_90~99세,127,7,7,12,17,31,31,14,8
2020년08월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년08월_여_총인구수,"41,601","2,216","1,876","3,209","4,897","10,720","14,922","2,227","1,534"
2020년08월_여_연령구간인구수,"41,601","2,216","1,876","3,209","4,897","10,720","14,922","2,227","1,534"
2020년08월_여_0~9세,"2,927",90,117,112,265,700,"1,489",113,41
2020년08월_여_10~19세,"3,639",120,130,227,430,"1,105","1,470",110,47
2020년08월_여_20~29세,"3,912",164,149,264,449,"1,042","1,573",164,107
2020년08월_여_30~39세,"4,318",181,174,199,434,"1,015","2,013",214,88
2020년08월_여_40~49세,"6,307",238,230,377,708,"1,775","2,572",249,158
2020년08월_여_50~59세,"7,672",444,363,684,924,"2,017","2,525",403,312
2020년08월_여_60~69세,"6,424",506,341,617,861,"1,532","1,762",425,380
2020년08월_여_70~79세,"3,824",284,222,425,497,901,958,293,244
2020년08월_여_80~89세,"2,084",151,127,231,262,512,473,204,124
2020년08월_여_90~99세,473,37,21,71,65,115,83,50,31
2020년08월_여_100세 이상,21,1,2,2,2,6,4,2,2
