카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년12월_계_총인구수,"25,719","10,845","1,305","1,546","2,561","2,702","2,286","1,487","2,987"
2020년12월_계_연령구간인구수,"25,719","10,845","1,305","1,546","2,561","2,702","2,286","1,487","2,987"
2020년12월_계_0~9세,"1,141",696,44,47,50,111,60,48,85
2020년12월_계_10~19세,"1,858","1,047",78,72,154,180,109,64,154
2020년12월_계_20~29세,"1,985","1,056",77,85,156,187,113,108,203
2020년12월_계_30~39세,"1,686",880,58,76,119,168,143,90,152
2020년12월_계_40~49세,"2,926","1,447",143,155,238,336,176,162,269
2020년12월_계_50~59세,"4,624","1,933",249,279,541,449,377,230,566
2020년12월_계_60~69세,"4,704","1,689",275,300,575,516,462,275,612
2020년12월_계_70~79세,"3,900","1,270",207,310,389,422,457,288,557
2020년12월_계_80~89세,"2,496",714,151,195,284,286,332,189,345
2020년12월_계_90~99세,377,108,22,24,52,43,55,32,41
2020년12월_계_100세 이상,22,5,1,3,3,4,2,1,3
2020년12월_남_총인구수,"12,519","5,265",656,760,"1,248","1,345","1,085",713,"1,447"
2020년12월_남_연령구간인구수,"12,519","5,265",656,760,"1,248","1,345","1,085",713,"1,447"
2020년12월_남_0~9세,563,342,25,24,26,53,26,25,42
2020년12월_남_10~19세,984,561,38,32,76,104,61,40,72
2020년12월_남_20~29세,"1,069",555,45,44,95,97,59,56,118
2020년12월_남_30~39세,902,436,27,37,74,101,84,53,90
2020년12월_남_40~49세,"1,591",723,86,100,130,189,113,93,157
2020년12월_남_50~59세,"2,565","1,007",145,173,301,270,222,128,319
2020년12월_남_60~69세,"2,316",831,148,149,285,251,218,131,303
2020년12월_남_70~79세,"1,631",540,84,129,159,179,192,120,228
2020년12월_남_80~89세,813,247,57,64,90,90,99,57,109
2020년12월_남_90~99세,83,23,1,8,12,10,11,10,8
2020년12월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년12월_여_총인구수,"13,200","5,580",649,786,"1,313","1,357","1,201",774,"1,540"
2020년12월_여_연령구간인구수,"13,200","5,580",649,786,"1,313","1,357","1,201",774,"1,540"
2020년12월_여_0~9세,578,354,19,23,24,58,34,23,43
2020년12월_여_10~19세,874,486,40,40,78,76,48,24,82
2020년12월_여_20~29세,916,501,32,41,61,90,54,52,85
2020년12월_여_30~39세,784,444,31,39,45,67,59,37,62
2020년12월_여_40~49세,"1,335",724,57,55,108,147,63,69,112
2020년12월_여_50~59세,"2,059",926,104,106,240,179,155,102,247
2020년12월_여_60~69세,"2,388",858,127,151,290,265,244,144,309
2020년12월_여_70~79세,"2,269",730,123,181,230,243,265,168,329
2020년12월_여_80~89세,"1,683",467,94,131,194,196,233,132,236
2020년12월_여_90~99세,294,85,21,16,40,33,44,22,33
2020년12월_여_100세 이상,20,5,1,3,3,3,2,1,2
