,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년10월_계_총인구수,"44,620","13,511","3,644","3,724","1,849","3,440","6,209","4,163","1,555","1,393","2,902","2,230"
2020년10월_계_연령구간인구수,"44,620","13,511","3,644","3,724","1,849","3,440","6,209","4,163","1,555","1,393","2,902","2,230"
2020년10월_계_0~9세,"2,817","1,006",311,173,53,143,715,188,59,30,83,56
2020년10월_계_10~19세,"3,313","1,200",293,175,76,199,659,276,96,63,179,97
2020년10월_계_20~29세,"4,300","1,303",311,363,143,467,738,415,127,107,192,134
2020년10월_계_30~39세,"3,683","1,199",271,322,128,195,824,278,100,77,150,139
2020년10월_계_40~49세,"5,602","1,919",476,430,184,394,907,530,170,112,271,209
2020년10월_계_50~59세,"7,517","2,174",604,705,361,579,847,796,280,239,490,442
2020년10월_계_60~69세,"7,200","2,004",613,690,364,591,622,750,289,280,522,475
2020년10월_계_70~79세,"5,948","1,645",442,505,283,493,540,543,256,282,555,404
2020년10월_계_80~89세,"3,695",928,283,315,218,346,317,326,149,178,415,220
2020년10월_계_90~99세,505,121,34,45,38,32,40,57,26,24,43,45
2020년10월_계_100세 이상,40,12,6,1,1,1,0,4,3,1,2,9
2020년10월_남_총인구수,"22,862","6,693","1,835","1,996",975,"1,927","3,231","2,095",811,693,"1,455","1,151"
2020년10월_남_연령구간인구수,"22,862","6,693","1,835","1,996",975,"1,927","3,231","2,095",811,693,"1,455","1,151"
2020년10월_남_0~9세,"1,416",524,164,85,22,75,343,89,29,11,44,30
2020년10월_남_10~19세,"1,747",623,160,95,43,105,340,135,52,38,104,52
2020년10월_남_20~29세,"2,571",703,166,214,89,400,452,235,66,68,107,71
2020년10월_남_30~39세,"1,965",605,125,203,78,105,453,143,64,40,79,70
2020년10월_남_40~49세,"3,201","1,035",249,279,122,252,498,314,104,61,163,124
2020년10월_남_50~59세,"4,289","1,205",369,400,210,333,492,445,162,133,282,258
2020년10월_남_60~69세,"3,758",974,301,379,213,308,333,401,157,146,280,266
2020년10월_남_70~79세,"2,615",722,202,226,113,219,213,232,119,124,247,198
2020년10월_남_80~89세,"1,175",278,89,100,74,122,96,88,50,66,139,73
2020년10월_남_90~99세,120,23,9,15,11,8,11,13,6,6,10,8
2020년10월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년10월_여_총인구수,"21,758","6,818","1,809","1,728",874,"1,513","2,978","2,068",744,700,"1,447","1,079"
2020년10월_여_연령구간인구수,"21,758","6,818","1,809","1,728",874,"1,513","2,978","2,068",744,700,"1,447","1,079"
2020년10월_여_0~9세,"1,401",482,147,88,31,68,372,99,30,19,39,26
2020년10월_여_10~19세,"1,566",577,133,80,33,94,319,141,44,25,75,45
2020년10월_여_20~29세,"1,729",600,145,149,54,67,286,180,61,39,85,63
2020년10월_여_30~39세,"1,718",594,146,119,50,90,371,135,36,37,71,69
2020년10월_여_40~49세,"2,401",884,227,151,62,142,409,216,66,51,108,85
2020년10월_여_50~59세,"3,228",969,235,305,151,246,355,351,118,106,208,184
2020년10월_여_60~69세,"3,442","1,030",312,311,151,283,289,349,132,134,242,209
2020년10월_여_70~79세,"3,333",923,240,279,170,274,327,311,137,158,308,206
2020년10월_여_80~89세,"2,520",650,194,215,144,224,221,238,99,112,276,147
2020년10월_여_90~99세,385,98,25,30,27,24,29,44,20,18,33,37
2020년10월_여_100세 이상,35,11,5,1,1,1,0,4,1,1,2,8
