,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년04월_계_총인구수,"371,396","20,245","21,312","17,796","20,741","22,044","17,174","25,679","26,214","19,164","19,133","36,571","36,722","48,342","40,259"
2020년04월_계_연령구간인구수,"371,396","20,245","21,312","17,796","20,741","22,044","17,174","25,679","26,214","19,164","19,133","36,571","36,722","48,342","40,259"
2020년04월_계_0~9세,"36,874","1,500","1,599",985,"1,097","1,513","1,132","1,420","2,356","1,543","1,682","3,232","4,918","7,287","6,610"
2020년04월_계_10~19세,"41,596","2,003","2,322","1,137","1,715","1,851","1,368","1,871","2,808","2,093","2,899","5,409","6,307","5,787","4,026"
2020년04월_계_20~29세,"50,851","2,861","3,153","2,679","3,341","3,528","2,364","3,658","3,787","2,829","2,595","5,869","3,693","6,012","4,482"
2020년04월_계_30~39세,"55,106","2,456","2,574","2,408","2,760","3,315","2,411","3,163","4,008","2,668","1,910","4,233","4,599","9,607","8,994"
2020년04월_계_40~49세,"65,886","3,278","3,461","2,381","3,461","3,211","2,377","3,890","4,346","3,140","3,491","6,705","8,565","9,822","7,758"
2020년04월_계_50~59세,"62,570","3,857","4,102","3,612","4,147","4,078","3,168","5,370","4,783","3,606","3,415","6,170","5,368","5,825","5,069"
2020년04월_계_60~69세,"35,232","2,321","2,323","2,734","2,499","2,633","2,363","3,638","2,659","2,022","1,838","3,171","2,082","2,609","2,340"
2020년04월_계_70~79세,"14,998","1,289","1,143","1,234","1,164","1,166","1,144","1,718",899,795,837,"1,173",768,991,677
2020년04월_계_80~89세,"7,008",595,536,528,478,644,692,822,461,411,382,501,354,345,259
2020년04월_계_90~99세,"1,220",82,94,94,75,102,148,119,95,55,83,107,67,57,42
2020년04월_계_100세 이상,55,3,5,4,4,3,7,10,12,2,1,1,1,0,2
2020년04월_남_총인구수,"184,733","10,061","10,550","9,203","11,269","10,778","8,191","13,285","12,892","9,391","9,334","18,046","18,014","23,772","19,947"
2020년04월_남_연령구간인구수,"184,733","10,061","10,550","9,203","11,269","10,778","8,191","13,285","12,892","9,391","9,334","18,046","18,014","23,772","19,947"
2020년04월_남_0~9세,"18,837",781,809,514,571,775,583,728,"1,203",789,848,"1,668","2,503","3,700","3,365"
2020년04월_남_10~19세,"21,349","1,053","1,192",585,930,946,720,968,"1,403","1,074","1,490","2,768","3,242","2,944","2,034"
2020년04월_남_20~29세,"26,386","1,552","1,658","1,495","1,868","1,846","1,162","2,033","1,942","1,462","1,339","2,977","1,878","2,931","2,243"
2020년04월_남_30~39세,"27,203","1,244","1,281","1,378","1,624","1,720","1,256","1,823","2,007","1,349",846,"1,980","1,913","4,517","4,265"
2020년04월_남_40~49세,"32,377","1,612","1,690","1,329","1,970","1,549","1,130","2,048","2,070","1,456","1,601","3,093","4,030","4,848","3,951"
2020년04월_남_50~59세,"31,070","1,888","1,987","1,707","2,232","1,924","1,467","2,763","2,270","1,720","1,705","3,117","2,876","2,928","2,486"
2020년04월_남_60~69세,"18,142","1,143","1,183","1,431","1,350","1,336","1,178","1,845","1,387","1,044",963,"1,681","1,095","1,321","1,185"
2020년04월_남_70~79세,"6,839",564,543,563,554,478,477,770,439,356,395,577,341,449,333
2020년04월_남_80~89세,"2,231",199,183,180,153,179,193,273,144,126,126,160,121,116,78
2020년04월_남_90~99세,283,25,22,21,17,24,22,28,24,14,21,25,15,18,7
2020년04월_남_100세 이상,16,0,2,0,0,1,3,6,3,1,0,0,0,0,0
2020년04월_여_총인구수,"186,663","10,184","10,762","8,593","9,472","11,266","8,983","12,394","13,322","9,773","9,799","18,525","18,708","24,570","20,312"
2020년04월_여_연령구간인구수,"186,663","10,184","10,762","8,593","9,472","11,266","8,983","12,394","13,322","9,773","9,799","18,525","18,708","24,570","20,312"
2020년04월_여_0~9세,"18,037",719,790,471,526,738,549,692,"1,153",754,834,"1,564","2,415","3,587","3,245"
2020년04월_여_10~19세,"20,247",950,"1,130",552,785,905,648,903,"1,405","1,019","1,409","2,641","3,065","2,843","1,992"
2020년04월_여_20~29세,"24,465","1,309","1,495","1,184","1,473","1,682","1,202","1,625","1,845","1,367","1,256","2,892","1,815","3,081","2,239"
2020년04월_여_30~39세,"27,903","1,212","1,293","1,030","1,136","1,595","1,155","1,340","2,001","1,319","1,064","2,253","2,686","5,090","4,729"
2020년04월_여_40~49세,"33,509","1,666","1,771","1,052","1,491","1,662","1,247","1,842","2,276","1,684","1,890","3,612","4,535","4,974","3,807"
2020년04월_여_50~59세,"31,500","1,969","2,115","1,905","1,915","2,154","1,701","2,607","2,513","1,886","1,710","3,053","2,492","2,897","2,583"
2020년04월_여_60~69세,"17,090","1,178","1,140","1,303","1,149","1,297","1,185","1,793","1,272",978,875,"1,490",987,"1,288","1,155"
2020년04월_여_70~79세,"8,159",725,600,671,610,688,667,948,460,439,442,596,427,542,344
2020년04월_여_80~89세,"4,777",396,353,348,325,465,499,549,317,285,256,341,233,229,181
2020년04월_여_90~99세,937,57,72,73,58,78,126,91,71,41,62,82,52,39,35
2020년04월_여_100세 이상,39,3,3,4,4,2,4,4,9,1,1,1,1,0,2
