,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년04월_계_총인구수,"110,461","17,719","13,283","15,500","7,561","1,595","3,416","2,817","3,487","6,062","5,073","6,372","15,228","6,813","5,276",259
2021년04월_계_연령구간인구수,"110,461","17,719","13,283","15,500","7,561","1,595","3,416","2,817","3,487","6,062","5,073","6,372","15,228","6,813","5,276",259
2021년04월_계_0~9세,"7,960","1,338","1,409","1,913",632,37,84,69,76,158,223,429,970,330,289,3
2021년04월_계_10~19세,"10,164","1,806","1,528","2,032",629,42,146,79,133,290,297,495,"1,644",623,414,6
2021년04월_계_20~29세,"10,568","2,239","1,470","1,554",517,117,255,152,228,376,453,527,"1,566",696,408,10
2021년04월_계_30~39세,"11,550","2,249","1,894","2,277",821,88,182,125,154,414,427,655,"1,283",529,440,12
2021년04월_계_40~49세,"17,577","3,128","2,434","3,109","1,223",157,334,253,315,687,659,956,"2,464","1,134",695,29
2021년04월_계_50~59세,"18,327","3,023","1,992","1,899","1,184",279,596,522,660,"1,048",956,"1,094","2,866","1,278",888,42
2021년04월_계_60~69세,"16,862","2,068","1,311","1,345","1,256",403,764,689,791,"1,469","1,022","1,120","2,370","1,162","1,029",63
2021년04월_계_70~79세,"10,709","1,125",740,833,788,246,604,506,625,"1,072",674,757,"1,351",668,656,64
2021년04월_계_80~89세,"5,879",646,426,466,433,204,397,374,436,479,325,298,647,332,387,29
2021년04월_계_90~99세,840,93,78,71,76,22,49,46,67,68,37,38,66,60,68,1
2021년04월_계_100세 이상,25,4,1,1,2,0,5,2,2,1,0,3,1,1,2,0
2021년04월_남_총인구수,"55,738","9,243","6,679","8,086","3,792",843,"1,746","1,394","1,722","2,964","2,523","3,108","7,396","3,523","2,588",131
2021년04월_남_연령구간인구수,"55,738","9,243","6,679","8,086","3,792",843,"1,746","1,394","1,722","2,964","2,523","3,108","7,396","3,523","2,588",131
2021년04월_남_0~9세,"4,128",700,715,"1,023",302,24,52,42,39,81,118,214,506,157,153,2
2021년04월_남_10~19세,"5,251",886,808,"1,020",341,22,78,50,70,154,160,271,840,339,208,4
2021년04월_남_20~29세,"6,305","1,318",833,973,300,70,164,97,146,229,287,308,896,419,258,7
2021년04월_남_30~39세,"6,244","1,285",978,"1,214",428,54,106,66,87,253,245,342,642,309,229,6
2021년04월_남_40~49세,"9,335","1,703","1,213","1,628",682,98,200,164,203,404,368,501,"1,175",601,371,24
2021년04월_남_50~59세,"9,752","1,610","1,041","1,082",625,173,337,301,376,558,477,553,"1,443",702,448,26
2021년04월_남_60~69세,"8,140","1,039",648,642,599,218,391,342,385,672,475,496,"1,123",580,500,30
2021년04월_남_70~79세,"4,608",483,299,355,356,113,274,211,281,447,290,320,562,297,295,25
2021년04월_남_80~89세,"1,839",203,131,139,145,65,131,113,127,156,98,95,202,109,118,7
2021년04월_남_90~99세,129,16,13,10,13,6,12,7,7,10,5,7,7,9,7,0
2021년04월_남_100세 이상,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
2021년04월_여_총인구수,"54,723","8,476","6,604","7,414","3,769",752,"1,670","1,423","1,765","3,098","2,550","3,264","7,832","3,290","2,688",128
2021년04월_여_연령구간인구수,"54,723","8,476","6,604","7,414","3,769",752,"1,670","1,423","1,765","3,098","2,550","3,264","7,832","3,290","2,688",128
2021년04월_여_0~9세,"3,832",638,694,890,330,13,32,27,37,77,105,215,464,173,136,1
2021년04월_여_10~19세,"4,913",920,720,"1,012",288,20,68,29,63,136,137,224,804,284,206,2
2021년04월_여_20~29세,"4,263",921,637,581,217,47,91,55,82,147,166,219,670,277,150,3
2021년04월_여_30~39세,"5,306",964,916,"1,063",393,34,76,59,67,161,182,313,641,220,211,6
2021년04월_여_40~49세,"8,242","1,425","1,221","1,481",541,59,134,89,112,283,291,455,"1,289",533,324,5
2021년04월_여_50~59세,"8,575","1,413",951,817,559,106,259,221,284,490,479,541,"1,423",576,440,16
2021년04월_여_60~69세,"8,722","1,029",663,703,657,185,373,347,406,797,547,624,"1,247",582,529,33
2021년04월_여_70~79세,"6,101",642,441,478,432,133,330,295,344,625,384,437,789,371,361,39
2021년04월_여_80~89세,"4,040",443,295,327,288,139,266,261,309,323,227,203,445,223,269,22
2021년04월_여_90~99세,711,77,65,61,63,16,37,39,60,58,32,31,59,51,61,1
2021년04월_여_100세 이상,18,4,1,1,1,0,4,1,1,1,0,2,1,0,1,0
