카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년01월_계_총인구수,"217,191","10,450","17,274","8,846","4,781","11,353","13,309","19,226","33,694","23,122","22,511","20,499","10,966","21,160"
2021년01월_계_연령구간인구수,"217,191","10,450","17,274","8,846","4,781","11,353","13,309","19,226","33,694","23,122","22,511","20,499","10,966","21,160"
2021년01월_계_0~9세,"16,475",459,"1,363",418,217,914,441,"1,332","3,417","1,089","1,487","2,014","1,320","2,004"
2021년01월_계_10~19세,"20,097",663,"1,300",599,324,"1,122",656,"1,589","3,659","2,068","2,320","1,933","1,296","2,568"
2021년01월_계_20~29세,"26,670","1,107","2,166","1,309",580,"1,498","1,591","2,334","3,866","3,214","2,947","2,259","1,320","2,479"
2021년01월_계_30~39세,"26,222","1,087","2,426","1,025",510,"1,596","1,322","2,369","4,355","2,059","2,310","2,831","1,697","2,635"
2021년01월_계_40~49세,"34,148","1,422","2,649","1,155",559,"1,793","1,613","2,817","5,961","3,410","3,342","3,386","1,814","4,227"
2021년01월_계_50~59세,"41,252","1,917","3,410","1,777",977,"2,069","2,617","3,559","5,853","5,076","4,755","3,666","1,972","3,604"
2021년01월_계_60~69세,"32,097","2,054","2,565","1,507",956,"1,435","2,868","3,110","4,290","3,672","3,453","2,890","1,035","2,262"
2021년01월_계_70~79세,"14,343","1,249","1,012",769,476,645,"1,524","1,446","1,673","1,761","1,383","1,070",362,973
2021년01월_계_80~89세,"5,201",430,335,255,159,244,586,606,538,710,452,407,130,349
2021년01월_계_90~99세,627,56,45,30,16,34,69,62,80,61,57,41,19,57
2021년01월_계_100세 이상,59,6,3,2,7,3,22,2,2,2,5,2,1,2
2021년01월_남_총인구수,"109,997","5,341","8,977","4,503","2,403","5,653","6,848","9,632","16,816","11,735","11,416","10,383","5,514","10,776"
2021년01월_남_연령구간인구수,"109,997","5,341","8,977","4,503","2,403","5,653","6,848","9,632","16,816","11,735","11,416","10,383","5,514","10,776"
2021년01월_남_0~9세,"8,502",235,695,228,128,447,232,715,"1,806",534,752,"1,024",673,"1,033"
2021년01월_남_10~19세,"10,731",341,679,316,170,605,340,854,"1,939","1,150","1,264","1,033",675,"1,365"
2021년01월_남_20~29세,"14,846",630,"1,192",707,312,816,899,"1,303","2,193","1,821","1,662","1,257",721,"1,333"
2021년01월_남_30~39세,"13,753",614,"1,332",576,297,855,793,"1,225","2,114","1,132","1,202","1,452",813,"1,348"
2021년01월_남_40~49세,"17,430",816,"1,426",601,293,869,901,"1,428","2,927","1,690","1,644","1,792",884,"2,159"
2021년01월_남_50~59세,"20,546","1,018","1,771",888,469,993,"1,335","1,758","2,753","2,545","2,367","1,779",998,"1,872"
2021년01월_남_60~69세,"15,646",971,"1,255",714,458,674,"1,448","1,498","2,095","1,812","1,675","1,417",537,"1,092"
2021년01월_남_70~79세,"6,597",549,496,376,208,310,659,618,797,805,667,492,159,461
2021년01월_남_80~89세,"1,826",158,125,91,59,77,221,217,181,231,177,132,50,107
2021년01월_남_90~99세,107,7,6,6,5,7,16,16,11,14,6,4,4,5
2021년01월_남_100세 이상,13,2,0,0,4,0,4,0,0,1,0,1,0,1
2021년01월_여_총인구수,"107,194","5,109","8,297","4,343","2,378","5,700","6,461","9,594","16,878","11,387","11,095","10,116","5,452","10,384"
2021년01월_여_연령구간인구수,"107,194","5,109","8,297","4,343","2,378","5,700","6,461","9,594","16,878","11,387","11,095","10,116","5,452","10,384"
2021년01월_여_0~9세,"7,973",224,668,190,89,467,209,617,"1,611",555,735,990,647,971
2021년01월_여_10~19세,"9,366",322,621,283,154,517,316,735,"1,720",918,"1,056",900,621,"1,203"
2021년01월_여_20~29세,"11,824",477,974,602,268,682,692,"1,031","1,673","1,393","1,285","1,002",599,"1,146"
2021년01월_여_30~39세,"12,469",473,"1,094",449,213,741,529,"1,144","2,241",927,"1,108","1,379",884,"1,287"
2021년01월_여_40~49세,"16,718",606,"1,223",554,266,924,712,"1,389","3,034","1,720","1,698","1,594",930,"2,068"
2021년01월_여_50~59세,"20,706",899,"1,639",889,508,"1,076","1,282","1,801","3,100","2,531","2,388","1,887",974,"1,732"
2021년01월_여_60~69세,"16,451","1,083","1,310",793,498,761,"1,420","1,612","2,195","1,860","1,778","1,473",498,"1,170"
2021년01월_여_70~79세,"7,746",700,516,393,268,335,865,828,876,956,716,578,203,512
2021년01월_여_80~89세,"3,375",272,210,164,100,167,365,389,357,479,275,275,80,242
2021년01월_여_90~99세,520,49,39,24,11,27,53,46,69,47,51,37,15,52
2021년01월_여_100세 이상,46,4,3,2,3,3,18,2,2,1,5,1,1,1
