,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년12월_계_총인구수,"86,132","10,646","12,902","5,542","32,829","3,120","6,367","4,701","2,017","5,017","2,991"
2020년12월_계_연령구간인구수,"86,132","10,646","12,902","5,542","32,829","3,120","6,367","4,701","2,017","5,017","2,991"
2020년12월_계_0~9세,"7,795",712,"1,828",168,"4,452",44,200,119,62,129,81
2020년12월_계_10~19세,"9,241","1,113","1,170",312,"5,311",148,441,217,86,262,181
2020년12월_계_20~29세,"8,828","1,302",973,498,"4,021",232,709,326,155,368,244
2020년12월_계_30~39세,"10,269",934,"2,074",334,"5,543",147,447,258,135,234,163
2020년12월_계_40~49세,"13,519","1,533","1,919",596,"7,100",266,698,422,208,498,279
2020년12월_계_50~59세,"12,872","1,874","1,602","1,150","3,813",594,"1,148",894,344,860,593
2020년12월_계_60~69세,"10,845","1,560","1,478","1,169","1,634",599,"1,225","1,004",475,"1,054",647
2020년12월_계_70~79세,"7,913","1,067","1,140",806,653,594,887,910,359,984,513
2020년12월_계_80~89세,"4,196",491,624,429,263,437,514,472,153,551,262
2020년12월_계_90~99세,620,60,93,75,37,58,82,78,37,75,25
2020년12월_계_100세 이상,34,0,1,5,2,1,16,1,3,2,3
2020년12월_남_총인구수,"43,254","5,332","6,461","2,909","16,226","1,550","3,286","2,361","1,041","2,540","1,548"
2020년12월_남_연령구간인구수,"43,254","5,332","6,461","2,909","16,226","1,550","3,286","2,361","1,041","2,540","1,548"
2020년12월_남_0~9세,"4,009",366,954,83,"2,267",19,110,68,37,70,35
2020년12월_남_10~19세,"4,694",587,573,154,"2,727",82,213,94,42,134,88
2020년12월_남_20~29세,"4,774",750,520,285,"1,988",133,434,189,88,246,141
2020년12월_남_30~39세,"5,221",486,"1,032",191,"2,661",103,257,163,85,137,106
2020년12월_남_40~49세,"7,153",783,"1,079",357,"3,456",165,411,284,132,311,175
2020년12월_남_50~59세,"7,060",997,884,671,"1,993",348,645,509,185,479,349
2020년12월_남_60~69세,"5,434",749,702,641,781,305,641,496,247,529,343
2020년12월_남_70~79세,"3,537",450,521,386,280,264,397,397,163,453,226
2020년12월_남_80~89세,"1,271",155,178,131,69,118,168,148,56,171,77
2020년12월_남_90~99세,96,9,18,9,3,12,10,13,6,10,6
2020년12월_남_100세 이상,5,0,0,1,1,1,0,0,0,0,2
2020년12월_여_총인구수,"42,878","5,314","6,441","2,633","16,603","1,570","3,081","2,340",976,"2,477","1,443"
2020년12월_여_연령구간인구수,"42,878","5,314","6,441","2,633","16,603","1,570","3,081","2,340",976,"2,477","1,443"
2020년12월_여_0~9세,"3,786",346,874,85,"2,185",25,90,51,25,59,46
2020년12월_여_10~19세,"4,547",526,597,158,"2,584",66,228,123,44,128,93
2020년12월_여_20~29세,"4,054",552,453,213,"2,033",99,275,137,67,122,103
2020년12월_여_30~39세,"5,048",448,"1,042",143,"2,882",44,190,95,50,97,57
2020년12월_여_40~49세,"6,366",750,840,239,"3,644",101,287,138,76,187,104
2020년12월_여_50~59세,"5,812",877,718,479,"1,820",246,503,385,159,381,244
2020년12월_여_60~69세,"5,411",811,776,528,853,294,584,508,228,525,304
2020년12월_여_70~79세,"4,376",617,619,420,373,330,490,513,196,531,287
2020년12월_여_80~89세,"2,925",336,446,298,194,319,346,324,97,380,185
2020년12월_여_90~99세,524,51,75,66,34,46,72,65,31,65,19
2020년12월_여_100세 이상,29,0,1,4,1,0,16,1,3,2,1
