,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년10월_계_총인구수,"277,008","2,642","8,607","1,920","20,337","6,194","6,402","2,759","1,327",792,"2,041","4,644","3,100","4,280","3,943","5,997","3,685","5,254","11,282","6,817","18,869","21,429","11,693","10,303","10,536","32,191","36,657","21,546","8,282","2,325","1,154"
2021년10월_계_연령구간인구수,"277,008","2,642","8,607","1,920","20,337","6,194","6,402","2,759","1,327",792,"2,041","4,644","3,100","4,280","3,943","5,997","3,685","5,254","11,282","6,817","18,869","21,429","11,693","10,303","10,536","32,191","36,657","21,546","8,282","2,325","1,154"
2021년10월_계_0~9세,"19,756",53,528,33,"2,006",245,132,56,11,15,58,224,101,136,100,191,145,160,640,405,"1,143","1,779",585,723,"1,032","2,596","4,501","1,142",944,55,17
2021년10월_계_10~19세,"25,686",84,672,62,"2,081",296,264,119,31,38,78,290,186,265,209,298,214,251,883,609,"1,844","2,269","1,056","1,179",963,"3,734","4,398","1,964","1,166",124,59
2021년10월_계_20~29세,"32,888",174,747,154,"2,146",448,551,120,60,46,134,462,356,408,350,623,409,429,"1,189",685,"2,489","2,653","1,776","1,403","1,077","5,031","4,403","3,306",897,253,109
2021년10월_계_30~39세,"29,768",125,788,78,"2,452",417,346,123,58,26,140,447,312,310,285,517,292,413,"1,053",620,"1,946","2,534","1,171","1,119","1,358","3,847","5,367","2,286","1,110",170,58
2021년10월_계_40~49세,"40,695",213,"1,256",139,"3,211",712,572,219,86,68,203,562,327,535,436,730,413,604,"1,508",916,"2,688","3,503","1,708","1,609","1,572","5,222","6,423","3,235","1,659",249,117
2021년10월_계_50~59세,"48,114",456,"1,401",307,"3,501",982,"1,177",437,185,135,437,678,449,682,632,998,582,827,"1,980","1,136","3,419","3,484","2,240","1,967","1,520","5,995","6,146","4,553","1,122",457,229
2021년10월_계_60~69세,"42,147",609,"1,624",457,"2,672","1,287","1,429",646,317,164,504,934,577,945,840,"1,270",778,"1,194","2,149","1,379","3,174","2,940","1,758","1,431","1,593","3,567","3,480","3,021",719,468,221
2021년10월_계_70~79세,"24,975",555,"1,012",391,"1,378","1,039","1,120",620,315,174,301,743,552,728,765,975,575,954,"1,359",783,"1,444","1,528",941,633,987,"1,503","1,303","1,323",462,324,188
2021년10월_계_80~89세,"11,249",327,503,248,783,645,688,364,217,104,157,263,221,242,298,348,238,380,467,255,628,627,409,206,380,596,541,605,178,198,133
2021년10월_계_90~99세,"1,686",45,75,48,101,121,119,54,46,21,27,41,18,28,28,45,39,42,50,27,93,111,49,32,52,94,95,110,25,27,23
2021년10월_계_100세 이상,44,1,1,3,6,2,4,1,1,1,2,0,1,1,0,2,0,0,4,2,1,1,0,1,2,6,0,1,0,0,0
2021년10월_남_총인구수,"141,225","1,328","4,499",940,"10,399","3,212","3,296","1,406",656,394,"1,148","2,343","1,543","2,144","2,029","3,097","1,824","2,664","5,671","3,423","9,307","10,772","6,257","5,195","5,322","16,502","18,355","11,393","4,232","1,273",601
2021년10월_남_연령구간인구수,"141,225","1,328","4,499",940,"10,399","3,212","3,296","1,406",656,394,"1,148","2,343","1,543","2,144","2,029","3,097","1,824","2,664","5,671","3,423","9,307","10,772","6,257","5,195","5,322","16,502","18,355","11,393","4,232","1,273",601
2021년10월_남_0~9세,"10,010",28,279,17,"1,062",129,71,27,4,8,27,101,44,69,63,111,62,70,320,208,558,918,305,358,521,"1,295","2,274",567,477,30,7
2021년10월_남_10~19세,"13,258",39,343,32,"1,072",161,146,60,14,19,43,147,95,146,104,167,101,120,456,310,942,"1,142",563,615,498,"1,923","2,319",967,623,67,24
2021년10월_남_20~29세,"18,721",100,440,92,"1,223",267,331,73,31,25,79,269,177,241,200,358,235,244,682,381,"1,425","1,461","1,060",766,604,"2,914","2,345","1,989",472,171,66
2021년10월_남_30~39세,"15,969",83,437,39,"1,236",231,197,83,42,14,91,252,188,173,176,310,166,220,587,329,"1,017","1,332",684,623,704,"2,035","2,618","1,384",571,107,40
2021년10월_남_40~49세,"21,482",147,731,92,"1,695",469,359,145,63,39,144,336,189,311,275,445,231,392,827,478,"1,353","1,761",939,757,840,"2,532","3,136","1,724",836,150,86
