카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년09월_계_총인구수,"848,711","193,680","2,222","4,922","3,882","6,796","3,925","6,970","6,842","8,666","10,550","31,087","13,415","54,423","39,980","193,192","10,129","3,254","7,153","13,950","14,735","14,408","26,428","30,373","13,275","15,968","43,519","267,592","24,067","10,779","17,972","16,783","50,751","15,875","55,578","9,682","24,085","28,476","13,544","194,247","19,185","70,265","4,554","12,300","8,468","13,412","47,658","18,405"
2021년09월_계_연령구간인구수,"848,711","193,680","2,222","4,922","3,882","6,796","3,925","6,970","6,842","8,666","10,550","31,087","13,415","54,423","39,980","193,192","10,129","3,254","7,153","13,950","14,735","14,408","26,428","30,373","13,275","15,968","43,519","267,592","24,067","10,779","17,972","16,783","50,751","15,875","55,578","9,682","24,085","28,476","13,544","194,247","19,185","70,265","4,554","12,300","8,468","13,412","47,658","18,405"
2021년09월_계_0~9세,"71,858","16,039",50,103,87,392,84,369,237,389,588,"2,531","1,475","5,364","4,370","12,947",622,75,280,"1,332",626,626,"2,263","2,385",488,892,"3,358","23,664","2,202",649,"2,276",816,"5,607",585,"4,912",447,"1,615","2,000","2,555","19,208","1,379","9,769",81,497,308,830,"4,039","2,305"
2021년09월_계_10~19세,"85,017","19,709",54,184,115,443,183,530,369,644,872,"3,752","1,958","6,320","4,285","19,580",628,109,468,"1,372",934,984,"3,871","3,965",910,"1,373","4,966","26,362","2,379","1,024","1,269","1,422","6,445","1,023","6,778",564,"2,235","2,223","1,000","19,366","1,827","7,587",155,741,537,"1,076","5,044","2,399"
2021년09월_계_20~29세,"119,709","24,597",156,299,299,697,291,"1,055",967,"1,013","1,249","4,098","1,498","7,482","5,493","28,220","1,097",183,849,"1,588","3,475","2,276","3,654","4,412","1,982","1,988","6,716","40,919","3,351","1,413","1,872","2,457","7,232","3,316","7,762","2,055","4,239","5,339","1,883","25,973","2,266","8,865",336,"2,082","1,081","2,046","7,386","1,911"
2021년09월_계_30~39세,"118,109","23,434",118,285,213,672,219,860,693,775,"1,149","3,414","1,508","7,505","6,023","22,234","1,099",202,693,"1,807","1,961","1,539","3,113","3,297","1,314","1,710","5,499","41,436","3,984","1,097","3,450","1,847","8,276","1,875","7,129","1,630","3,953","4,685","3,510","31,005","1,948","15,261",293,"1,480",771,"1,627","6,765","2,860"
2021년09월_계_40~49세,"135,789","30,445",163,376,358,770,360,940,795,"1,166","1,488","5,425","2,510","9,354","6,740","29,881","1,228",315,941,"2,069","1,827","1,828","4,993","5,411","1,675","2,092","7,502","43,151","4,122","1,555","2,625","2,347","9,920","1,963","9,293","1,270","3,818","4,270","1,968","32,312","3,009","12,863",402,"1,488","1,131","1,990","7,851","3,578"
2021년09월_계_50~59세,"137,648","33,394",431,848,822,"1,290",740,"1,111","1,160","1,572","1,887","5,244","2,146","9,288","6,855","33,694","2,097",568,"1,407","2,256","2,096","2,528","4,566","5,576","2,376","3,121","7,103","42,963","3,299","2,032","2,656","3,378","7,359","2,800","10,177","1,538","3,952","4,525","1,247","27,597","3,532","7,481",849,"2,003","1,493","2,222","7,710","2,307"
2021년09월_계_60~69세,"104,619","26,063",637,"1,372","1,001","1,375",905,"1,030","1,315","1,570","1,821","3,790","1,341","5,846","4,060","26,834","1,924",805,"1,362","2,105","2,067","2,643","2,387","3,058","2,474","2,763","5,246","29,825","2,593","1,654","2,212","2,723","3,752","2,528","6,279","1,298","2,736","3,264",786,"21,897","2,821","4,985","1,175","2,021","1,638","1,930","5,578","1,749"
2021년09월_계_70~79세,"47,652","12,385",326,805,570,616,605,646,785,978,"1,005","1,897",639,"2,110","1,403","12,517",839,539,705,875,"1,199","1,279","1,015","1,377","1,331","1,281","2,077","12,316","1,330",819,976,"1,122","1,418","1,229","2,138",614,"1,006","1,344",320,"10,434","1,414","2,142",688,"1,245",966,"1,109","2,086",784
