,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년03월_계_총인구수,"77,136","9,029","6,666","5,001","4,638","5,276","8,275","5,224","3,445","7,161","12,185","7,695","2,541"
2020년03월_계_연령구간인구수,"77,136","9,029","6,666","5,001","4,638","5,276","8,275","5,224","3,445","7,161","12,185","7,695","2,541"
2020년03월_계_0~9세,"5,382",357,511,180,141,573,927,284,121,635,"1,003",570,80
2020년03월_계_10~19세,"5,170",497,385,246,207,254,571,326,219,539,"1,110",643,173
2020년03월_계_20~29세,"11,719","1,538","1,748","1,353",822,658,845,878,534,729,"1,368",984,262
2020년03월_계_30~39세,"10,991","1,205","1,239",756,536,"1,066","1,472",676,383,"1,019","1,462",957,220
2020년03월_계_40~49세,"10,962","1,203",914,575,528,705,"1,177",681,490,"1,146","1,977","1,180",386
2020년03월_계_50~59세,"11,479","1,394",701,632,760,755,"1,266",852,568,"1,098","1,827","1,201",425
2020년03월_계_60~69세,"10,168","1,305",581,575,800,662,"1,038",705,491,965,"1,680",949,417
2020년03월_계_70~79세,"7,395","1,020",363,441,564,408,662,554,407,676,"1,145",754,401
2020년03월_계_80~89세,"3,286",424,187,191,222,160,272,247,189,314,539,391,150
2020년03월_계_90~99세,489,74,30,47,43,30,35,19,29,36,66,59,21
2020년03월_계_100세 이상,95,12,7,5,15,5,10,2,14,4,8,7,6
2020년03월_남_총인구수,"37,161","4,475","3,183","2,358","2,352","2,641","4,018","2,515","1,654","3,321","5,780","3,617","1,247"
2020년03월_남_연령구간인구수,"37,161","4,475","3,183","2,358","2,352","2,641","4,018","2,515","1,654","3,321","5,780","3,617","1,247"
2020년03월_남_0~9세,"2,771",172,255,96,75,283,442,153,59,346,539,310,41
2020년03월_남_10~19세,"2,637",241,183,115,104,134,318,155,115,273,589,313,97
2020년03월_남_20~29세,"5,665",752,801,552,405,328,444,429,264,337,719,495,139
2020년03월_남_30~39세,"5,662",673,645,424,310,552,721,333,195,508,724,456,121
2020년03월_남_40~49세,"5,634",666,482,292,294,380,615,361,245,567,969,563,200
2020년03월_남_50~59세,"5,634",717,333,336,403,382,595,426,294,509,842,578,219
2020년03월_남_60~69세,"4,701",645,248,289,405,325,495,334,226,397,715,427,195
2020년03월_남_70~79세,"3,128",439,156,173,256,193,275,241,177,272,485,291,170
2020년03월_남_80~89세,"1,192",152,74,64,87,55,104,76,73,106,181,161,59
2020년03월_남_90~99세,118,16,5,14,9,8,8,6,3,6,15,22,6
2020년03월_남_100세 이상,19,2,1,3,4,1,1,1,3,0,2,1,0
2020년03월_여_총인구수,"39,975","4,554","3,483","2,643","2,286","2,635","4,257","2,709","1,791","3,840","6,405","4,078","1,294"
2020년03월_여_연령구간인구수,"39,975","4,554","3,483","2,643","2,286","2,635","4,257","2,709","1,791","3,840","6,405","4,078","1,294"
2020년03월_여_0~9세,"2,611",185,256,84,66,290,485,131,62,289,464,260,39
2020년03월_여_10~19세,"2,533",256,202,131,103,120,253,171,104,266,521,330,76
2020년03월_여_20~29세,"6,054",786,947,801,417,330,401,449,270,392,649,489,123
2020년03월_여_30~39세,"5,329",532,594,332,226,514,751,343,188,511,738,501,99
2020년03월_여_40~49세,"5,328",537,432,283,234,325,562,320,245,579,"1,008",617,186
2020년03월_여_50~59세,"5,845",677,368,296,357,373,671,426,274,589,985,623,206
2020년03월_여_60~69세,"5,467",660,333,286,395,337,543,371,265,568,965,522,222
2020년03월_여_70~79세,"4,267",581,207,268,308,215,387,313,230,404,660,463,231
2020년03월_여_80~89세,"2,094",272,113,127,135,105,168,171,116,208,358,230,91
2020년03월_여_90~99세,371,58,25,33,34,22,27,13,26,30,51,37,15
2020년03월_여_100세 이상,76,10,6,2,11,4,9,1,11,4,6,6,6
