,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년05월_계_총인구수,"65,834","10,227","3,339","1,732","5,208","1,355",713,"1,885",705,682,"7,799","14,720","9,238","8,231"
2020년05월_계_연령구간인구수,"65,834","10,227","3,339","1,732","5,208","1,355",713,"1,885",705,682,"7,799","14,720","9,238","8,231"
2020년05월_계_0~9세,"4,000",352,97,40,96,31,7,51,14,22,312,"1,730",685,563
2020년05월_계_10~19세,"5,223",759,144,77,247,43,11,74,27,9,507,"1,694",853,778
2020년05월_계_20~29세,"7,402","1,932",248,120,376,70,32,93,34,26,767,"1,906","1,010",788
2020년05월_계_30~39세,"6,073",603,229,106,285,80,23,99,28,45,637,"2,140","1,017",781
2020년05월_계_40~49세,"9,094","1,139",408,186,473,155,67,210,80,77,954,"2,570","1,559","1,216"
2020년05월_계_50~59세,"11,519","1,725",626,354,"1,015",302,148,352,140,134,"1,511","2,267","1,546","1,399"
2020년05월_계_60~69세,"10,797","1,805",670,368,"1,138",359,169,413,171,151,"1,562","1,347","1,275","1,369"
2020년05월_계_70~79세,"7,207","1,257",530,300,863,189,140,328,125,127,"1,007",686,829,826
2020년05월_계_80~89세,"3,918",577,330,155,611,113,97,228,77,83,480,320,392,455
2020년05월_계_90~99세,552,63,49,26,97,13,19,36,8,7,60,56,64,54
2020년05월_계_100세 이상,49,15,8,0,7,0,0,1,1,1,2,4,8,2
2020년05월_남_총인구수,"33,390","5,124","1,740",859,"2,679",730,388,981,356,374,"3,857","7,493","4,730","4,079"
2020년05월_남_연령구간인구수,"33,390","5,124","1,740",859,"2,679",730,388,981,356,374,"3,857","7,493","4,730","4,079"
2020년05월_남_0~9세,"2,038",167,53,21,52,16,3,31,10,12,173,869,352,279
2020년05월_남_10~19세,"2,749",369,75,45,161,25,6,45,12,3,271,868,468,401
2020년05월_남_20~29세,"4,186","1,046",166,63,243,35,21,62,21,13,429,"1,089",562,436
2020년05월_남_30~39세,"3,261",310,142,67,172,52,14,54,14,27,358,"1,095",534,422
2020년05월_남_40~49세,"5,049",652,273,117,317,112,47,151,54,60,503,"1,272",843,648
2020년05월_남_50~59세,"6,125",924,365,181,579,159,96,201,79,80,739,"1,172",854,696
2020년05월_남_60~69세,"5,391",910,341,188,582,196,98,217,82,89,738,677,619,654
2020년05월_남_70~79세,"3,157",547,217,113,360,85,62,149,56,59,464,312,359,374
2020년05월_남_80~89세,"1,315",175,99,59,201,47,35,66,27,30,171,124,124,157
2020년05월_남_90~99세,107,19,6,5,11,3,6,5,1,1,11,14,14,11
2020년05월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년05월_여_총인구수,"32,444","5,103","1,599",873,"2,529",625,325,904,349,308,"3,942","7,227","4,508","4,152"
2020년05월_여_연령구간인구수,"32,444","5,103","1,599",873,"2,529",625,325,904,349,308,"3,942","7,227","4,508","4,152"
2020년05월_여_0~9세,"1,962",185,44,19,44,15,4,20,4,10,139,861,333,284
2020년05월_여_10~19세,"2,474",390,69,32,86,18,5,29,15,6,236,826,385,377
2020년05월_여_20~29세,"3,216",886,82,57,133,35,11,31,13,13,338,817,448,352
2020년05월_여_30~39세,"2,812",293,87,39,113,28,9,45,14,18,279,"1,045",483,359
2020년05월_여_40~49세,"4,045",487,135,69,156,43,20,59,26,17,451,"1,298",716,568
2020년05월_여_50~59세,"5,394",801,261,173,436,143,52,151,61,54,772,"1,095",692,703
2020년05월_여_60~69세,"5,406",895,329,180,556,163,71,196,89,62,824,670,656,715
2020년05월_여_70~79세,"4,050",710,313,187,503,104,78,179,69,68,543,374,470,452
2020년05월_여_80~89세,"2,603",402,231,96,410,66,62,162,50,53,309,196,268,298
2020년05월_여_90~99세,445,44,43,21,86,10,13,31,7,6,49,42,50,43
2020년05월_여_100세 이상,37,10,5,0,6,0,0,1,1,1,2,3,7,1
