,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년07월_계_총인구수,"62,662","39,158",937,427,"1,818","1,037","1,802","3,262","2,874","1,452",993,"1,589","1,649","2,187","3,477"
2020년07월_계_연령구간인구수,"62,662","39,158",937,427,"1,818","1,037","1,802","3,262","2,874","1,452",993,"1,589","1,649","2,187","3,477"
2020년07월_계_0~9세,"3,581","2,962",14,13,38,26,42,121,87,31,19,35,39,48,106
2020년07월_계_10~19세,"5,833","4,798",44,13,78,23,54,209,134,56,37,61,69,68,189
2020년07월_계_20~29세,"6,761","5,094",62,8,118,55,103,302,218,76,80,81,118,148,298
2020년07월_계_30~39세,"4,848","3,585",48,22,92,34,89,231,185,57,54,59,67,127,198
2020년07월_계_40~49세,"8,494","6,402",103,41,123,66,151,343,285,112,79,129,128,181,351
2020년07월_계_50~59세,"11,312","6,936",161,69,333,204,324,580,561,256,198,302,290,409,689
2020년07월_계_60~69세,"9,122","4,380",191,91,354,190,352,648,604,315,204,323,323,462,685
2020년07월_계_70~79세,"7,488","3,173",189,110,354,199,362,501,426,317,184,357,341,432,543
2020년07월_계_80~89세,"4,561","1,611",113,51,291,217,276,284,320,204,121,210,227,263,373
2020년07월_계_90~99세,629,205,11,9,37,22,46,43,53,26,15,31,44,47,40
2020년07월_계_100세 이상,33,12,1,0,0,1,3,0,1,2,2,1,3,2,5
2020년07월_남_총인구수,"30,996","19,276",479,202,925,504,869,"1,610","1,423",755,516,792,769,"1,109","1,767"
2020년07월_남_연령구간인구수,"30,996","19,276",479,202,925,504,869,"1,610","1,423",755,516,792,769,"1,109","1,767"
2020년07월_남_0~9세,"1,816","1,517",5,7,21,13,19,61,34,14,8,23,17,27,50
2020년07월_남_10~19세,"3,046","2,496",25,8,44,11,25,98,73,31,19,30,33,39,114
2020년07월_남_20~29세,"3,656","2,710",37,4,56,30,54,182,122,51,52,54,64,82,158
2020년07월_남_30~39세,"2,473","1,756",35,11,59,14,49,125,112,34,32,29,44,72,101
2020년07월_남_40~49세,"4,431","3,137",64,27,84,53,93,190,174,74,52,90,70,118,205
2020년07월_남_50~59세,"6,189","3,587",100,43,214,126,208,323,309,154,112,194,168,242,409
2020년07월_남_60~69세,"4,757","2,169",95,44,209,110,190,337,325,181,116,175,174,253,379
2020년07월_남_70~79세,"3,075","1,310",81,39,148,81,146,200,189,133,76,133,129,178,232
2020년07월_남_80~89세,"1,407",543,37,17,81,61,73,87,76,74,43,57,63,84,111
2020년07월_남_90~99세,144,50,0,2,9,5,11,7,9,9,6,7,7,14,8
2020년07월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"31,666","19,882",458,225,893,533,933,"1,652","1,451",697,477,797,880,"1,078","1,710"
2020년07월_여_연령구간인구수,"31,666","19,882",458,225,893,533,933,"1,652","1,451",697,477,797,880,"1,078","1,710"
2020년07월_여_0~9세,"1,765","1,445",9,6,17,13,23,60,53,17,11,12,22,21,56
2020년07월_여_10~19세,"2,787","2,302",19,5,34,12,29,111,61,25,18,31,36,29,75
2020년07월_여_20~29세,"3,105","2,384",25,4,62,25,49,120,96,25,28,27,54,66,140
2020년07월_여_30~39세,"2,375","1,829",13,11,33,20,40,106,73,23,22,30,23,55,97
2020년07월_여_40~49세,"4,063","3,265",39,14,39,13,58,153,111,38,27,39,58,63,146
2020년07월_여_50~59세,"5,123","3,349",61,26,119,78,116,257,252,102,86,108,122,167,280
2020년07월_여_60~69세,"4,365","2,211",96,47,145,80,162,311,279,134,88,148,149,209,306
2020년07월_여_70~79세,"4,413","1,863",108,71,206,118,216,301,237,184,108,224,212,254,311
2020년07월_여_80~89세,"3,154","1,068",76,34,210,156,203,197,244,130,78,153,164,179,262
2020년07월_여_90~99세,485,155,11,7,28,17,35,36,44,17,9,24,37,33,32
2020년07월_여_100세 이상,31,11,1,0,0,1,2,0,1,2,2,1,3,2,5
