,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년04월_계_총인구수,"25,548","10,229",824,"1,060","1,418",886,"1,973","1,798","1,873","2,903","1,081","1,503"
2020년04월_계_연령구간인구수,"25,548","10,229",824,"1,060","1,418",886,"1,973","1,798","1,873","2,903","1,081","1,503"
2020년04월_계_0~9세,"1,361",738,15,49,71,32,84,80,64,141,50,37
2020년04월_계_10~19세,"1,676",854,27,62,82,40,91,83,88,220,60,69
2020년04월_계_20~29세,"1,994",936,39,65,75,57,155,136,140,237,71,83
2020년04월_계_30~39세,"1,756",888,38,55,62,61,112,98,107,201,79,55
2020년04월_계_40~49세,"2,840","1,385",65,84,126,86,203,184,157,321,93,136
2020년04월_계_50~59세,"4,642","1,751",176,207,268,168,357,313,339,563,214,286
2020년04월_계_60~69세,"4,685","1,536",210,206,284,197,392,378,372,590,212,308
2020년04월_계_70~79세,"3,793","1,238",160,181,246,140,318,305,356,373,163,313
2020년04월_계_80~89세,"2,409",785,79,131,166,98,227,189,215,216,120,183
2020년04월_계_90~99세,366,109,13,20,35,7,33,26,32,40,18,33
2020년04월_계_100세 이상,26,9,2,0,3,0,1,6,3,1,1,0
2020년04월_남_총인구수,"12,888","5,143",412,515,670,454,"1,021",899,920,"1,514",566,774
2020년04월_남_연령구간인구수,"12,888","5,143",412,515,670,454,"1,021",899,920,"1,514",566,774
2020년04월_남_0~9세,685,363,7,23,29,14,46,45,33,73,29,23
2020년04월_남_10~19세,883,437,15,30,39,19,54,45,49,123,33,39
2020년04월_남_20~29세,"1,132",533,23,38,48,36,88,67,65,143,46,45
2020년04월_남_30~39세,846,401,24,29,25,31,68,41,48,98,47,34
2020년04월_남_40~49세,"1,662",791,40,43,63,48,131,120,101,185,55,85
2020년04월_남_50~59세,"2,620",969,97,108,149,95,206,185,201,326,109,175
2020년04월_남_60~69세,"2,458",813,108,113,153,106,196,198,186,310,117,158
2020년04월_남_70~79세,"1,725",548,72,79,111,70,150,140,152,180,80,143
2020년04월_남_80~89세,774,253,23,47,42,33,78,50,75,65,44,64
2020년04월_남_90~99세,94,31,2,5,10,2,4,6,9,11,6,8
2020년04월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년04월_여_총인구수,"12,660","5,086",412,545,748,432,952,899,953,"1,389",515,729
2020년04월_여_연령구간인구수,"12,660","5,086",412,545,748,432,952,899,953,"1,389",515,729
2020년04월_여_0~9세,676,375,8,26,42,18,38,35,31,68,21,14
2020년04월_여_10~19세,793,417,12,32,43,21,37,38,39,97,27,30
2020년04월_여_20~29세,862,403,16,27,27,21,67,69,75,94,25,38
2020년04월_여_30~39세,910,487,14,26,37,30,44,57,59,103,32,21
2020년04월_여_40~49세,"1,178",594,25,41,63,38,72,64,56,136,38,51
2020년04월_여_50~59세,"2,022",782,79,99,119,73,151,128,138,237,105,111
2020년04월_여_60~69세,"2,227",723,102,93,131,91,196,180,186,280,95,150
2020년04월_여_70~79세,"2,068",690,88,102,135,70,168,165,204,193,83,170
2020년04월_여_80~89세,"1,635",532,56,84,124,65,149,139,140,151,76,119
2020년04월_여_90~99세,272,78,11,15,25,5,29,20,23,29,12,25
2020년04월_여_100세 이상,17,5,1,0,2,0,1,4,2,1,1,0
