카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년05월_계_총인구수,"89,710","4,855","5,895","10,898","6,505","4,283","10,154","4,284","5,729","11,252","12,255","8,979","4,621"
2020년05월_계_연령구간인구수,"89,710","4,855","5,895","10,898","6,505","4,283","10,154","4,284","5,729","11,252","12,255","8,979","4,621"
2020년05월_계_0~9세,"4,248",187,166,954,218,193,416,139,201,482,414,501,377
2020년05월_계_10~19세,"5,322",270,275,676,440,323,638,254,380,666,666,463,271
2020년05월_계_20~29세,"10,678",683,658,"1,640",667,502,"1,246",384,606,"1,329","1,360","1,169",434
2020년05월_계_30~39세,"10,588",521,566,"2,251",548,415,"1,163",320,463,"1,224","1,193","1,207",717
2020년05월_계_40~49세,"12,254",710,790,"1,673",875,613,"1,344",522,756,"1,479","1,493","1,292",707
2020년05월_계_50~59세,"15,062",794,"1,036","1,514","1,070",717,"1,722",747,"1,005","1,912","2,231","1,666",648
2020년05월_계_60~69세,"15,786",849,"1,220","1,200","1,224",734,"1,822",825,"1,074","2,003","2,532","1,547",756
2020년05월_계_70~79세,"10,636",587,802,646,950,549,"1,235",744,847,"1,476","1,565",773,462
2020년05월_계_80~89세,"4,465",222,319,276,442,208,502,308,342,607,713,319,207
2020년05월_계_90~99세,572,26,54,60,58,24,51,39,53,61,75,34,37
2020년05월_계_100세 이상,99,6,9,8,13,5,15,2,2,13,13,8,5
2020년05월_남_총인구수,"44,007","2,426","2,914","5,358","3,175","2,078","4,877","2,137","2,747","5,456","6,047","4,518","2,274"
2020년05월_남_연령구간인구수,"44,007","2,426","2,914","5,358","3,175","2,078","4,877","2,137","2,747","5,456","6,047","4,518","2,274"
2020년05월_남_0~9세,"2,245",80,99,500,117,97,211,79,115,268,222,268,189
2020년05월_남_10~19세,"2,764",151,142,365,243,160,318,147,191,331,324,243,149
2020년05월_남_20~29세,"5,389",344,332,682,371,265,621,219,337,694,731,589,204
2020년05월_남_30~39세,"5,696",284,327,"1,167",311,231,642,187,249,636,651,633,378
2020년05월_남_40~49세,"6,570",403,442,862,454,324,696,290,405,795,835,678,386
2020년05월_남_50~59세,"7,626",422,545,782,546,355,838,413,482,941,"1,124",853,325
2020년05월_남_60~69세,"7,490",400,559,597,561,327,844,399,487,930,"1,234",762,390
2020년05월_남_70~79세,"4,494",260,338,288,394,228,522,285,357,623,668,351,180
2020년05월_남_80~89세,"1,547",71,109,94,160,82,164,106,110,221,238,127,65
2020년05월_남_90~99세,156,8,17,16,13,9,18,12,14,13,17,12,7
2020년05월_남_100세 이상,30,3,4,5,5,0,3,0,0,4,3,2,1
2020년05월_여_총인구수,"45,703","2,429","2,981","5,540","3,330","2,205","5,277","2,147","2,982","5,796","6,208","4,461","2,347"
2020년05월_여_연령구간인구수,"45,703","2,429","2,981","5,540","3,330","2,205","5,277","2,147","2,982","5,796","6,208","4,461","2,347"
2020년05월_여_0~9세,"2,003",107,67,454,101,96,205,60,86,214,192,233,188
2020년05월_여_10~19세,"2,558",119,133,311,197,163,320,107,189,335,342,220,122
2020년05월_여_20~29세,"5,289",339,326,958,296,237,625,165,269,635,629,580,230
2020년05월_여_30~39세,"4,892",237,239,"1,084",237,184,521,133,214,588,542,574,339
2020년05월_여_40~49세,"5,684",307,348,811,421,289,648,232,351,684,658,614,321
2020년05월_여_50~59세,"7,436",372,491,732,524,362,884,334,523,971,"1,107",813,323
2020년05월_여_60~69세,"8,296",449,661,603,663,407,978,426,587,"1,073","1,298",785,366
2020년05월_여_70~79세,"6,142",327,464,358,556,321,713,459,490,853,897,422,282
2020년05월_여_80~89세,"2,918",151,210,182,282,126,338,202,232,386,475,192,142
2020년05월_여_90~99세,416,18,37,44,45,15,33,27,39,48,58,22,30
2020년05월_여_100세 이상,69,3,5,3,8,5,12,2,2,9,10,6,4
