카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년08월_계_총인구수,"554,857","240,946","12,838","21,703","16,925","7,299","11,514","20,620","15,985","11,117","17,697","20,037","32,763","13,881","15,439","23,128","313,911","21,800","11,186","19,190","17,778","11,252","37,515","19,516","27,579","15,197","24,194","16,937","8,204","21,169","22,135","15,532","13,404","11,323"
2020년08월_계_연령구간인구수,"554,857","240,946","12,838","21,703","16,925","7,299","11,514","20,620","15,985","11,117","17,697","20,037","32,763","13,881","15,439","23,128","313,911","21,800","11,186","19,190","17,778","11,252","37,515","19,516","27,579","15,197","24,194","16,937","8,204","21,169","22,135","15,532","13,404","11,323"
2020년08월_계_0~9세,"40,464","15,954",997,"1,190",893,290,515,"1,128","1,807",504,"1,031","1,479","2,274",980,725,"2,141","24,510","1,848",843,"1,028","1,518",786,"2,272","1,273","2,447","1,389","2,519","1,481",996,"1,511","1,656","1,193",982,768
2020년08월_계_10~19세,"53,331","19,216","1,128","1,544","1,355",497,812,"1,310","1,333",733,"1,312","1,591","2,694","1,376","1,189","2,342","34,115","2,262","1,105","1,508","2,302",742,"3,059","1,488","2,473","1,734","3,789","3,418",748,"1,789","2,122","2,339","1,669","1,568"
2020년08월_계_20~29세,"78,686","34,898","1,958","3,438","2,515","1,083","1,565","3,138","2,060","1,677","2,555","2,652","4,715","1,999","2,156","3,387","43,788","2,967","1,599","2,961","2,145","1,492","6,044","3,058","3,641","2,228","2,634","1,887",969,"3,404","3,293","1,995","1,950","1,521"
2020년08월_계_30~39세,"77,768","33,368","1,934","3,020","2,239",962,"1,439","3,442","2,798","1,539","2,151","2,737","4,313","1,632","1,698","3,464","44,400","2,835","1,438","2,504","2,267","2,390","4,952","3,092","5,982","1,894","3,290","1,281","1,604","3,183","3,010","1,907","1,628","1,143"
2020년08월_계_40~49세,"89,152","35,604","2,033","3,063","2,399","1,016","1,633","3,052","2,619","1,509","2,319","3,045","4,918","2,146","2,293","3,559","53,548","3,569","1,724","2,504","3,376","1,893","5,273","3,028","5,153","2,601","5,382","4,057","1,469","2,947","3,308","3,047","2,223","1,994"
2020년08월_계_50~59세,"98,420","43,938","2,233","4,007","3,105","1,338","2,125","3,541","2,655","2,080","3,400","3,553","6,232","2,596","3,139","3,934","54,482","3,980","2,125","3,889","2,774","1,713","7,183","3,554","3,947","2,942","3,445","2,617","1,183","3,937","4,260","2,510","2,469","1,954"
2020년08월_계_60~69세,"69,324","33,732","1,499","3,157","2,643","1,072","1,865","2,935","1,693","1,828","2,827","2,902","4,339","1,876","2,357","2,739","35,592","2,731","1,434","2,904","1,985","1,231","5,097","2,320","2,351","1,452","1,852","1,241",789,"2,868","2,988","1,386","1,588","1,375"
2020년08월_계_70~79세,"31,482","16,342",723,"1,593","1,243",661,"1,003","1,374",711,864,"1,418","1,385","2,216",831,"1,294","1,026","15,140","1,064",636,"1,197",903,607,"2,417","1,124","1,022",573,770,595,292,"1,023","1,001",681,603,632
