카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년09월_계_총인구수,"62,655","39,195",940,424,"1,816","1,035","1,793","3,254","2,893","1,451",996,"1,604","1,631","2,194","3,429"
2020년09월_계_연령구간인구수,"62,655","39,195",940,424,"1,816","1,035","1,793","3,254","2,893","1,451",996,"1,604","1,631","2,194","3,429"
2020년09월_계_0~9세,"3,561","2,946",15,11,37,28,40,125,92,30,18,33,38,48,100
2020년09월_계_10~19세,"5,751","4,745",43,15,78,22,49,210,133,54,34,60,66,67,175
2020년09월_계_20~29세,"6,777","5,108",64,9,120,55,101,299,222,78,86,80,115,153,287
2020년09월_계_30~39세,"4,813","3,565",48,22,90,33,85,222,187,55,54,67,61,126,198
2020년09월_계_40~49세,"8,427","6,374",103,39,121,66,142,343,282,112,74,126,129,180,336
2020년09월_계_50~59세,"11,288","6,928",162,65,331,199,326,569,562,250,204,304,287,411,690
2020년09월_계_60~69세,"9,253","4,483",191,94,359,196,359,649,606,324,202,331,322,459,678
2020년09월_계_70~79세,"7,497","3,175",189,110,353,198,362,508,431,311,184,357,338,431,550
2020년09월_계_80~89세,"4,612","1,647",114,50,290,212,278,286,323,210,123,213,228,269,369
2020년09월_계_90~99세,643,212,11,9,37,25,48,43,54,24,15,32,44,48,41
2020년09월_계_100세 이상,33,12,0,0,0,1,3,0,1,3,2,1,3,2,5
2020년09월_남_총인구수,"30,975","19,274",482,199,924,503,866,"1,603","1,434",754,516,803,762,"1,113","1,742"
2020년09월_남_연령구간인구수,"30,975","19,274",482,199,924,503,866,"1,603","1,434",754,516,803,762,"1,113","1,742"
2020년09월_남_0~9세,"1,804","1,505",6,5,20,14,19,63,37,14,8,22,16,27,48
2020년09월_남_10~19세,"2,990","2,454",25,10,46,10,22,101,72,31,16,30,31,40,102
2020년09월_남_20~29세,"3,669","2,723",38,4,57,30,52,180,125,49,56,54,65,81,155
2020년09월_남_30~39세,"2,436","1,736",33,11,57,15,47,119,111,33,31,34,40,71,98
2020년09월_남_40~49세,"4,404","3,119",64,25,82,53,89,193,175,75,50,90,72,117,200
2020년09월_남_50~59세,"6,172","3,589",103,41,210,120,208,315,306,152,116,191,167,246,408
2020년09월_남_60~69세,"4,825","2,222",94,44,214,116,195,334,327,184,112,181,175,252,375
2020년09월_남_70~79세,"3,104","1,318",82,40,149,81,146,205,194,131,78,136,127,179,238
2020년09월_남_80~89세,"1,423",558,37,17,80,59,75,85,78,76,43,58,62,86,109
2020년09월_남_90~99세,146,49,0,2,9,5,12,8,9,9,6,7,7,14,9
2020년09월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"31,680","19,921",458,225,892,532,927,"1,651","1,459",697,480,801,869,"1,081","1,687"
2020년09월_여_연령구간인구수,"31,680","19,921",458,225,892,532,927,"1,651","1,459",697,480,801,869,"1,081","1,687"
2020년09월_여_0~9세,"1,757","1,441",9,6,17,14,21,62,55,16,10,11,22,21,52
2020년09월_여_10~19세,"2,761","2,291",18,5,32,12,27,109,61,23,18,30,35,27,73
2020년09월_여_20~29세,"3,108","2,385",26,5,63,25,49,119,97,29,30,26,50,72,132
2020년09월_여_30~39세,"2,377","1,829",15,11,33,18,38,103,76,22,23,33,21,55,100
2020년09월_여_40~49세,"4,023","3,255",39,14,39,13,53,150,107,37,24,36,57,63,136
2020년09월_여_50~59세,"5,116","3,339",59,24,121,79,118,254,256,98,88,113,120,165,282
2020년09월_여_60~69세,"4,428","2,261",97,50,145,80,164,315,279,140,90,150,147,207,303
2020년09월_여_70~79세,"4,393","1,857",107,70,204,117,216,303,237,180,106,221,211,252,312
2020년09월_여_80~89세,"3,189","1,089",77,33,210,153,203,201,245,134,80,155,166,183,260
2020년09월_여_90~99세,497,163,11,7,28,20,36,35,45,15,9,25,37,34,32
2020년09월_여_100세 이상,31,11,0,0,0,1,2,0,1,3,2,1,3,2,5
