,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년05월_계_총인구수,"13,324,041","1,192,018","276,317","370,687","175,396","369,618","940,519","234,702","218,785","487,032","454,859","559,792","242,105","317,687","826,093","314,413","522,111","94,097","654,047","349,230","304,817","1,076,179","473,322","299,302","303,555","60,790","198,883","706,444","227,749","479,368","275,902","164,150","281,340","1,070,987","255,729","440,274","374,984","455,471","217,547","185,018","447,038","834,378","376,753","225,069","148,081","111,234","43,689","62,566","117,456"
2020년05월_계_연령구간인구수,"13,324,041","1,192,018","276,317","370,687","175,396","369,618","940,519","234,702","218,785","487,032","454,859","559,792","242,105","317,687","826,093","314,413","522,111","94,097","654,047","349,230","304,817","1,076,179","473,322","299,302","303,555","60,790","198,883","706,444","227,749","479,368","275,902","164,150","281,340","1,070,987","255,729","440,274","374,984","455,471","217,547","185,018","447,038","834,378","376,753","225,069","148,081","111,234","43,689","62,566","117,456"
2020년05월_계_0~9세,"1,169,656","101,337","19,309","33,762","10,013","38,253","70,631","15,570","13,861","41,200","34,836","41,329","16,281","25,048","60,032","25,071","48,483","6,619","45,960","24,185","21,775","84,470","39,222","21,558","23,690","4,891","15,824","66,483","24,541","46,665","21,805","13,493","30,103","104,156","21,765","44,629","37,762","44,568","19,516","14,532","52,326","105,931","35,836","19,742","9,002","7,627","2,865","3,529","7,453"
2020년05월_계_10~19세,"1,341,519","121,072","29,499","34,119","14,399","43,055","89,441","17,580","17,231","54,630","43,008","54,169","19,523","34,646","72,698","32,134","52,782","8,807","66,242","35,208","31,034","107,211","42,146","30,349","34,716","6,362","18,658","77,535","24,851","49,454","27,437","15,012","24,271","123,010","25,965","51,310","45,735","48,295","22,757","18,502","45,686","94,503","33,608","23,861","12,690","9,751","3,239","4,794","9,679"
2020년05월_계_20~29세,"1,788,779","186,965","44,194","54,970","28,578","59,223","132,358","34,121","31,469","66,768","63,215","79,728","35,017","44,711","118,924","40,742","70,912","11,150","105,987","57,492","48,495","151,039","62,945","44,956","43,138","8,369","27,570","83,689","30,909","66,914","38,552","23,119","33,753","135,480","33,797","55,594","46,089","55,586","29,489","21,989","48,678","100,281","44,433","26,807","17,941","12,118","5,439","6,194","10,449"
2020년05월_계_30~39세,"1,916,581","182,542","33,651","59,796","24,912","64,183","138,313","34,841","31,630","71,842","59,747","79,077","33,934","45,143","119,007","44,448","78,067","10,350","86,210","44,233","41,977","142,786","67,178","38,601","37,007","8,324","27,198","90,855","39,553","73,832","39,338","22,856","48,219","148,644","34,295","61,548","52,801","66,699","30,739","23,259","71,424","150,853","58,846","27,492","14,921","11,769","4,318","5,917","10,978"
2020년05월_계_40~49세,"2,294,087","204,852","46,589","61,763","27,839","68,661","158,734","36,847","33,856","88,031","74,551","90,203","35,901","54,302","131,495","54,232","91,309","14,555","110,183","58,756","51,427","184,868","79,088","52,271","53,509","9,371","33,182","129,462","42,500","87,240","45,402","25,158","49,189","200,769","43,283","84,587","72,899","79,109","34,872","30,035","82,849","159,242","65,372","38,864","21,016","16,078","5,021","8,007","16,367"
2020년05월_계_50~59세,"2,217,878","196,610","49,451","62,593","30,761","53,805","156,050","40,448","39,341","76,261","79,362","99,505","44,284","55,221","149,944","52,396","85,026","16,401","127,209","68,157","59,052","193,714","82,343","55,596","55,775","10,715","36,004","115,157","32,767","84,394","48,412","29,887","41,013","161,534","42,789","64,835","53,910","70,655","35,131","31,069","64,247","111,363","62,593","37,282","29,561","20,138","7,297","11,487","20,955"
2020년05월_계_60~69세,"1,453,705","114,605","29,490","37,991","21,613","25,511","109,093","31,523","29,748","47,822","54,100","68,372","33,136","35,236","105,866","37,977","51,749","12,655","66,984","35,440","31,544","114,225","53,824","30,760","29,641","6,930","23,389","79,070","18,778","42,571","31,634","20,671","32,939","102,000","29,631","39,770","32,599","46,572","24,585","23,868","45,698","65,122","45,466","27,302","23,218","17,634","7,274","11,665","21,693"
2020년05월_계_70~79세,"751,632","55,645","15,562","17,147","11,757","11,179","57,133","16,602","15,068","25,463","30,625","31,263","16,169","15,094","45,581","18,432","28,060","8,732","29,111","16,503","12,608","61,206","29,997","15,381","15,828","3,597","11,594","43,725","9,479","18,545","14,785","9,028","15,345","64,731","15,772","25,920","23,039","28,315","12,906","13,387","24,718","31,074","21,397","15,947","12,423","10,143","5,061","6,843","12,801"
