,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년10월_계_총인구수,"62,562","39,146",930,424,"1,816","1,035","1,795","3,261","2,887","1,435",993,"1,605","1,624","2,189","3,422"
2020년10월_계_연령구간인구수,"62,562","39,146",930,424,"1,816","1,035","1,795","3,261","2,887","1,435",993,"1,605","1,624","2,189","3,422"
2020년10월_계_0~9세,"3,527","2,920",14,11,36,28,41,126,94,26,16,35,34,46,100
2020년10월_계_10~19세,"5,721","4,719",41,15,76,21,49,210,133,54,34,59,66,71,173
2020년10월_계_20~29세,"6,788","5,128",64,8,117,60,101,298,221,77,83,80,113,149,289
2020년10월_계_30~39세,"4,771","3,526",46,21,94,34,84,228,187,49,49,67,61,125,200
2020년10월_계_40~49세,"8,368","6,352",102,37,118,63,141,341,279,107,71,124,123,181,329
2020년10월_계_50~59세,"11,268","6,937",159,68,327,196,324,567,553,247,206,299,293,407,685
2020년10월_계_60~69세,"9,331","4,518",193,94,366,197,368,653,606,324,208,335,326,462,681
2020년10월_계_70~79세,"7,503","3,173",189,111,353,199,360,509,436,312,185,360,333,432,551
2020년10월_계_80~89세,"4,615","1,648",111,51,292,212,278,287,323,212,124,211,231,266,369
2020년10월_계_90~99세,636,212,11,8,37,24,46,42,54,24,15,34,41,48,40
2020년10월_계_100세 이상,34,13,0,0,0,1,3,0,1,3,2,1,3,2,5
2020년10월_남_총인구수,"30,936","19,262",475,200,925,501,869,"1,605","1,425",742,517,803,760,"1,110","1,742"
2020년10월_남_연령구간인구수,"30,936","19,262",475,200,925,501,869,"1,605","1,425",742,517,803,760,"1,110","1,742"
2020년10월_남_0~9세,"1,791","1,494",6,5,19,14,19,63,38,12,8,23,15,28,47
2020년10월_남_10~19세,"2,957","2,428",23,10,44,9,22,100,72,30,16,29,31,43,100
2020년10월_남_20~29세,"3,688","2,745",39,4,58,32,52,177,125,49,53,53,65,79,157
2020년10월_남_30~39세,"2,423","1,726",31,11,59,16,46,123,110,30,28,35,40,68,100
2020년10월_남_40~49세,"4,354","3,100",63,24,80,50,89,189,170,72,47,89,69,118,194
2020년10월_남_50~59세,"6,168","3,599",101,42,206,118,204,314,305,151,121,188,167,244,408
2020년10월_남_60~69세,"4,877","2,245",95,44,219,119,205,338,323,180,116,183,178,253,379
2020년10월_남_70~79세,"3,111","1,318",81,41,150,80,145,206,196,135,79,138,125,179,238
2020년10월_남_80~89세,"1,423",558,36,17,81,59,75,87,76,74,43,58,63,85,111
2020년10월_남_90~99세,142,48,0,2,9,4,11,8,10,9,6,7,7,13,8
2020년10월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"31,626","19,884",455,224,891,534,926,"1,656","1,462",693,476,802,864,"1,079","1,680"
2020년10월_여_연령구간인구수,"31,626","19,884",455,224,891,534,926,"1,656","1,462",693,476,802,864,"1,079","1,680"
2020년10월_여_0~9세,"1,736","1,426",8,6,17,14,22,63,56,14,8,12,19,18,53
2020년10월_여_10~19세,"2,764","2,291",18,5,32,12,27,110,61,24,18,30,35,28,73
2020년10월_여_20~29세,"3,100","2,383",25,4,59,28,49,121,96,28,30,27,48,70,132
2020년10월_여_30~39세,"2,348","1,800",15,10,35,18,38,105,77,19,21,32,21,57,100
2020년10월_여_40~49세,"4,014","3,252",39,13,38,13,52,152,109,35,24,35,54,63,135
2020년10월_여_50~59세,"5,100","3,338",58,26,121,78,120,253,248,96,85,111,126,163,277
2020년10월_여_60~69세,"4,454","2,273",98,50,147,78,163,315,283,144,92,152,148,209,302
2020년10월_여_70~79세,"4,392","1,855",108,70,203,119,215,303,240,177,106,222,208,253,313
2020년10월_여_80~89세,"3,192","1,090",75,34,211,153,203,200,247,138,81,153,168,181,258
2020년10월_여_90~99세,494,164,11,6,28,20,35,34,44,15,9,27,34,35,32
2020년10월_여_100세 이상,32,12,0,0,0,1,2,0,1,3,2,1,3,2,5
