,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년09월_계_총인구수,"553,286","240,604","12,776","21,760","16,859","7,298","11,217","20,944","15,992","11,074","17,665","19,996","32,707","13,825","15,430","23,061","312,682","21,735","11,182","18,902","17,751","11,240","37,348","19,458","27,536","15,152","24,183","16,907","8,236","20,780","22,116","15,516","13,365","11,275"
2020년09월_계_연령구간인구수,"553,286","240,604","12,776","21,760","16,859","7,298","11,217","20,944","15,992","11,074","17,665","19,996","32,707","13,825","15,430","23,061","312,682","21,735","11,182","18,902","17,751","11,240","37,348","19,458","27,536","15,152","24,183","16,907","8,236","20,780","22,116","15,516","13,365","11,275"
2020년09월_계_0~9세,"40,181","15,879",986,"1,193",886,282,507,"1,152","1,813",495,"1,021","1,469","2,254",975,715,"2,131","24,302","1,843",844,"1,007","1,502",770,"2,227","1,264","2,432","1,397","2,499","1,453","1,000","1,496","1,653","1,197",974,744
2020년09월_계_10~19세,"53,023","19,056","1,109","1,536","1,338",493,797,"1,320","1,330",727,"1,294","1,570","2,664","1,352","1,187","2,339","33,967","2,255","1,101","1,482","2,290",744,"3,036","1,475","2,465","1,721","3,782","3,429",748,"1,763","2,115","2,339","1,652","1,570"
2020년09월_계_20~29세,"78,312","34,808","1,954","3,441","2,502","1,085","1,496","3,196","2,053","1,655","2,545","2,642","4,723","1,984","2,158","3,374","43,504","2,936","1,601","2,902","2,153","1,505","6,020","3,031","3,629","2,204","2,637","1,881",969,"3,316","3,278","1,989","1,940","1,513"
2020년09월_계_30~39세,"77,259","33,225","1,901","3,003","2,215",952,"1,417","3,534","2,785","1,525","2,140","2,727","4,283","1,620","1,687","3,436","44,034","2,831","1,439","2,465","2,252","2,365","4,912","3,084","5,926","1,880","3,274","1,274","1,596","3,116","3,003","1,875","1,617","1,125"
2020년09월_계_40~49세,"88,765","35,485","2,024","3,058","2,386","1,013","1,582","3,092","2,621","1,503","2,322","3,042","4,887","2,127","2,285","3,543","53,280","3,546","1,707","2,466","3,382","1,886","5,213","3,003","5,153","2,589","5,387","4,051","1,465","2,897","3,295","3,047","2,205","1,988"
2020년09월_계_50~59세,"98,247","43,919","2,233","4,026","3,095","1,348","2,074","3,589","2,654","2,072","3,395","3,550","6,219","2,600","3,142","3,922","54,328","3,972","2,115","3,830","2,767","1,716","7,144","3,563","3,969","2,948","3,441","2,622","1,198","3,858","4,251","2,513","2,474","1,947"
2020년09월_계_60~69세,"69,658","33,903","1,510","3,190","2,645","1,075","1,834","2,967","1,703","1,844","2,840","2,912","4,392","1,873","2,364","2,754","35,755","2,746","1,453","2,878","1,991","1,245","5,151","2,320","2,370","1,460","1,865","1,241",805,"2,829","3,018","1,394","1,604","1,385"
2020년09월_계_70~79세,"31,571","16,410",727,"1,614","1,253",667,974,"1,396",712,863,"1,418","1,384","2,223",844,"1,303","1,032","15,161","1,065",638,"1,186",901,610,"2,427","1,132","1,022",568,783,597,296,"1,011","1,004",686,601,634
