카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년04월_계_총인구수,"421,840","16,311","15,836","16,441","19,988","23,040","11,269","20,147","18,498","12,140","15,022","24,111","11,056","11,208","16,806","12,857","14,247","22,376","19,022","11,580","17,303","31,269","27,482","33,831"
2021년04월_계_연령구간인구수,"421,840","16,311","15,836","16,441","19,988","23,040","11,269","20,147","18,498","12,140","15,022","24,111","11,056","11,208","16,806","12,857","14,247","22,376","19,022","11,580","17,303","31,269","27,482","33,831"
2021년04월_계_0~9세,"29,429","1,435","1,096","1,931","1,693","1,783",496,"1,343","1,234","1,073",829,"2,057",532,728,996,976,884,974,"1,067",347,"1,302","2,212","2,000","2,441"
2021년04월_계_10~19세,"50,395","2,120","1,796","2,018","4,451","2,454","1,114","3,886","2,185","1,710","1,417","4,091",847,716,"1,321",983,"1,156","1,821","1,812",650,"1,902","4,642","3,147","4,156"
2021년04월_계_20~29세,"54,594","1,990","2,274","2,112","1,912","2,931","1,858","2,484","2,177","1,257","2,087","2,681","1,767","1,441","2,062","1,234","2,179","3,294","2,512","1,329","2,108","4,301","3,835","4,769"
2021년04월_계_30~39세,"42,300","1,681","2,015","2,060","1,378","2,336","1,172","1,356","1,589","1,123","1,455","1,957","1,325","1,494","1,999","1,501","1,871","2,253","1,897",941,"1,805","2,812","2,882","3,398"
2021년04월_계_40~49세,"72,001","2,909","2,699","3,280","4,990","3,652","1,666","4,482","3,135","2,388","2,134","4,810","1,752","1,789","2,478","1,931","2,320","3,088","2,804","1,283","2,872","5,568","4,434","5,537"
2021년04월_계_50~59세,"74,874","2,793","2,670","2,602","2,889","4,073","2,093","3,414","3,209","1,874","2,945","4,165","1,906","1,934","2,880","2,066","2,762","4,195","3,583","2,164","3,117","5,801","5,012","6,727"
2021년04월_계_60~69세,"53,051","1,714","1,822","1,317","1,403","3,049","1,540","1,683","2,317","1,422","2,166","2,473","1,511","1,664","2,727","2,170","1,825","3,534","2,975","2,423","2,588","3,445","3,505","3,778"
2021년04월_계_70~79세,"28,889","1,068",979,734,835,"1,768",840,"1,000","1,665",870,"1,231","1,182",968,937,"1,506","1,330",833,"2,087","1,450","1,525","1,075","1,540","1,660","1,806"
2021년04월_계_80~89세,"14,297",535,437,334,382,881,442,439,878,375,667,598,399,437,711,564,358,978,826,807,460,838,871,"1,080"
2021년04월_계_90~99세,"1,928",60,46,51,52,111,46,58,106,46,86,92,49,65,121,93,56,149,94,108,70,105,130,134
2021년04월_계_100세 이상,82,6,2,2,3,2,2,2,3,2,5,5,0,3,5,9,3,3,2,3,4,5,6,5
2021년04월_남_총인구수,"204,076","7,748","7,708","7,879","9,821","11,253","5,611","10,576","8,519","5,879","7,011","11,569","5,332","5,568","8,112","6,189","6,970","10,627","8,964","5,272","8,399","15,172","13,606","16,291"
2021년04월_남_연령구간인구수,"204,076","7,748","7,708","7,879","9,821","11,253","5,611","10,576","8,519","5,879","7,011","11,569","5,332","5,568","8,112","6,189","6,970","10,627","8,964","5,272","8,399","15,172","13,606","16,291"
2021년04월_남_0~9세,"15,162",719,557,968,910,938,249,780,585,559,419,"1,053",265,388,525,483,448,516,547,175,656,"1,145","1,004","1,273"
2021년04월_남_10~19세,"26,603","1,021",949,981,"2,357","1,278",623,"2,537","1,005",862,685,"2,084",422,379,694,540,587,"1,022",921,332,"1,026","2,368","1,732","2,198"
2021년04월_남_20~29세,"29,282","1,031","1,149","1,093","1,038","1,614","1,028","1,474","1,146",657,"1,088","1,447",869,736,"1,060",699,"1,164","1,767","1,327",718,"1,159","2,322","2,157","2,539"
2021년04월_남_30~39세,"20,617",731,966,910,602,"1,135",636,611,777,512,710,877,681,789,"1,026",747,933,"1,171",933,490,901,"1,372","1,437","1,670"
2021년04월_남_40~49세,"32,849","1,346","1,251","1,531","2,229","1,679",758,"1,951","1,418","1,143",920,"2,130",858,902,"1,197",940,"1,108","1,414","1,262",620,"1,319","2,446","2,023","2,404"
2021년04월_남_50~59세,"36,224","1,375","1,306","1,311","1,547","1,975","1,035","1,821","1,540",974,"1,367","2,070",952,985,"1,384",967,"1,339","1,915","1,619",977,"1,430","2,755","2,411","3,169"
2021년04월_남_60~69세,"25,046",826,878,635,635,"1,451",727,792,"1,015",645,998,"1,158",685,790,"1,280",951,860,"1,593","1,381","1,117","1,233","1,741","1,743","1,912"
2021년04월_남_70~79세,"12,580",450,465,308,354,796,384,424,676,366,535,517,425,409,678,631,380,863,649,598,513,691,733,735
2021년04월_남_80~89세,"5,235",229,175,126,137,356,162,169,333,149,257,214,160,172,251,209,136,336,297,224,151,301,333,358
2021년04월_남_90~99세,457,19,12,16,10,31,8,16,24,12,31,18,15,18,17,21,14,30,27,20,9,29,31,29
2021년04월_남_100세 이상,21,1,0,0,2,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,4
2021년04월_여_총인구수,"217,764","8,563","8,128","8,562","10,167","11,787","5,658","9,571","9,979","6,261","8,011","12,542","5,724","5,640","8,694","6,668","7,277","11,749","10,058","6,308","8,904","16,097","13,876","17,540"
2021년04월_여_연령구간인구수,"217,764","8,563","8,128","8,562","10,167","11,787","5,658","9,571","9,979","6,261","8,011","12,542","5,724","5,640","8,694","6,668","7,277","11,749","10,058","6,308","8,904","16,097","13,876","17,540"
2021년04월_여_0~9세,"14,267",716,539,963,783,845,247,563,649,514,410,"1,004",267,340,471,493,436,458,520,172,646,"1,067",996,"1,168"
2021년04월_여_10~19세,"23,792","1,099",847,"1,037","2,094","1,176",491,"1,349","1,180",848,732,"2,007",425,337,627,443,569,799,891,318,876,"2,274","1,415","1,958"
2021년04월_여_20~29세,"25,312",959,"1,125","1,019",874,"1,317",830,"1,010","1,031",600,999,"1,234",898,705,"1,002",535,"1,015","1,527","1,185",611,949,"1,979","1,678","2,230"
2021년04월_여_30~39세,"21,683",950,"1,049","1,150",776,"1,201",536,745,812,611,745,"1,080",644,705,973,754,938,"1,082",964,451,904,"1,440","1,445","1,728"
2021년04월_여_40~49세,"39,152","1,563","1,448","1,749","2,761","1,973",908,"2,531","1,717","1,245","1,214","2,680",894,887,"1,281",991,"1,212","1,674","1,542",663,"1,553","3,122","2,411","3,133"
2021년04월_여_50~59세,"38,650","1,418","1,364","1,291","1,342","2,098","1,058","1,593","1,669",900,"1,578","2,095",954,949,"1,496","1,099","1,423","2,280","1,964","1,187","1,687","3,046","2,601","3,558"
2021년04월_여_60~69세,"28,005",888,944,682,768,"1,598",813,891,"1,302",777,"1,168","1,315",826,874,"1,447","1,219",965,"1,941","1,594","1,306","1,355","1,704","1,762","1,866"
2021년04월_여_70~79세,"16,309",618,514,426,481,972,456,576,989,504,696,665,543,528,828,699,453,"1,224",801,927,562,849,927,"1,071"
2021년04월_여_80~89세,"9,062",306,262,208,245,525,280,270,545,226,410,384,239,265,460,355,222,642,529,583,309,537,538,722
2021년04월_여_90~99세,"1,471",41,34,35,42,80,38,42,82,34,55,74,34,47,104,72,42,119,67,88,61,76,99,105
2021년04월_여_100세 이상,61,5,2,2,1,2,1,1,3,2,4,4,0,3,5,8,2,3,1,2,2,3,4,1
