카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년09월_계_총인구수,"670,331","14,145","25,696","13,003","19,133","19,966","19,713","16,233","26,129","18,613","40,220","25,044","20,683","32,897","31,627","27,152","27,898","33,057","20,851","29,570","30,508","28,469","28,811","36,412","35,444","21,867","17,199","9,991"
2020년09월_계_연령구간인구수,"670,331","14,145","25,696","13,003","19,133","19,966","19,713","16,233","26,129","18,613","40,220","25,044","20,683","32,897","31,627","27,152","27,898","33,057","20,851","29,570","30,508","28,469","28,811","36,412","35,444","21,867","17,199","9,991"
2020년09월_계_0~9세,"51,485",715,"2,013",681,"1,353","1,029",951,"1,122","1,232","1,347","2,969","1,310","1,666","1,686","1,670","1,681","3,247","2,609","1,370","1,744","2,494","4,657","1,314","4,263","3,357","2,917","1,488",600
2020년09월_계_10~19세,"59,507",932,"2,091","1,057","1,584","1,677","1,419","1,712","1,285","2,824","3,333","1,402","1,936","1,966","2,076","1,920","2,238","3,578","1,590","1,511","2,854","3,595","1,843","5,947","3,993","2,339","1,737","1,068"
2020년09월_계_20~29세,"94,675","1,762","3,894","1,829","2,220","2,407","2,479","2,478","5,129","2,219","5,712","4,636","2,949","5,654","5,381","4,282","3,618","4,592","3,337","5,285","4,139","2,767","5,193","3,328","3,984","2,054","2,044","1,303"
2020년09월_계_30~39세,"111,911","2,031","4,370","1,734","2,684","2,254","2,338","2,297","5,939","1,784","5,815","5,506","3,104","7,164","6,699","4,778","5,518","4,870","3,614","7,643","4,899","5,061","6,204","4,243","4,651","3,238","2,400","1,073"
2020년09월_계_40~49세,"109,694","2,020","4,078","2,003","3,042","2,965","2,790","2,721","3,667","3,441","5,972","3,555","3,148","5,023","5,247","3,920","4,404","5,666","2,903","4,323","4,856","5,769","4,505","8,833","6,277","4,380","2,761","1,425"
2020년09월_계_50~59세,"103,165","2,494","3,744","2,339","3,305","3,642","3,819","2,722","3,667","3,126","7,022","3,581","3,394","4,780","4,592","4,798","4,025","5,315","3,463","3,532","5,002","3,268","4,167","4,820","5,282","2,917","2,674","1,675"
2020년09월_계_60~69세,"83,241","2,426","3,243","1,901","2,711","3,266","3,290","1,918","3,149","2,428","5,711","3,023","2,817","3,924","3,606","3,561","3,224","4,028","2,911","3,157","3,716","2,126","3,362","2,832","4,635","2,421","2,407","1,448"
2020년09월_계_70~79세,"39,963","1,256","1,593","1,062","1,556","1,884","1,787",843,"1,509","1,001","2,488","1,478","1,167","1,995","1,694","1,553","1,250","1,660","1,183","1,584","1,728",867,"1,621","1,556","2,433","1,142","1,152",921
2020년09월_계_80~89세,"13,924",441,568,345,565,720,686,355,477,349,991,463,410,619,545,570,311,623,400,668,660,277,518,477,681,364,437,404
2020년09월_계_90~99세,"2,476",60,93,50,99,105,120,58,72,94,198,80,80,79,104,81,58,108,67,113,155,78,70,82,139,75,87,71
2020년09월_계_100세 이상,290,8,9,2,14,17,34,7,3,0,9,10,12,7,13,8,5,8,13,10,5,4,14,31,12,20,12,3
2020년09월_남_총인구수,"323,646","6,975","12,216","6,629","9,402","10,191","10,019","7,817","12,328","9,169","19,503","11,759","9,942","15,673","14,964","13,454","13,549","16,246","10,279","13,694","14,750","13,860","13,599","17,413","16,872","10,546","8,143","4,654"
2020년09월_남_연령구간인구수,"323,646","6,975","12,216","6,629","9,402","10,191","10,019","7,817","12,328","9,169","19,503","11,759","9,942","15,673","14,964","13,454","13,549","16,246","10,279","13,694","14,750","13,860","13,599","17,413","16,872","10,546","8,143","4,654"
2020년09월_남_0~9세,"26,628",406,"1,054",357,702,540,466,561,665,741,"1,544",655,860,852,849,882,"1,746","1,361",711,881,"1,271","2,356",672,"2,183","1,749","1,518",733,313
2020년09월_남_10~19세,"30,458",487,"1,047",567,861,854,735,879,677,"1,550","1,747",696,967,"1,002","1,087",988,"1,091","1,892",818,780,"1,474","1,786",915,"2,990","2,029","1,208",890,441
2020년09월_남_20~29세,"45,107",931,"1,710",974,"1,135","1,246","1,341","1,267","2,204","1,181","2,944","2,107","1,389","2,549","2,429","2,095","1,771","2,313","1,661","2,029","2,083","1,382","2,301","1,548","1,908","1,008",984,617
2020년09월_남_30~39세,"53,738","1,060","2,064",927,"1,373","1,250","1,294","1,105","2,897",736,"2,854","2,677","1,490","3,471","3,322","2,428","2,618","2,351","1,860","3,544","2,452","2,311","3,018","1,709","2,005","1,373","1,060",489
2020년09월_남_40~49세,"52,856","1,016","1,976","1,002","1,471","1,525","1,473","1,238","1,793","1,543","2,797","1,661","1,506","2,482","2,501","1,928","2,143","2,734","1,409","2,089","2,377","2,943","2,161","4,142","2,900","2,119","1,287",640
2020년09월_남_50~59세,"49,964","1,192","1,811","1,185","1,616","1,952","1,933","1,272","1,713","1,551","3,288","1,643","1,610","2,299","2,122","2,348","1,896","2,556","1,615","1,724","2,335","1,613","1,986","2,606","2,586","1,453","1,253",806
2020년09월_남_60~69세,"39,309","1,116","1,535",935,"1,297","1,627","1,658",910,"1,430","1,157","2,704","1,373","1,325","1,812","1,639","1,761","1,540","1,948","1,432","1,493","1,715",955,"1,535","1,295","2,151","1,124","1,159",683
2020년09월_남_70~79세,"19,515",576,776,531,722,899,815,443,736,555,"1,236",723,620,913,798,769,633,825,596,810,811,429,774,719,"1,215",570,560,461
2020년09월_남_80~89세,"5,424",173,218,135,203,266,284,125,196,130,343,203,157,266,198,226,98,237,155,301,213,77,216,194,294,147,184,185
2020년09월_남_90~99세,574,15,23,15,15,28,14,17,15,25,44,20,16,27,16,25,12,28,19,39,19,8,19,16,32,21,27,19
2020년09월_남_100세 이상,73,3,2,1,7,4,6,0,2,0,2,1,2,0,3,4,1,1,3,4,0,0,2,11,3,5,6,0
2020년09월_여_총인구수,"346,685","7,170","13,480","6,374","9,731","9,775","9,694","8,416","13,801","9,444","20,717","13,285","10,741","17,224","16,663","13,698","14,349","16,811","10,572","15,876","15,758","14,609","15,212","18,999","18,572","11,321","9,056","5,337"
2020년09월_여_연령구간인구수,"346,685","7,170","13,480","6,374","9,731","9,775","9,694","8,416","13,801","9,444","20,717","13,285","10,741","17,224","16,663","13,698","14,349","16,811","10,572","15,876","15,758","14,609","15,212","18,999","18,572","11,321","9,056","5,337"
2020년09월_여_0~9세,"24,857",309,959,324,651,489,485,561,567,606,"1,425",655,806,834,821,799,"1,501","1,248",659,863,"1,223","2,301",642,"2,080","1,608","1,399",755,287
2020년09월_여_10~19세,"29,049",445,"1,044",490,723,823,684,833,608,"1,274","1,586",706,969,964,989,932,"1,147","1,686",772,731,"1,380","1,809",928,"2,957","1,964","1,131",847,627
2020년09월_여_20~29세,"49,568",831,"2,184",855,"1,085","1,161","1,138","1,211","2,925","1,038","2,768","2,529","1,560","3,105","2,952","2,187","1,847","2,279","1,676","3,256","2,056","1,385","2,892","1,780","2,076","1,046","1,060",686
2020년09월_여_30~39세,"58,173",971,"2,306",807,"1,311","1,004","1,044","1,192","3,042","1,048","2,961","2,829","1,614","3,693","3,377","2,350","2,900","2,519","1,754","4,099","2,447","2,750","3,186","2,534","2,646","1,865","1,340",584
2020년09월_여_40~49세,"56,838","1,004","2,102","1,001","1,571","1,440","1,317","1,483","1,874","1,898","3,175","1,894","1,642","2,541","2,746","1,992","2,261","2,932","1,494","2,234","2,479","2,826","2,344","4,691","3,377","2,261","1,474",785
2020년09월_여_50~59세,"53,201","1,302","1,933","1,154","1,689","1,690","1,886","1,450","1,954","1,575","3,734","1,938","1,784","2,481","2,470","2,450","2,129","2,759","1,848","1,808","2,667","1,655","2,181","2,214","2,696","1,464","1,421",869
2020년09월_여_60~69세,"43,932","1,310","1,708",966,"1,414","1,639","1,632","1,008","1,719","1,271","3,007","1,650","1,492","2,112","1,967","1,800","1,684","2,080","1,479","1,664","2,001","1,171","1,827","1,537","2,484","1,297","1,248",765
2020년09월_여_70~79세,"20,448",680,817,531,834,985,972,400,773,446,"1,252",755,547,"1,082",896,784,617,835,587,774,917,438,847,837,"1,218",572,592,460
2020년09월_여_80~89세,"8,500",268,350,210,362,454,402,230,281,219,648,260,253,353,347,344,213,386,245,367,447,200,302,283,387,217,253,219
2020년09월_여_90~99세,"1,902",45,70,35,84,77,106,41,57,69,154,60,64,52,88,56,46,80,48,74,136,70,51,66,107,54,60,52
2020년09월_여_100세 이상,217,5,7,1,7,13,28,7,1,0,7,9,10,7,10,4,4,7,10,6,5,4,12,20,9,15,6,3
