카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년07월_계_총인구수,"46,261","20,296","3,248","4,265","2,236","1,906","2,346","3,173",986,"2,778","1,828","3,199"
2021년07월_계_연령구간인구수,"46,261","20,296","3,248","4,265","2,236","1,906","2,346","3,173",986,"2,778","1,828","3,199"
2021년07월_계_0~9세,"2,196","1,467",88,158,43,50,64,102,26,71,34,93
2021년07월_계_10~19세,"3,240","1,965",153,293,101,89,104,169,51,103,79,133
2021년07월_계_20~29세,"4,043","2,447",216,271,138,107,106,294,40,146,99,179
2021년07월_계_30~39세,"3,069","1,865",160,249,86,73,93,161,31,116,64,171
2021년07월_계_40~49세,"5,057","2,903",288,405,205,150,174,257,69,185,164,257
2021년07월_계_50~59세,"8,102","3,440",619,762,429,333,375,609,193,462,327,553
2021년07월_계_60~69세,"9,648","3,123",843,"1,023",550,488,620,732,249,769,428,823
2021년07월_계_70~79세,"6,400","1,956",487,653,403,320,462,498,174,512,355,580
2021년07월_계_80~89세,"3,964","1,014",346,409,244,263,294,318,134,350,227,365
2021년07월_계_90~99세,528,112,46,42,36,32,51,33,18,62,51,45
2021년07월_계_100세 이상,14,4,2,0,1,1,3,0,1,2,0,0
2021년07월_남_총인구수,"23,068","10,028","1,656","2,146","1,110",946,"1,153","1,623",491,"1,399",911,"1,605"
2021년07월_남_연령구간인구수,"23,068","10,028","1,656","2,146","1,110",946,"1,153","1,623",491,"1,399",911,"1,605"
2021년07월_남_0~9세,"1,119",736,46,89,22,25,27,44,15,43,23,49
2021년07월_남_10~19세,"1,684","1,020",76,154,52,47,62,97,28,43,39,66
2021년07월_남_20~29세,"2,288","1,318",118,157,81,68,64,194,21,98,59,110
2021년07월_남_30~39세,"1,627",946,101,133,48,43,51,91,20,62,43,89
2021년07월_남_40~49세,"2,738","1,474",158,229,119,94,102,152,39,119,98,154
2021년07월_남_50~59세,"4,325","1,778",340,418,233,181,215,333,112,253,171,291
2021년07월_남_60~69세,"4,974","1,553",454,530,273,251,324,382,138,396,240,433
2021년07월_남_70~79세,"2,822",838,241,281,188,138,201,214,70,238,147,266
2021년07월_남_80~89세,"1,369",344,111,148,85,91,97,108,43,133,78,131
2021년07월_남_90~99세,118,20,11,7,8,8,8,8,5,14,13,16
2021년07월_남_100세 이상,4,1,0,0,1,0,2,0,0,0,0,0
2021년07월_여_총인구수,"23,193","10,268","1,592","2,119","1,126",960,"1,193","1,550",495,"1,379",917,"1,594"
2021년07월_여_연령구간인구수,"23,193","10,268","1,592","2,119","1,126",960,"1,193","1,550",495,"1,379",917,"1,594"
2021년07월_여_0~9세,"1,077",731,42,69,21,25,37,58,11,28,11,44
2021년07월_여_10~19세,"1,556",945,77,139,49,42,42,72,23,60,40,67
2021년07월_여_20~29세,"1,755","1,129",98,114,57,39,42,100,19,48,40,69
2021년07월_여_30~39세,"1,442",919,59,116,38,30,42,70,11,54,21,82
2021년07월_여_40~49세,"2,319","1,429",130,176,86,56,72,105,30,66,66,103
2021년07월_여_50~59세,"3,777","1,662",279,344,196,152,160,276,81,209,156,262
2021년07월_여_60~69세,"4,674","1,570",389,493,277,237,296,350,111,373,188,390
2021년07월_여_70~79세,"3,578","1,118",246,372,215,182,261,284,104,274,208,314
2021년07월_여_80~89세,"2,595",670,235,261,159,172,197,210,91,217,149,234
2021년07월_여_90~99세,410,92,35,35,28,24,43,25,13,48,38,29
2021년07월_여_100세 이상,10,3,2,0,0,1,1,0,1,2,0,0
