카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년11월_계_총인구수,"205,742","29,336","12,258","10,018","10,462","16,646","20,872","7,248","16,185","16,607","16,754","14,143","35,213"
2021년11월_계_연령구간인구수,"205,742","29,336","12,258","10,018","10,462","16,646","20,872","7,248","16,185","16,607","16,754","14,143","35,213"
2021년11월_계_0~9세,"13,790","2,368",983,464,649,"1,239","1,982",221,629,733,"1,024","1,183","2,315"
2021년11월_계_10~19세,"16,176","3,556","1,563",672,984,"1,251","1,277",372,884,656,984,"1,115","2,862"
2021년11월_계_20~29세,"24,846","3,233","1,278","1,086","1,192","1,786","2,346",752,"2,268","3,393","1,797","1,499","4,216"
2021년11월_계_30~39세,"25,975","2,879","1,183","1,085","1,068","2,176","3,496",741,"1,922","3,136","2,270","1,784","4,235"
2021년11월_계_40~49세,"31,283","5,403","2,276","1,276","1,598","2,533","3,153",902,"2,164","2,315","2,247","2,219","5,197"
2021년11월_계_50~59세,"33,395","4,815","1,973","1,616","1,791","2,652","3,127","1,228","2,652","2,402","2,573","2,357","6,209"
2021년11월_계_60~69세,"33,427","3,725","1,668","1,849","1,817","2,914","2,946","1,601","3,182","2,228","3,038","2,348","6,111"
2021년11월_계_70~79세,"18,475","2,306",918,"1,254",923,"1,494","1,733","1,014","1,731","1,223","1,892","1,195","2,792"
2021년11월_계_80~89세,"7,471",941,375,637,379,545,706,382,672,488,837,395,"1,114"
2021년11월_계_90~99세,879,104,40,79,60,53,103,34,80,31,90,48,157
2021년11월_계_100세 이상,25,6,1,0,1,3,3,1,1,2,2,0,5
2021년11월_남_총인구수,"99,042","14,174","5,844","4,748","5,128","8,126","10,030","3,471","7,796","7,929","8,078","6,879","16,839"
2021년11월_남_연령구간인구수,"99,042","14,174","5,844","4,748","5,128","8,126","10,030","3,471","7,796","7,929","8,078","6,879","16,839"
2021년11월_남_0~9세,"6,936","1,235",448,247,332,634,996,125,305,359,503,597,"1,155"
2021년11월_남_10~19세,"8,317","1,868",746,358,536,677,620,185,440,357,519,557,"1,454"
2021년11월_남_20~29세,"12,610","1,716",652,529,646,955,"1,208",397,"1,078","1,401",977,799,"2,252"
2021년11월_남_30~39세,"13,061","1,357",575,554,567,"1,101","1,702",399,"1,024","1,599","1,164",870,"2,149"
2021년11월_남_40~49세,"15,408","2,489","1,073",643,761,"1,260","1,579",454,"1,106","1,215","1,205","1,127","2,496"
2021년11월_남_50~59세,"15,818","2,372",988,758,843,"1,233","1,468",582,"1,292","1,175","1,216","1,127","2,764"
2021년11월_남_60~69세,"15,345","1,685",786,831,849,"1,350","1,340",728,"1,445","1,049","1,348","1,101","2,833"
2021년11월_남_70~79세,"8,429","1,014",421,557,443,681,824,451,810,562,812,551,"1,303"
2021년11월_남_80~89세,"2,913",411,147,247,138,216,266,142,273,207,316,141,409
2021년11월_남_90~99세,199,25,7,24,12,18,27,8,23,5,18,9,23
2021년11월_남_100세 이상,6,2,1,0,1,1,0,0,0,0,0,0,1
2021년11월_여_총인구수,"106,700","15,162","6,414","5,270","5,334","8,520","10,842","3,777","8,389","8,678","8,676","7,264","18,374"
2021년11월_여_연령구간인구수,"106,700","15,162","6,414","5,270","5,334","8,520","10,842","3,777","8,389","8,678","8,676","7,264","18,374"
2021년11월_여_0~9세,"6,854","1,133",535,217,317,605,986,96,324,374,521,586,"1,160"
2021년11월_여_10~19세,"7,859","1,688",817,314,448,574,657,187,444,299,465,558,"1,408"
2021년11월_여_20~29세,"12,236","1,517",626,557,546,831,"1,138",355,"1,190","1,992",820,700,"1,964"
2021년11월_여_30~39세,"12,914","1,522",608,531,501,"1,075","1,794",342,898,"1,537","1,106",914,"2,086"
2021년11월_여_40~49세,"15,875","2,914","1,203",633,837,"1,273","1,574",448,"1,058","1,100","1,042","1,092","2,701"
2021년11월_여_50~59세,"17,577","2,443",985,858,948,"1,419","1,659",646,"1,360","1,227","1,357","1,230","3,445"
2021년11월_여_60~69세,"18,082","2,040",882,"1,018",968,"1,564","1,606",873,"1,737","1,179","1,690","1,247","3,278"
2021년11월_여_70~79세,"10,046","1,292",497,697,480,813,909,563,921,661,"1,080",644,"1,489"
2021년11월_여_80~89세,"4,558",530,228,390,241,329,440,240,399,281,521,254,705
2021년11월_여_90~99세,680,79,33,55,48,35,76,26,57,26,72,39,134
2021년11월_여_100세 이상,19,4,0,0,0,2,3,1,1,2,2,0,4
