,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년05월_계_총인구수,"71,591","5,863","1,117","3,223",858,"2,488","3,095","2,414","2,781","1,974","3,603","2,656","5,855","7,130","9,042","3,160","16,332"
2021년05월_계_연령구간인구수,"71,591","5,863","1,117","3,223",858,"2,488","3,095","2,414","2,781","1,974","3,603","2,656","5,855","7,130","9,042","3,160","16,332"
2021년05월_계_0~9세,"3,954",204,37,106,12,55,93,40,57,85,99,77,368,440,634,127,"1,520"
2021년05월_계_10~19세,"5,587",367,62,143,39,287,128,166,103,78,123,87,412,580,862,157,"1,993"
2021년05월_계_20~29세,"6,295",384,68,169,36,146,196,337,157,95,219,129,531,629,844,204,"2,151"
2021년05월_계_30~39세,"5,594",359,48,154,46,91,164,102,113,98,209,131,568,640,786,251,"1,834"
2021년05월_계_40~49세,"8,649",603,93,258,79,184,259,177,217,170,288,183,704,861,"1,322",311,"2,940"
2021년05월_계_50~59세,"11,943","1,025",228,531,187,334,474,381,478,358,625,499,981,"1,121","1,531",521,"2,669"
2021년05월_계_60~69세,"13,799","1,309",274,739,211,588,736,537,660,519,776,684,"1,164","1,422","1,582",701,"1,897"
2021년05월_계_70~79세,"9,164",961,172,580,144,391,534,355,509,316,692,467,732,943,933,524,911
2021년05월_계_80~89세,"5,703",564,115,462,88,351,428,275,422,224,498,327,359,433,481,321,355
2021년05월_계_90~99세,842,76,20,77,15,61,80,44,60,31,66,65,32,52,62,40,61
2021년05월_계_100세 이상,61,11,0,4,1,0,3,0,5,0,8,7,4,9,5,3,1
2021년05월_남_총인구수,"35,175","2,847",569,"1,562",449,"1,304","1,556","1,154","1,379","1,020","1,709","1,225","2,868","3,467","4,502","1,589","7,975"
2021년05월_남_연령구간인구수,"35,175","2,847",569,"1,562",449,"1,304","1,556","1,154","1,379","1,020","1,709","1,225","2,868","3,467","4,502","1,589","7,975"
2021년05월_남_0~9세,"2,045",99,18,50,6,25,48,19,34,44,45,41,208,226,345,55,782
2021년05월_남_10~19세,"3,046",193,34,86,23,188,63,93,55,42,70,45,233,307,498,94,"1,022"
2021년05월_남_20~29세,"3,571",234,45,102,18,89,131,138,101,59,126,80,309,372,505,124,"1,138"
2021년05월_남_30~39세,"2,954",204,27,83,18,54,87,58,70,56,121,73,301,346,404,142,910
2021년05월_남_40~49세,"4,636",330,53,144,47,113,175,102,134,104,185,111,388,462,691,193,"1,404"
2021년05월_남_50~59세,"6,208",537,131,283,112,198,271,217,274,185,351,250,467,561,753,302,"1,316"
2021년05월_남_60~69세,"6,716",638,142,390,129,304,369,281,353,308,382,330,507,627,725,344,887
2021년05월_남_70~79세,"3,973",399,79,249,64,194,245,148,221,138,282,193,316,417,394,237,397
2021년05월_남_80~89세,"1,839",195,36,154,32,125,153,90,123,77,132,86,130,140,166,93,107
2021년05월_남_90~99세,171,14,4,21,0,14,14,8,12,7,12,14,9,7,20,4,11
2021년05월_남_100세 이상,16,4,0,0,0,0,0,0,2,0,3,2,0,2,1,1,1
2021년05월_여_총인구수,"36,416","3,016",548,"1,661",409,"1,184","1,539","1,260","1,402",954,"1,894","1,431","2,987","3,663","4,540","1,571","8,357"
2021년05월_여_연령구간인구수,"36,416","3,016",548,"1,661",409,"1,184","1,539","1,260","1,402",954,"1,894","1,431","2,987","3,663","4,540","1,571","8,357"
2021년05월_여_0~9세,"1,909",105,19,56,6,30,45,21,23,41,54,36,160,214,289,72,738
2021년05월_여_10~19세,"2,541",174,28,57,16,99,65,73,48,36,53,42,179,273,364,63,971
2021년05월_여_20~29세,"2,724",150,23,67,18,57,65,199,56,36,93,49,222,257,339,80,"1,013"
2021년05월_여_30~39세,"2,640",155,21,71,28,37,77,44,43,42,88,58,267,294,382,109,924
2021년05월_여_40~49세,"4,013",273,40,114,32,71,84,75,83,66,103,72,316,399,631,118,"1,536"
2021년05월_여_50~59세,"5,735",488,97,248,75,136,203,164,204,173,274,249,514,560,778,219,"1,353"
2021년05월_여_60~69세,"7,083",671,132,349,82,284,367,256,307,211,394,354,657,795,857,357,"1,010"
2021년05월_여_70~79세,"5,191",562,93,331,80,197,289,207,288,178,410,274,416,526,539,287,514
2021년05월_여_80~89세,"3,864",369,79,308,56,226,275,185,299,147,366,241,229,293,315,228,248
2021년05월_여_90~99세,671,62,16,56,15,47,66,36,48,24,54,51,23,45,42,36,50
2021년05월_여_100세 이상,45,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,0
