,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년10월_계_총인구수,"53,000","8,062","15,039","6,451","1,824","2,032","3,667","3,451","2,246","3,143","1,887","2,983","2,215"
2021년10월_계_연령구간인구수,"53,000","8,062","15,039","6,451","1,824","2,032","3,667","3,451","2,246","3,143","1,887","2,983","2,215"
2021년10월_계_0~9세,"3,213",534,"1,447",499,63,45,92,106,66,95,63,137,66
2021년10월_계_10~19세,"4,319",777,"1,803",660,89,61,190,115,99,163,83,182,97
2021년10월_계_20~29세,"4,905",837,"1,617",907,102,111,245,207,176,212,108,251,132
2021년10월_계_30~39세,"4,436",656,"1,765",766,109,85,199,184,127,161,99,151,134
2021년10월_계_40~49세,"7,242","1,018","2,902","1,253",166,169,357,302,188,280,139,270,198
2021년10월_계_50~59세,"9,432","1,402","2,580","1,429",316,387,637,572,417,522,295,502,373
2021년10월_계_60~69세,"8,519","1,293","1,645",558,345,458,828,805,460,626,399,609,493
2021년10월_계_70~79세,"6,160",912,854,243,301,378,644,627,385,596,365,470,385
2021년10월_계_80~89세,"4,180",522,391,112,294,290,431,462,302,426,294,353,303
2021년10월_계_90~99세,584,109,35,24,39,47,44,70,25,60,41,57,33
2021년10월_계_100세 이상,10,2,0,0,0,1,0,1,1,2,1,1,1
2021년10월_남_총인구수,"27,495","3,986","8,050","3,784",908,"1,027","1,844","1,748","1,151","1,525",913,"1,446","1,113"
2021년10월_남_연령구간인구수,"27,495","3,986","8,050","3,784",908,"1,027","1,844","1,748","1,151","1,525",913,"1,446","1,113"
2021년10월_남_0~9세,"1,642",280,703,257,37,19,44,62,46,59,27,75,33
2021년10월_남_10~19세,"2,274",411,940,345,46,39,101,64,64,90,48,79,47
2021년10월_남_20~29세,"2,899",465,900,572,62,71,172,139,107,130,64,138,79
2021년10월_남_30~39세,"2,398",327,879,459,74,45,117,112,81,88,56,78,82
2021년10월_남_40~49세,"4,337",537,"1,740",788,104,98,208,200,118,163,88,159,134
2021년10월_남_50~59세,"5,405",724,"1,494",889,195,232,344,349,232,299,170,272,205
2021년10월_남_60~69세,"4,470",657,885,333,167,269,431,405,243,318,209,305,248
2021년10월_남_70~79세,"2,655",396,382,106,128,165,275,276,166,243,146,206,166
2021년10월_남_80~89세,"1,300",163,123,31,86,80,143,130,89,125,99,119,112
2021년10월_남_90~99세,114,26,4,4,9,9,9,11,5,9,6,15,7
2021년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년10월_여_총인구수,"25,505","4,076","6,989","2,667",916,"1,005","1,823","1,703","1,095","1,618",974,"1,537","1,102"
2021년10월_여_연령구간인구수,"25,505","4,076","6,989","2,667",916,"1,005","1,823","1,703","1,095","1,618",974,"1,537","1,102"
2021년10월_여_0~9세,"1,571",254,744,242,26,26,48,44,20,36,36,62,33
2021년10월_여_10~19세,"2,045",366,863,315,43,22,89,51,35,73,35,103,50
2021년10월_여_20~29세,"2,006",372,717,335,40,40,73,68,69,82,44,113,53
2021년10월_여_30~39세,"2,038",329,886,307,35,40,82,72,46,73,43,73,52
2021년10월_여_40~49세,"2,905",481,"1,162",465,62,71,149,102,70,117,51,111,64
2021년10월_여_50~59세,"4,027",678,"1,086",540,121,155,293,223,185,223,125,230,168
2021년10월_여_60~69세,"4,049",636,760,225,178,189,397,400,217,308,190,304,245
2021년10월_여_70~79세,"3,505",516,472,137,173,213,369,351,219,353,219,264,219
2021년10월_여_80~89세,"2,880",359,268,81,208,210,288,332,213,301,195,234,191
2021년10월_여_90~99세,470,83,31,20,30,38,35,59,20,51,35,42,26
2021년10월_여_100세 이상,9,2,0,0,0,1,0,1,1,1,1,1,1
