카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년02월_계_총인구수,"68,715","34,754","4,601","2,382","2,371","3,801","3,888","5,947","3,806","3,935","3,230"
2020년02월_계_연령구간인구수,"68,715","34,754","4,601","2,382","2,371","3,801","3,888","5,947","3,806","3,935","3,230"
2020년02월_계_0~9세,"3,928","2,810",126,36,49,132,86,359,92,119,119
2020년02월_계_10~19세,"5,401","3,693",164,94,120,217,172,430,139,204,168
2020년02월_계_20~29세,"6,489","3,958",342,153,123,282,247,646,258,298,182
2020년02월_계_30~39세,"6,252","4,035",319,95,96,211,207,566,259,264,200
2020년02월_계_40~49세,"8,478","5,421",393,179,197,350,348,567,354,361,308
2020년02월_계_50~59세,"13,025","6,012",875,490,505,842,791,"1,050",785,876,799
2020년02월_계_60~69세,"12,985","4,760","1,168",630,657,909,"1,023","1,132","1,015",896,795
2020년02월_계_70~79세,"7,306","2,522",710,414,372,493,603,687,560,529,416
2020년02월_계_80~89세,"4,221","1,335",419,250,229,324,367,454,291,344,208
2020년02월_계_90~99세,590,192,80,41,22,38,37,55,51,40,34
2020년02월_계_100세 이상,40,16,5,0,1,3,7,1,2,4,1
2020년02월_남_총인구수,"35,165","17,480","2,402","1,180","1,236","1,932","1,999","3,156","2,000","2,062","1,718"
2020년02월_남_연령구간인구수,"35,165","17,480","2,402","1,180","1,236","1,932","1,999","3,156","2,000","2,062","1,718"
2020년02월_남_0~9세,"1,967","1,385",60,22,30,73,42,186,44,60,65
2020년02월_남_10~19세,"2,782","1,900",88,44,71,111,103,190,75,110,90
2020년02월_남_20~29세,"3,820","2,257",215,90,66,176,138,454,153,168,103
2020년02월_남_30~39세,"3,414","2,124",197,49,60,107,120,324,168,157,108
2020년02월_남_40~49세,"4,552","2,748",245,104,125,194,206,328,211,216,175
2020년02월_남_50~59세,"6,793","3,089",475,250,254,425,421,559,412,467,441
2020년02월_남_60~69세,"6,775","2,379",615,329,349,485,529,618,542,497,432
2020년02월_남_70~79세,"3,417","1,086",349,182,196,240,309,323,274,252,206
2020년02월_남_80~89세,"1,473",460,132,98,80,109,122,159,104,124,85
2020년02월_남_90~99세,164,51,23,12,5,12,8,15,17,9,12
2020년02월_남_100세 이상,8,1,3,0,0,0,1,0,0,2,1
2020년02월_여_총인구수,"33,550","17,274","2,199","1,202","1,135","1,869","1,889","2,791","1,806","1,873","1,512"
2020년02월_여_연령구간인구수,"33,550","17,274","2,199","1,202","1,135","1,869","1,889","2,791","1,806","1,873","1,512"
2020년02월_여_0~9세,"1,961","1,425",66,14,19,59,44,173,48,59,54
2020년02월_여_10~19세,"2,619","1,793",76,50,49,106,69,240,64,94,78
2020년02월_여_20~29세,"2,669","1,701",127,63,57,106,109,192,105,130,79
2020년02월_여_30~39세,"2,838","1,911",122,46,36,104,87,242,91,107,92
2020년02월_여_40~49세,"3,926","2,673",148,75,72,156,142,239,143,145,133
2020년02월_여_50~59세,"6,232","2,923",400,240,251,417,370,491,373,409,358
2020년02월_여_60~69세,"6,210","2,381",553,301,308,424,494,514,473,399,363
2020년02월_여_70~79세,"3,889","1,436",361,232,176,253,294,364,286,277,210
2020년02월_여_80~89세,"2,748",875,287,152,149,215,245,295,187,220,123
2020년02월_여_90~99세,426,141,57,29,17,26,29,40,34,31,22
2020년02월_여_100세 이상,32,15,2,0,1,3,6,1,2,2,0
