카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년11월_계_총인구수,"658,465","255,471","24,340","4,060","4,300","4,356","3,091","2,257","6,166","2,075","5,377","4,305","8,610","9,194","18,051","23,103","44,466","54,918","36,802","402,994","23,802","21,508","20,040","8,429","17,678","25,855","13,766","37,339","18,746","40,575",0,"33,192","37,269","47,160","57,635"
2021년11월_계_연령구간인구수,"658,465","255,471","24,340","4,060","4,300","4,356","3,091","2,257","6,166","2,075","5,377","4,305","8,610","9,194","18,051","23,103","44,466","54,918","36,802","402,994","23,802","21,508","20,040","8,429","17,678","25,855","13,766","37,339","18,746","40,575",0,"33,192","37,269","47,160","57,635"
2021년11월_계_0~9세,"58,924","18,907","1,565",94,108,118,65,46,241,22,177,158,373,264,"1,060","1,988","4,271","5,595","2,762","40,017","1,067","1,676","1,346",275,900,904,796,"3,089","1,304","5,320",0,"3,777","6,471","3,970","9,122"
2021년11월_계_10~19세,"67,690","25,644","2,578",222,182,220,151,81,350,66,272,224,649,633,"1,405","3,184","5,795","6,978","2,654","42,046","2,156","2,308","1,840",506,"1,149","1,174","1,200","4,771","2,295","5,711",0,"4,567","5,068","4,040","5,261"
2021년11월_계_20~29세,"95,353","34,631","2,861",387,334,389,230,169,762,132,545,632,"1,050","1,141","2,763","2,669","6,080","6,833","7,654","60,722","2,775","2,531","2,494",869,"2,642","6,571","2,370","5,964","2,592","5,084",0,"4,708","3,965","10,186","7,971"
2021년11월_계_30~39세,"102,419","31,761","2,431",306,287,316,169,170,564,91,497,578,837,811,"2,487","2,385","6,485","7,810","5,537","70,658","1,987","2,626","2,677",696,"2,598","5,618","1,838","4,903","2,253","6,513",0,"6,092","8,011","9,491","15,355"
2021년11월_계_40~49세,"111,540","41,839","4,298",415,426,507,305,222,740,160,637,583,"1,172","1,298","2,885","4,280","8,832","10,074","5,005","69,701","3,546","4,030","3,647","1,009","2,590","3,799","1,861","6,476","3,036","7,932",0,"6,402","7,944","7,487","9,942"
2021년11월_계_50~59세,"103,951","43,367","4,614",751,839,837,579,405,"1,134",410,"1,016",730,"1,671","1,784","3,225","4,070","7,001","8,477","5,824","60,584","4,254","3,762","3,573","1,761","3,338","3,640","2,437","6,723","3,532","5,777",0,"5,051","3,970","6,809","5,957"
2021년11월_계_60~69세,"69,655","33,902","3,283",966,"1,109","1,041",793,543,"1,228",533,"1,190",816,"1,561","1,694","2,592","2,637","3,723","5,648","4,545","35,753","4,094","2,662","2,541","1,723","2,610","2,633","2,053","3,492","2,190","2,815",0,"1,763","1,275","3,174","2,728"
2021년11월_계_70~79세,"30,693","15,768","1,621",527,562,510,454,341,648,360,676,385,827,976,"1,100","1,234","1,422","2,255","1,870","14,925","2,433","1,194","1,178",940,"1,264","1,006",783,"1,245",931,935,0,502,374,"1,299",841
2021년11월_계_80~89세,"15,826","8,355",951,334,375,348,287,251,427,254,333,169,402,535,462,570,752,"1,068",837,"7,471","1,326",644,658,549,508,439,366,587,528,420,0,278,162,616,390
2021년11월_계_90~99세,"2,335","1,254",135,57,75,69,54,28,71,45,33,29,66,58,70,82,102,172,108,"1,081",161,72,83,100,74,67,62,88,83,63,0,48,27,86,67
2021년11월_계_100세 이상,79,43,3,1,3,1,4,1,1,2,1,1,2,0,2,4,3,8,6,36,3,3,3,1,5,4,0,1,2,5,0,4,2,2,1
2021년11월_남_총인구수,"336,545","129,473","12,446","2,238","2,172","2,279","1,613","1,229","3,297","1,118","2,809","2,251","4,450","4,714","9,272","11,479","22,737","27,415","17,954","207,072","12,421","11,266","10,911","4,563","9,312","13,963","6,745","18,368","9,060","20,399",0,"16,665","18,634","24,341","30,424"
2021년11월_남_연령구간인구수,"336,545","129,473","12,446","2,238","2,172","2,279","1,613","1,229","3,297","1,118","2,809","2,251","4,450","4,714","9,272","11,479","22,737","27,415","17,954","207,072","12,421","11,266","10,911","4,563","9,312","13,963","6,745","18,368","9,060","20,399",0,"16,665","18,634","24,341","30,424"
2021년11월_남_0~9세,"30,146","9,751",816,56,52,62,28,22,119,13,91,82,204,128,562,991,"2,250","2,879","1,396","20,395",562,827,697,143,481,474,423,"1,556",645,"2,686",0,"1,930","3,315","2,030","4,626"
2021년11월_남_10~19세,"35,076","13,349","1,348",117,99,118,72,45,186,41,147,122,367,341,756,"1,639","3,051","3,569","1,331","21,727","1,127","1,175",968,268,580,588,594,"2,495","1,229","2,967",0,"2,363","2,565","2,077","2,731"
