카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년11월_계_총인구수,"222,082","20,368","28,342","28,706","69,773","19,127","22,563","8,386","7,728","4,251","3,099","7,962","1,777"
2021년11월_계_연령구간인구수,"222,082","20,368","28,342","28,706","69,773","19,127","22,563","8,386","7,728","4,251","3,099","7,962","1,777"
2021년11월_계_0~9세,"16,554","1,384","2,299","2,434","6,105","1,655","1,473",472,282,127,49,242,32
2021년11월_계_10~19세,"22,001","1,626","2,765","3,222","9,715","1,539","1,538",486,349,186,111,405,59
2021년11월_계_20~29세,"26,016","2,502","3,355","3,278","9,117","2,150","2,837",761,806,291,152,667,100
2021년11월_계_30~39세,"24,849","2,739","3,116","3,406","7,271","2,763","2,973",847,629,283,185,534,103
2021년11월_계_40~49세,"36,088","3,640","4,499","5,185","13,076","2,875","3,246","1,161",760,403,230,873,140
2021년11월_계_50~59세,"42,433","4,064","5,235","5,331","13,261","3,529","4,379","1,556","1,611",890,537,"1,670",370
2021년11월_계_60~69세,"32,091","2,705","4,204","3,527","7,241","2,807","3,652","1,711","1,799","1,136",875,"1,948",486
2021년11월_계_70~79세,"14,201","1,135","1,824","1,490","2,687","1,200","1,645",909,919,562,543,"1,009",278
2021년11월_계_80~89세,"6,769",499,886,732,"1,139",522,687,424,495,317,360,524,184
2021년11월_계_90~99세,"1,059",69,153,100,160,87,131,59,77,54,57,88,24
2021년11월_계_100세 이상,21,5,6,1,1,0,2,0,1,2,0,2,1
2021년11월_남_총인구수,"114,756","11,720","14,208","14,935","35,102","9,879","11,644","4,516","4,022","2,189","1,540","4,063",938
2021년11월_남_연령구간인구수,"114,756","11,720","14,208","14,935","35,102","9,879","11,644","4,516","4,022","2,189","1,540","4,063",938
2021년11월_남_0~9세,"8,512",727,"1,143","1,242","3,152",850,760,255,142,61,27,136,17
2021년11월_남_10~19세,"11,437",873,"1,410","1,644","5,073",773,807,255,199,96,56,219,32
2021년11월_남_20~29세,"14,914","1,566","1,903","1,830","5,096","1,189","1,670",464,480,168,85,403,60
2021년11월_남_30~39세,"13,254","1,736","1,614","1,801","3,540","1,486","1,624",456,356,159,103,313,66
2021년11월_남_40~49세,"18,501","2,245","2,242","2,710","6,039","1,490","1,702",718,436,234,137,460,88
2021년11월_남_50~59세,"22,359","2,440","2,604","2,903","6,773","1,866","2,197",921,838,475,290,841,211
2021년11월_남_60~69세,"16,596","1,429","2,119","1,862","3,760","1,468","1,839",854,951,606,458,993,257
2021년11월_남_70~79세,"6,777",539,866,700,"1,262",574,783,426,437,286,255,510,139
2021년11월_남_80~89세,"2,207",155,280,226,378,168,232,155,163,96,119,170,65
2021년11월_남_90~99세,197,8,27,17,29,15,30,12,20,8,10,18,3
2021년11월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"107,326","8,648","14,134","13,771","34,671","9,248","10,919","3,870","3,706","2,062","1,559","3,899",839
2021년11월_여_연령구간인구수,"107,326","8,648","14,134","13,771","34,671","9,248","10,919","3,870","3,706","2,062","1,559","3,899",839
2021년11월_여_0~9세,"8,042",657,"1,156","1,192","2,953",805,713,217,140,66,22,106,15
2021년11월_여_10~19세,"10,564",753,"1,355","1,578","4,642",766,731,231,150,90,55,186,27
2021년11월_여_20~29세,"11,102",936,"1,452","1,448","4,021",961,"1,167",297,326,123,67,264,40
2021년11월_여_30~39세,"11,595","1,003","1,502","1,605","3,731","1,277","1,349",391,273,124,82,221,37
2021년11월_여_40~49세,"17,587","1,395","2,257","2,475","7,037","1,385","1,544",443,324,169,93,413,52
2021년11월_여_50~59세,"20,074","1,624","2,631","2,428","6,488","1,663","2,182",635,773,415,247,829,159
2021년11월_여_60~69세,"15,495","1,276","2,085","1,665","3,481","1,339","1,813",857,848,530,417,955,229
2021년11월_여_70~79세,"7,424",596,958,790,"1,425",626,862,483,482,276,288,499,139
2021년11월_여_80~89세,"4,562",344,606,506,761,354,455,269,332,221,241,354,119
2021년11월_여_90~99세,862,61,126,83,131,72,101,47,57,46,47,70,21
2021년11월_여_100세 이상,19,3,6,1,1,0,2,0,1,2,0,2,1
