,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년07월_계_총인구수,"129,558","4,763","12,819","2,941","31,197","2,049","2,054","1,521","9,045","3,061","4,139","9,130","10,761","11,503","10,541","14,034"
2020년07월_계_연령구간인구수,"129,558","4,763","12,819","2,941","31,197","2,049","2,054","1,521","9,045","3,061","4,139","9,130","10,761","11,503","10,541","14,034"
2020년07월_계_0~9세,"10,157",131,"1,311",69,"4,000",49,34,20,426,96,139,522,729,957,547,"1,127"
2020년07월_계_10~19세,"12,921",210,"1,440",133,"3,965",102,59,38,827,190,243,666,993,"1,404",983,"1,668"
2020년07월_계_20~29세,"11,407",329,"1,094",173,"2,715",113,93,71,932,229,296,725,994,"1,070",976,"1,597"
2020년07월_계_30~39세,"14,560",333,"1,541",163,"4,912",129,91,79,773,193,300,908,"1,176","1,223","1,036","1,703"
2020년07월_계_40~49세,"21,598",575,"2,276",281,"6,469",272,187,121,"1,315",381,568,"1,380","1,625","1,997","1,529","2,622"
2020년07월_계_50~59세,"22,694",951,"2,145",528,"4,479",415,347,324,"1,728",609,845,"1,839","1,858","2,051","2,085","2,490"
2020년07월_계_60~69세,"19,844","1,039","1,573",734,"2,810",472,459,370,"1,614",660,910,"1,759","1,982","1,770","1,872","1,820"
2020년07월_계_70~79세,"11,106",726,926,544,"1,267",313,465,285,"1,007",496,586,958,"1,012",731,"1,045",745
2020년07월_계_80~89세,"4,634",409,439,282,501,166,290,189,375,182,229,335,339,265,403,230
2020년07월_계_90~99세,610,58,73,34,79,18,27,22,45,23,22,35,48,34,61,31
2020년07월_계_100세 이상,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020년07월_남_총인구수,"65,125","2,511","6,412","1,514","15,788","1,135","1,049",758,"4,502","1,510","2,044","4,653","5,187","5,656","5,397","7,009"
2020년07월_남_연령구간인구수,"65,125","2,511","6,412","1,514","15,788","1,135","1,049",758,"4,502","1,510","2,044","4,653","5,187","5,656","5,397","7,009"
2020년07월_남_0~9세,"5,107",63,629,37,"2,052",26,14,10,199,38,62,262,369,497,257,592
2020년07월_남_10~19세,"6,711",107,742,77,"2,049",65,29,18,399,90,121,344,515,728,526,901
2020년07월_남_20~29세,"6,283",199,579,104,"1,437",62,57,51,550,135,166,409,552,574,563,845
2020년07월_남_30~39세,"7,504",192,739,93,"2,406",86,54,51,429,100,180,504,624,587,571,888
2020년07월_남_40~49세,"11,674",369,"1,228",186,"3,427",172,126,72,713,232,341,835,819,"1,031",844,"1,279"
2020년07월_남_50~59세,"11,578",563,"1,116",308,"2,288",245,227,181,874,331,435,902,825,983,"1,099","1,201"
2020년07월_남_60~69세,"9,718",562,808,357,"1,402",245,245,205,777,317,417,838,868,882,924,871
2020년07월_남_70~79세,"4,994",330,400,259,565,173,206,118,431,203,243,447,476,308,473,362
2020년07월_남_80~89세,"1,432",119,152,88,147,59,85,49,125,58,72,106,127,58,122,65
2020년07월_남_90~99세,116,7,18,5,15,2,6,3,4,6,7,6,9,7,17,4
2020년07월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년07월_여_총인구수,"64,433","2,252","6,407","1,427","15,409",914,"1,005",763,"4,543","1,551","2,095","4,477","5,574","5,847","5,144","7,025"
2020년07월_여_연령구간인구수,"64,433","2,252","6,407","1,427","15,409",914,"1,005",763,"4,543","1,551","2,095","4,477","5,574","5,847","5,144","7,025"
2020년07월_여_0~9세,"5,050",68,682,32,"1,948",23,20,10,227,58,77,260,360,460,290,535
2020년07월_여_10~19세,"6,210",103,698,56,"1,916",37,30,20,428,100,122,322,478,676,457,767
2020년07월_여_20~29세,"5,124",130,515,69,"1,278",51,36,20,382,94,130,316,442,496,413,752
2020년07월_여_30~39세,"7,056",141,802,70,"2,506",43,37,28,344,93,120,404,552,636,465,815
2020년07월_여_40~49세,"9,924",206,"1,048",95,"3,042",100,61,49,602,149,227,545,806,966,685,"1,343"
2020년07월_여_50~59세,"11,116",388,"1,029",220,"2,191",170,120,143,854,278,410,937,"1,033","1,068",986,"1,289"
2020년07월_여_60~69세,"10,126",477,765,377,"1,408",227,214,165,837,343,493,921,"1,114",888,948,949
2020년07월_여_70~79세,"6,112",396,526,285,702,140,259,167,576,293,343,511,536,423,572,383
2020년07월_여_80~89세,"3,202",290,287,194,354,107,205,140,250,124,157,229,212,207,281,165
2020년07월_여_90~99세,494,51,55,29,64,16,21,19,41,17,15,29,39,27,44,27
2020년07월_여_100세 이상,19,2,0,0,0,0,2,2,2,2,1,3,2,0,3,0
