카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년02월_계_총인구수,"296,534","25,055","29,679","19,758","16,068","19,751","23,460","28,491","20,333","32,610","21,289","34,028","26,012"
2021년02월_계_연령구간인구수,"296,534","25,055","29,679","19,758","16,068","19,751","23,460","28,491","20,333","32,610","21,289","34,028","26,012"
2021년02월_계_0~9세,"18,301","1,304","1,901",796,618,937,"1,511","1,817","1,027","2,415","1,478","1,730","2,767"
2021년02월_계_10~19세,"26,450","2,260","2,725","1,266",992,"1,537","2,578","2,762","1,444","3,519","1,771","2,737","2,859"
2021년02월_계_20~29세,"43,850","3,570","4,281","2,973","2,511","3,379","3,891","4,289","2,974","4,918","3,010","5,121","2,933"
2021년02월_계_30~39세,"37,729","2,779","3,525","2,534","2,091","2,891","2,603","3,562","2,832","4,266","2,594","4,349","3,703"
2021년02월_계_40~49세,"45,654","3,607","4,461","2,747","2,070","2,593","3,965","4,448","2,739","5,501","3,228","5,133","5,162"
2021년02월_계_50~59세,"60,478","5,205","6,042","4,263","3,493","4,363","5,226","5,749","4,141","6,579","4,239","7,128","4,050"
2021년02월_계_60~69세,"39,911","3,901","4,290","3,219","2,699","2,777","2,455","3,765","3,208","3,312","2,961","4,486","2,838"
2021년02월_계_70~79세,"15,590","1,575","1,690","1,293","1,074",775,645,"1,376","1,316","1,280","1,276","2,125","1,165"
2021년02월_계_80~89세,"7,356",736,683,594,434,419,470,629,558,698,627,"1,049",459
2021년02월_계_90~99세,"1,144",101,77,67,81,76,113,88,86,115,103,162,75
2021년02월_계_100세 이상,71,17,4,6,5,4,3,6,8,7,2,8,1
2021년02월_남_총인구수,"147,871","12,613","15,010","10,386","7,969","9,491","11,838","14,046","10,106","16,235","10,532","16,858","12,787"
2021년02월_남_연령구간인구수,"147,871","12,613","15,010","10,386","7,969","9,491","11,838","14,046","10,106","16,235","10,532","16,858","12,787"
2021년02월_남_0~9세,"9,306",649,975,432,294,481,760,904,514,"1,231",773,880,"1,413"
2021년02월_남_10~19세,"13,565","1,193","1,399",655,520,811,"1,328","1,408",733,"1,733",915,"1,391","1,479"
2021년02월_남_20~29세,"22,991","1,927","2,338","1,611","1,278","1,737","1,995","2,273","1,517","2,627","1,521","2,715","1,452"
2021년02월_남_30~39세,"19,647","1,459","1,870","1,432","1,152","1,461","1,329","1,813","1,553","2,191","1,328","2,299","1,760"
2021년02월_남_40~49세,"22,772","1,811","2,243","1,494","1,057","1,145","1,940","2,159","1,411","2,668","1,612","2,542","2,690"
2021년02월_남_50~59세,"29,432","2,582","2,930","2,269","1,665","1,951","2,596","2,762","1,951","3,255","2,041","3,490","1,940"
2021년02월_남_60~69세,"20,497","1,978","2,191","1,686","1,353","1,432","1,432","1,901","1,605","1,746","1,525","2,311","1,337"
2021년02월_남_70~79세,"7,009",731,807,605,493,339,300,618,592,542,569,881,532
2021년02월_남_80~89세,"2,384",252,242,187,142,116,139,180,210,217,226,310,163
2021년02월_남_90~99세,250,28,15,13,15,16,19,26,17,22,21,37,21
2021년02월_남_100세 이상,18,3,0,2,0,2,0,2,3,3,1,2,0
2021년02월_여_총인구수,"148,663","12,442","14,669","9,372","8,099","10,260","11,622","14,445","10,227","16,375","10,757","17,170","13,225"
2021년02월_여_연령구간인구수,"148,663","12,442","14,669","9,372","8,099","10,260","11,622","14,445","10,227","16,375","10,757","17,170","13,225"
2021년02월_여_0~9세,"8,995",655,926,364,324,456,751,913,513,"1,184",705,850,"1,354"
2021년02월_여_10~19세,"12,885","1,067","1,326",611,472,726,"1,250","1,354",711,"1,786",856,"1,346","1,380"
2021년02월_여_20~29세,"20,859","1,643","1,943","1,362","1,233","1,642","1,896","2,016","1,457","2,291","1,489","2,406","1,481"
2021년02월_여_30~39세,"18,082","1,320","1,655","1,102",939,"1,430","1,274","1,749","1,279","2,075","1,266","2,050","1,943"
2021년02월_여_40~49세,"22,882","1,796","2,218","1,253","1,013","1,448","2,025","2,289","1,328","2,833","1,616","2,591","2,472"
2021년02월_여_50~59세,"31,046","2,623","3,112","1,994","1,828","2,412","2,630","2,987","2,190","3,324","2,198","3,638","2,110"
2021년02월_여_60~69세,"19,414","1,923","2,099","1,533","1,346","1,345","1,023","1,864","1,603","1,566","1,436","2,175","1,501"
2021년02월_여_70~79세,"8,581",844,883,688,581,436,345,758,724,738,707,"1,244",633
2021년02월_여_80~89세,"4,972",484,441,407,292,303,331,449,348,481,401,739,296
2021년02월_여_90~99세,894,73,62,54,66,60,94,62,69,93,82,125,54
2021년02월_여_100세 이상,53,14,4,4,5,2,3,4,5,4,1,6,1
