,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년09월_계_총인구수,"305,836","2,780","5,223","9,847","14,243","14,763","10,869","16,991","11,997","12,131","32,990","13,585","26,572","14,245","20,938","12,768","32,328","51,323","2,243"
2020년09월_계_연령구간인구수,"305,836","2,780","5,223","9,847","14,243","14,763","10,869","16,991","11,997","12,131","32,990","13,585","26,572","14,245","20,938","12,768","32,328","51,323","2,243"
2020년09월_계_0~9세,"24,073",99,203,393,711,906,891,944,"1,037",468,"2,952","1,076","2,478","1,053","1,587","1,076","3,146","4,988",65
2020년09월_계_10~19세,"31,257",162,347,607,952,"1,327","1,159","1,578","1,490",858,"4,210","1,235","3,263","1,140","1,934","1,507","4,334","5,062",92
2020년09월_계_20~29세,"39,301",379,656,"1,320","1,912","1,861","1,293","2,417","1,555","1,896","4,227","1,699","3,264","1,713","2,524","1,650","3,719","7,002",214
2020년09월_계_30~39세,"42,623",344,582,"1,203","1,939","1,843","1,323","1,993","1,562","1,625","3,961","2,407","3,060","2,620","2,997","2,118","4,084","8,732",230
2020년09월_계_40~49세,"52,779",396,752,"1,408","2,036","2,395","1,851","2,564","2,249","1,747","6,172","2,373","5,070","2,492","3,603","2,411","6,286","8,745",229
2020년09월_계_50~59세,"50,954",571,963,"1,884","2,494","2,570","1,826","3,085","2,007","2,532","5,511","2,172","4,521","2,166","3,315","2,007","4,861","8,028",441
2020년09월_계_60~69세,"37,840",444,948,"1,660","2,420","2,173","1,462","2,593","1,261","1,870","3,669","1,559","2,983","1,621","2,566","1,173","3,591","5,326",521
2020년09월_계_70~79세,"18,171",270,532,972,"1,262","1,164",753,"1,257",567,749,"1,508",772,"1,299",847,"1,482",534,"1,556","2,389",258
2020년09월_계_80~89세,"7,570",98,211,350,437,462,266,487,227,329,670,261,530,504,801,258,619,893,167
2020년09월_계_90~99세,"1,124",14,24,44,61,56,37,66,41,50,102,29,97,75,120,33,115,141,19
2020년09월_계_100세 이상,144,3,5,6,19,6,8,7,1,7,8,2,7,14,9,1,17,17,7
2020년09월_남_총인구수,"150,994","1,431","2,619","4,781","6,951","7,287","5,360","8,382","5,900","6,315","16,139","6,788","13,289","6,720","9,899","6,221","15,821","25,814","1,277"
2020년09월_남_연령구간인구수,"150,994","1,431","2,619","4,781","6,951","7,287","5,360","8,382","5,900","6,315","16,139","6,788","13,289","6,720","9,899","6,221","15,821","25,814","1,277"
2020년09월_남_0~9세,"12,326",51,103,198,364,467,426,464,540,239,"1,504",551,"1,281",525,845,567,"1,598","2,570",33
2020년09월_남_10~19세,"16,109",97,192,322,469,698,595,809,760,454,"2,169",645,"1,663",589,993,782,"2,237","2,578",57
2020년09월_남_20~29세,"20,586",216,357,706,996,"1,006",683,"1,275",808,"1,024","2,199",891,"1,754",840,"1,257",837,"1,940","3,675",122
