카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년01월_계_총인구수,"424,112","16,323","16,006","16,449","19,466","23,207","11,493","20,340","18,710","12,218","15,176","24,348","11,118","11,293","16,980","12,859","14,283","22,493","19,164","11,657","17,258","31,456","27,707","34,108"
2021년01월_계_연령구간인구수,"424,112","16,323","16,006","16,449","19,466","23,207","11,493","20,340","18,710","12,218","15,176","24,348","11,118","11,293","16,980","12,859","14,283","22,493","19,164","11,657","17,258","31,456","27,707","34,108"
2021년01월_계_0~9세,"29,668","1,306","1,120","1,929","1,594","1,805",531,"1,374","1,262","1,100",857,"2,087",535,733,"1,040",991,922,990,"1,103",349,"1,298","2,253","1,995","2,494"
2021년01월_계_10~19세,"51,341","2,111","1,813","2,034","4,390","2,530","1,169","3,984","2,222","1,743","1,446","4,198",868,738,"1,346","1,003","1,161","1,880","1,853",678,"1,945","4,728","3,247","4,254"
2021년01월_계_20~29세,"55,312","2,093","2,343","2,117","1,880","2,951","1,911","2,490","2,215","1,272","2,120","2,701","1,755","1,448","2,103","1,230","2,206","3,317","2,559","1,368","2,114","4,383","3,883","4,853"
2021년01월_계_30~39세,"42,710","1,582","2,075","2,118","1,343","2,371","1,194","1,409","1,611","1,152","1,478","2,007","1,359","1,521","2,081","1,514","1,870","2,254","1,922",949,"1,785","2,798","2,904","3,413"
2021년01월_계_40~49세,"72,704","2,897","2,706","3,238","4,822","3,676","1,729","4,529","3,206","2,430","2,206","4,893","1,775","1,824","2,488","1,942","2,321","3,160","2,836","1,300","2,876","5,643","4,528","5,679"
2021년01월_계_50~59세,"75,094","2,863","2,661","2,607","2,809","4,099","2,097","3,416","3,232","1,849","2,922","4,180","1,915","1,938","2,902","2,028","2,762","4,203","3,606","2,189","3,137","5,842","5,080","6,757"
2021년01월_계_60~69세,"52,419","1,768","1,831","1,284","1,372","3,024","1,539","1,656","2,300","1,412","2,163","2,422","1,512","1,639","2,685","2,168","1,807","3,509","2,938","2,420","2,536","3,349","3,419","3,666"
2021년01월_계_70~79세,"28,883","1,097",976,734,843,"1,767",837,"1,006","1,687",862,"1,235","1,182",950,941,"1,525","1,333",832,"2,065","1,441","1,518","1,045","1,537","1,666","1,804"
2021년01월_계_80~89세,"14,013",541,434,328,362,876,440,424,857,358,655,582,395,443,694,549,346,968,810,772,450,810,857,"1,062"
