카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년05월_계_총인구수,"465,459","41,714","38,536","26,101","17,389","25,155","22,524","34,878","15,311","18,019","27,128","33,451","26,364","20,207","24,006","23,369","46,083",133,"25,091"
2021년05월_계_연령구간인구수,"465,459","41,714","38,536","26,101","17,389","25,155","22,524","34,878","15,311","18,019","27,128","33,451","26,364","20,207","24,006","23,369","46,083",133,"25,091"
2021년05월_계_0~9세,"35,504","3,918","5,049","2,143","1,140","2,892","2,570","2,134","1,400","1,933","1,390","1,641","1,279","1,551","1,071","1,238","2,441",3,"1,711"
2021년05월_계_10~19세,"39,108","4,917","3,931","2,463","2,469","3,470","1,982","2,556",993,"1,917","1,751","1,781","1,255","1,733","1,168","1,741","2,893",6,"2,082"
2021년05월_계_20~29세,"61,585","4,858","3,990","3,193","2,216","2,328","2,381","4,790","1,981","1,953","3,785","4,830","4,279","2,769","3,929","3,673","7,121",17,"3,492"
2021년05월_계_30~39세,"72,793","5,939","6,021","4,066","1,883","3,261","3,968","5,177","2,867","2,468","4,002","6,085","4,754","3,267","4,309","3,495","7,548",13,"3,670"
2021년05월_계_40~49세,"75,035","6,784","7,158","4,227","3,043","5,353","3,892","5,460","2,383","3,243","4,013","4,866","3,730","3,353","3,358","3,573","6,840",25,"3,734"
2021년05월_계_50~59세,"72,130","5,990","5,384","4,065","2,724","3,413","3,244","5,883","2,232","2,649","4,564","5,478","4,190","3,004","3,793","3,985","7,351",18,"4,163"
2021년05월_계_60~69세,"65,387","5,259","4,762","3,638","2,520","2,786","2,865","5,085","1,963","2,375","4,467","5,046","3,977","2,640","3,708","3,325","7,185",32,"3,754"
2021년05월_계_70~79세,"31,161","2,721","1,671","1,628",985,"1,087","1,155","2,725","1,094","1,056","2,275","2,665","2,053","1,361","1,874","1,700","3,368",10,"1,733"
2021년05월_계_80~89세,"10,803","1,101",470,568,322,423,390,921,350,355,756,923,749,458,707,552,"1,131",5,622
2021년05월_계_90~99세,"1,836",218,97,107,83,113,75,139,46,68,121,134,92,69,79,81,194,3,117
2021년05월_계_100세 이상,117,9,3,3,4,29,2,8,2,2,4,2,6,2,10,6,11,1,13
2021년05월_남_총인구수,"228,812","20,018","19,005","12,717","8,622","12,792","11,363","17,302","7,413","8,829","13,298","16,488","12,911","9,794","11,785","11,479","22,532",76,"12,388"
2021년05월_남_연령구간인구수,"228,812","20,018","19,005","12,717","8,622","12,792","11,363","17,302","7,413","8,829","13,298","16,488","12,911","9,794","11,785","11,479","22,532",76,"12,388"
2021년05월_남_0~9세,"18,411","2,029","2,609","1,104",584,"1,531","1,331","1,058",714,988,696,853,691,821,556,648,"1,291",2,905
2021년05월_남_10~19세,"20,610","2,535","1,995","1,289","1,372","1,967","1,045","1,329",491,"1,011",910,929,633,876,578,"1,029","1,510",3,"1,108"
2021년05월_남_20~29세,"30,234","2,378","2,045","1,608","1,121","1,253","1,259","2,513",935,975,"1,878","2,272","1,861","1,378","1,760","1,883","3,354",10,"1,751"
2021년05월_남_30~39세,"36,190","2,816","2,757","2,016",931,"1,528","1,912","2,677","1,426","1,126","2,096","3,124","2,396","1,586","2,268","1,792","3,857",7,"1,875"
2021년05월_남_40~49세,"37,625","3,294","3,622","2,020","1,369","2,677","2,016","2,810","1,206","1,608","2,100","2,507","1,936","1,623","1,746","1,721","3,491",12,"1,867"
2021년05월_남_50~59세,"35,270","2,905","2,578","1,954","1,345","1,741","1,639","2,881","1,067","1,291","2,175","2,739","2,167","1,434","1,896","1,907","3,545",11,"1,995"
2021년05월_남_60~69세,"30,871","2,335","2,335","1,696","1,227","1,371","1,390","2,417",896,"1,137","2,086","2,428","1,942","1,202","1,755","1,470","3,392",19,"1,773"
2021년05월_남_70~79세,"15,058","1,268",878,794,536,533,594,"1,238",520,530,"1,061","1,248",987,661,911,804,"1,626",6,863
2021년05월_남_80~89세,"4,145",399,173,215,119,160,161,348,147,150,282,365,280,190,297,205,427,5,222
2021년05월_남_90~99세,369,58,12,20,17,21,15,30,11,11,14,23,16,22,15,18,37,1,28
2021년05월_남_100세 이상,29,1,1,1,1,10,1,1,0,2,0,0,2,1,3,2,2,0,1
2021년05월_여_총인구수,"236,647","21,696","19,531","13,384","8,767","12,363","11,161","17,576","7,898","9,190","13,830","16,963","13,453","10,413","12,221","11,890","23,551",57,"12,703"
2021년05월_여_연령구간인구수,"236,647","21,696","19,531","13,384","8,767","12,363","11,161","17,576","7,898","9,190","13,830","16,963","13,453","10,413","12,221","11,890","23,551",57,"12,703"
2021년05월_여_0~9세,"17,093","1,889","2,440","1,039",556,"1,361","1,239","1,076",686,945,694,788,588,730,515,590,"1,150",1,806
2021년05월_여_10~19세,"18,498","2,382","1,936","1,174","1,097","1,503",937,"1,227",502,906,841,852,622,857,590,712,"1,383",3,974
2021년05월_여_20~29세,"31,351","2,480","1,945","1,585","1,095","1,075","1,122","2,277","1,046",978,"1,907","2,558","2,418","1,391","2,169","1,790","3,767",7,"1,741"
2021년05월_여_30~39세,"36,603","3,123","3,264","2,050",952,"1,733","2,056","2,500","1,441","1,342","1,906","2,961","2,358","1,681","2,041","1,703","3,691",6,"1,795"
2021년05월_여_40~49세,"37,410","3,490","3,536","2,207","1,674","2,676","1,876","2,650","1,177","1,635","1,913","2,359","1,794","1,730","1,612","1,852","3,349",13,"1,867"
2021년05월_여_50~59세,"36,860","3,085","2,806","2,111","1,379","1,672","1,605","3,002","1,165","1,358","2,389","2,739","2,023","1,570","1,897","2,078","3,806",7,"2,168"
2021년05월_여_60~69세,"34,516","2,924","2,427","1,942","1,293","1,415","1,475","2,668","1,067","1,238","2,381","2,618","2,035","1,438","1,953","1,855","3,793",13,"1,981"
2021년05월_여_70~79세,"16,103","1,453",793,834,449,554,561,"1,487",574,526,"1,214","1,417","1,066",700,963,896,"1,742",4,870
2021년05월_여_80~89세,"6,658",702,297,353,203,263,229,573,203,205,474,558,469,268,410,347,704,0,400
2021년05월_여_90~99세,"1,467",160,85,87,66,92,60,109,35,57,107,111,76,47,64,63,157,2,89
2021년05월_여_100세 이상,88,8,2,2,3,19,1,7,2,0,4,2,4,1,7,4,9,1,12
