,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년05월_계_총인구수,"227,515","17,125","9,656","7,549","19,497","15,975","14,052","10,214","12,044","21,899","27,712","8,487","6,524","9,170","20,702","13,121","13,788"
2021년05월_계_연령구간인구수,"227,515","17,125","9,656","7,549","19,497","15,975","14,052","10,214","12,044","21,899","27,712","8,487","6,524","9,170","20,702","13,121","13,788"
2021년05월_계_0~9세,"13,199",921,337,174,657,"1,287",899,759,736,"1,217","2,686",536,229,410,"1,142",773,436
2021년05월_계_10~19세,"15,206","1,208",510,260,"1,129",876,"1,215",731,780,986,"2,880",516,261,467,"1,175","1,453",759
2021년05월_계_20~29세,"33,675","2,521","1,523",948,"4,226","2,472","1,884","1,575","1,812","3,736","2,920",899,"1,088","1,414","2,702","1,784","2,171"
2021년05월_계_30~39세,"38,237","2,773","1,702","1,054","3,153","3,655","2,100","1,870","2,001","4,700","3,547","1,417","1,110","1,667","3,878","1,501","2,109"
2021년05월_계_40~49세,"35,010","2,707","1,328","1,074","2,658","2,620","2,250","1,540","1,779","2,916","4,845","1,235",851,"1,420","3,356","2,407","2,024"
2021년05월_계_50~59세,"36,615","2,763","1,419","1,614","3,054","2,198","2,321","1,606","1,963","3,477","4,592","1,368","1,048","1,270","3,214","2,257","2,451"
2021년05월_계_60~69세,"28,945","2,234","1,413","1,385","2,387","1,647","1,751","1,081","1,538","2,642","3,047","1,360","1,000","1,201","2,796","1,463","2,000"
2021년05월_계_70~79세,"16,582","1,285",903,668,"1,464",804,"1,012",652,973,"1,407","1,770",732,546,818,"1,565",785,"1,198"
2021년05월_계_80~89세,"8,539",596,443,298,678,354,551,343,396,701,"1,197",365,316,428,716,600,557
2021년05월_계_90~99세,"1,404",107,76,55,88,56,64,54,62,109,222,56,68,73,141,95,78
2021년05월_계_100세 이상,103,10,2,19,3,6,5,3,4,8,6,3,7,2,17,3,5
2021년05월_남_총인구수,"109,494","8,321","4,666","4,606","9,126","7,654","6,611","4,820","5,755","10,429","12,977","3,995","3,170","4,243","9,982","6,287","6,852"
2021년05월_남_연령구간인구수,"109,494","8,321","4,666","4,606","9,126","7,654","6,611","4,820","5,755","10,429","12,977","3,995","3,170","4,243","9,982","6,287","6,852"
2021년05월_남_0~9세,"6,769",477,174,87,332,637,441,386,368,639,"1,406",270,108,211,608,391,234
2021년05월_남_10~19세,"7,697",652,258,152,600,463,494,383,401,523,"1,446",253,129,211,574,726,432
2021년05월_남_20~29세,"15,901","1,265",807,439,"1,647","1,058",878,730,874,"1,566","1,428",453,577,702,"1,389",881,"1,207"
2021년05월_남_30~39세,"19,030","1,425",875,581,"1,706","1,755","1,056",905,984,"2,234","1,565",711,604,831,"1,884",736,"1,178"
2021년05월_남_40~49세,"17,238","1,319",689,676,"1,330","1,335","1,112",727,883,"1,430","2,189",622,415,687,"1,673","1,135","1,016"
2021년05월_남_50~59세,"18,079","1,357",669,"1,126","1,513","1,082","1,137",768,965,"1,708","2,198",636,496,572,"1,546","1,117","1,189"
2021년05월_남_60~69세,"13,892","1,043",632,975,"1,112",800,838,497,696,"1,337","1,469",604,475,500,"1,300",736,878
2021년05월_남_70~79세,"7,228",556,399,387,593,362,451,275,413,654,741,318,225,349,681,314,510
2021년05월_남_80~89세,"3,206",199,145,154,271,146,186,128,156,299,452,117,121,158,279,214,181
2021년05월_남_90~99세,422,26,16,20,21,15,17,20,14,37,81,11,19,22,41,36,26
2021년05월_남_100세 이상,32,2,2,9,1,1,1,1,1,2,2,0,1,0,7,1,1
2021년05월_여_총인구수,"118,021","8,804","4,990","2,943","10,371","8,321","7,441","5,394","6,289","11,470","14,735","4,492","3,354","4,927","10,720","6,834","6,936"
2021년05월_여_연령구간인구수,"118,021","8,804","4,990","2,943","10,371","8,321","7,441","5,394","6,289","11,470","14,735","4,492","3,354","4,927","10,720","6,834","6,936"
2021년05월_여_0~9세,"6,430",444,163,87,325,650,458,373,368,578,"1,280",266,121,199,534,382,202
2021년05월_여_10~19세,"7,509",556,252,108,529,413,721,348,379,463,"1,434",263,132,256,601,727,327
2021년05월_여_20~29세,"17,774","1,256",716,509,"2,579","1,414","1,006",845,938,"2,170","1,492",446,511,712,"1,313",903,964
2021년05월_여_30~39세,"19,207","1,348",827,473,"1,447","1,900","1,044",965,"1,017","2,466","1,982",706,506,836,"1,994",765,931
2021년05월_여_40~49세,"17,772","1,388",639,398,"1,328","1,285","1,138",813,896,"1,486","2,656",613,436,733,"1,683","1,272","1,008"
2021년05월_여_50~59세,"18,536","1,406",750,488,"1,541","1,116","1,184",838,998,"1,769","2,394",732,552,698,"1,668","1,140","1,262"
2021년05월_여_60~69세,"15,053","1,191",781,410,"1,275",847,913,584,842,"1,305","1,578",756,525,701,"1,496",727,"1,122"
2021년05월_여_70~79세,"9,354",729,504,281,871,442,561,377,560,753,"1,029",414,321,469,884,471,688
2021년05월_여_80~89세,"5,333",397,298,144,407,208,365,215,240,402,745,248,195,270,437,386,376
2021년05월_여_90~99세,982,81,60,35,67,41,47,34,48,72,141,45,49,51,100,59,52
2021년05월_여_100세 이상,71,8,0,10,2,5,4,2,3,6,4,3,6,2,10,2,4
