카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년02월_계_총인구수,"40,305","9,160","11,826","1,119","1,409","1,163","1,202","1,686",880,"3,721","2,783","1,237","3,042","1,077"
2021년02월_계_연령구간인구수,"40,305","9,160","11,826","1,119","1,409","1,163","1,202","1,686",880,"3,721","2,783","1,237","3,042","1,077"
2021년02월_계_0~9세,"1,709",656,505,29,35,28,40,61,18,112,67,48,84,26
2021년02월_계_10~19세,"2,577",843,816,42,66,48,70,79,48,167,127,75,165,31
2021년02월_계_20~29세,"2,936",969,812,68,87,67,60,100,40,232,137,93,190,81
2021년02월_계_30~39세,"2,458",804,733,54,80,55,51,73,25,187,148,81,120,47
2021년02월_계_40~49세,"4,144","1,244","1,261",86,110,90,108,129,84,327,231,126,275,73
2021년02월_계_50~59세,"6,670","1,523","1,920",170,239,182,203,269,161,580,462,198,584,179
2021년02월_계_60~69세,"7,669","1,369","2,277",232,291,221,208,350,186,789,610,259,661,216
2021년02월_계_70~79세,"6,620",999,"2,010",200,253,222,228,314,181,732,518,201,548,214
2021년02월_계_80~89세,"4,749",661,"1,267",197,220,220,207,271,118,516,404,142,353,173
2021년02월_계_90~99세,732,84,207,41,27,29,26,39,18,78,74,14,59,36
2021년02월_계_100세 이상,41,8,18,0,1,1,1,1,1,1,5,0,3,1
2021년02월_남_총인구수,"19,650","4,502","5,772",536,695,560,583,800,453,"1,790","1,345",593,"1,504",517
2021년02월_남_연령구간인구수,"19,650","4,502","5,772",536,695,560,583,800,453,"1,790","1,345",593,"1,504",517
2021년02월_남_0~9세,900,354,268,14,17,12,24,24,9,61,31,31,42,13
2021년02월_남_10~19세,"1,315",405,432,26,39,27,38,46,22,93,67,28,76,16
2021년02월_남_20~29세,"1,670",532,455,38,46,35,36,58,25,133,88,61,121,42
2021년02월_남_30~39세,"1,321",406,410,33,47,26,31,38,18,95,78,43,67,29
2021년02월_남_40~49세,"2,362",626,719,54,70,54,71,74,54,208,144,75,165,48
2021년02월_남_50~59세,"3,723",816,"1,063",101,143,114,121,146,107,336,280,88,308,100
2021년02월_남_60~69세,"3,873",674,"1,122",126,159,112,108,199,97,386,297,132,351,110
2021년02월_남_70~79세,"2,829",438,849,92,101,106,87,131,82,309,215,89,239,91
2021년02월_남_80~89세,"1,494",232,409,43,70,63,63,75,36,154,126,46,120,57
2021년02월_남_90~99세,156,19,39,9,3,11,4,9,3,15,18,0,15,11
2021년02월_남_100세 이상,7,0,6,0,0,0,0,0,0,0,1,0,0,0
2021년02월_여_총인구수,"20,655","4,658","6,054",583,714,603,619,886,427,"1,931","1,438",644,"1,538",560
2021년02월_여_연령구간인구수,"20,655","4,658","6,054",583,714,603,619,886,427,"1,931","1,438",644,"1,538",560
2021년02월_여_0~9세,809,302,237,15,18,16,16,37,9,51,36,17,42,13
2021년02월_여_10~19세,"1,262",438,384,16,27,21,32,33,26,74,60,47,89,15
2021년02월_여_20~29세,"1,266",437,357,30,41,32,24,42,15,99,49,32,69,39
2021년02월_여_30~39세,"1,137",398,323,21,33,29,20,35,7,92,70,38,53,18
2021년02월_여_40~49세,"1,782",618,542,32,40,36,37,55,30,119,87,51,110,25
2021년02월_여_50~59세,"2,947",707,857,69,96,68,82,123,54,244,182,110,276,79
2021년02월_여_60~69세,"3,796",695,"1,155",106,132,109,100,151,89,403,313,127,310,106
2021년02월_여_70~79세,"3,791",561,"1,161",108,152,116,141,183,99,423,303,112,309,123
2021년02월_여_80~89세,"3,255",429,858,154,150,157,144,196,82,362,278,96,233,116
2021년02월_여_90~99세,576,65,168,32,24,18,22,30,15,63,56,14,44,25
2021년02월_여_100세 이상,34,8,12,0,1,1,1,1,1,1,4,0,3,1
