,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년07월_계_총인구수,"433,361","16,696","22,996","15,494","14,827","24,168","14,877","15,461","18,343","23,167","15,090","25,093","35,655","16,624","39,054","26,593","19,600","24,391","13,788","16,153","35,291"
2021년07월_계_연령구간인구수,"433,361","16,696","22,996","15,494","14,827","24,168","14,877","15,461","18,343","23,167","15,090","25,093","35,655","16,624","39,054","26,593","19,600","24,391","13,788","16,153","35,291"
2021년07월_계_0~9세,"28,228",754,"1,052",549,791,"1,931",434,966,"1,403","1,458",576,"1,546","3,782","1,407","2,574","1,969","1,039","1,752",579,"1,720","1,946"
2021년07월_계_10~19세,"36,578","1,165","1,820",949,"1,258","2,795",819,929,"1,739","1,828",926,"2,102","4,885","1,441","3,630","2,581","1,448","1,902",860,"1,351","2,150"
2021년07월_계_20~29세,"66,130","2,765","4,187","4,461","1,979","2,911","5,119","2,608","2,268","3,225","3,065","3,265","3,412","2,035","5,655","3,066","3,476","3,401","1,992","2,062","5,178"
2021년07월_계_30~39세,"59,120","2,460","3,244","2,516","1,949","2,949","2,016","2,575","2,605","3,081","1,827","3,123","4,383","2,413","5,093","3,527","2,716","3,383","1,771","2,581","4,908"
2021년07월_계_40~49세,"68,524","2,540","3,477","1,975","2,082","4,357","1,590","2,366","3,126","3,524","1,830","4,104","7,791","2,870","6,292","4,518","2,777","3,720","1,898","2,630","5,057"
2021년07월_계_50~59세,"69,040","2,753","3,685","1,942","2,666","4,114","1,961","2,493","2,849","3,734","2,346","4,152","5,063","2,746","6,307","4,214","2,992","4,223","2,392","2,537","5,871"
2021년07월_계_60~69세,"56,267","2,096","2,782","1,511","2,206","2,779","1,491","1,939","2,276","3,402","2,266","3,654","3,314","2,123","4,913","3,637","2,750","3,421","2,245","1,964","5,498"
2021년07월_계_70~79세,"32,722","1,298","1,784","1,035","1,250","1,471",940,"1,067","1,361","1,966","1,435","2,125","2,056","1,088","2,852","2,116","1,595","1,746","1,395",926,"3,216"
2021년07월_계_80~89세,"14,648",710,849,474,576,725,446,456,633,832,711,883,844,441,"1,498",861,706,756,582,343,"1,322"
2021년07월_계_90~99세,"1,996",136,102,69,66,133,56,58,81,113,105,134,121,57,232,104,97,85,71,34,142
2021년07월_계_100세 이상,108,19,14,13,4,3,5,4,2,4,3,5,4,3,8,0,4,2,3,5,3
2021년07월_남_총인구수,"209,004","7,793","10,951","6,521","6,942","11,442","7,468","7,456","8,826","11,223","7,460","12,118","16,965","7,995","19,341","12,864","9,442","11,936","6,824","7,970","17,467"
2021년07월_남_연령구간인구수,"209,004","7,793","10,951","6,521","6,942","11,442","7,468","7,456","8,826","11,223","7,460","12,118","16,965","7,995","19,341","12,864","9,442","11,936","6,824","7,970","17,467"
2021년07월_남_0~9세,"14,414",365,546,270,391,972,222,481,734,756,299,817,"1,930",727,"1,316",987,556,878,294,891,982
2021년07월_남_10~19세,"18,568",602,947,409,608,"1,403",421,452,868,947,478,"1,094","2,400",764,"1,978","1,247",727,987,427,666,"1,143"
2021년07월_남_20~29세,"31,724","1,276","1,872","1,451",920,"1,412","2,640","1,254","1,122","1,604","1,686","1,676","1,644",946,"3,009","1,456","1,493","1,725",984,996,"2,558"
2021년07월_남_30~39세,"29,510","1,177","1,579","1,159",961,"1,386","1,124","1,332","1,281","1,584","1,038","1,519","1,965","1,171","2,570","1,751","1,408","1,765",935,"1,257","2,548"
2021년07월_남_40~49세,"33,783","1,213","1,710",943,971,"2,045",824,"1,183","1,505","1,738",903,"2,019","3,734","1,372","3,099","2,257","1,406","1,857","1,027","1,348","2,629"
2021년07월_남_50~59세,"34,049","1,302","1,835",967,"1,277","1,973",975,"1,197","1,405","1,796","1,149","2,005","2,600","1,358","3,132","2,115","1,516","2,043","1,220","1,286","2,898"
2021년07월_남_60~69세,"26,457",975,"1,361",680,"1,028","1,302",699,915,"1,061","1,579","1,009","1,649","1,478","1,000","2,365","1,741","1,321","1,612","1,064",939,"2,679"
2021년07월_남_70~79세,"14,282",536,750,440,563,636,388,463,576,872,614,954,870,476,"1,222",931,715,762,625,449,"1,440"
2021년07월_남_80~89세,"5,702",301,320,179,205,279,163,173,255,320,259,353,322,165,573,352,277,289,229,132,556
2021년07월_남_90~99세,488,39,28,22,18,34,10,5,19,25,25,31,22,14,73,27,23,17,19,5,32
2021년07월_남_100세 이상,27,7,3,1,0,0,2,1,0,2,0,1,0,2,4,0,0,1,0,1,2
2021년07월_여_총인구수,"224,357","8,903","12,045","8,973","7,885","12,726","7,409","8,005","9,517","11,944","7,630","12,975","18,690","8,629","19,713","13,729","10,158","12,455","6,964","8,183","17,824"
2021년07월_여_연령구간인구수,"224,357","8,903","12,045","8,973","7,885","12,726","7,409","8,005","9,517","11,944","7,630","12,975","18,690","8,629","19,713","13,729","10,158","12,455","6,964","8,183","17,824"
2021년07월_여_0~9세,"13,814",389,506,279,400,959,212,485,669,702,277,729,"1,852",680,"1,258",982,483,874,285,829,964
2021년07월_여_10~19세,"18,010",563,873,540,650,"1,392",398,477,871,881,448,"1,008","2,485",677,"1,652","1,334",721,915,433,685,"1,007"
