카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년12월_계_총인구수,"379,480","21,479","28,118","34,135","20,750","37,560","18,249","33,190","17,393","22,380","17,469","16,896","12,122","11,186","18,071","20,289","14,870","12,409","22,914"
2020년12월_계_연령구간인구수,"379,480","21,479","28,118","34,135","20,750","37,560","18,249","33,190","17,393","22,380","17,469","16,896","12,122","11,186","18,071","20,289","14,870","12,409","22,914"
2020년12월_계_0~9세,"25,836","1,447","1,222","2,932","1,153","2,806",992,"3,377","1,220","1,668",599,"1,185",809,827,"1,016","2,102",865,456,"1,160"
2020년12월_계_10~19세,"24,278","1,261",878,"2,918",984,"2,296",952,"2,944","1,019","1,590",885,"1,143",830,764,"1,107","1,733",897,594,"1,483"
2020년12월_계_20~29세,"59,076","2,852","6,740","3,870","3,553","7,336","2,781","3,849","2,744","3,686","3,392","2,172","1,559","1,390","3,091","2,813","2,182","1,896","3,170"
2020년12월_계_30~39세,"69,245","3,313","6,877","5,269","4,235","8,213","3,238","6,197","4,316","5,180","2,990","2,547","1,811","1,635","2,939","3,488","1,997","1,700","3,300"
2020년12월_계_40~49세,"56,438","3,144","3,527","5,479","2,925","5,249","2,735","5,985","2,765","3,356","2,441","2,491","1,873","1,649","2,484","3,320","2,130","1,695","3,190"
2020년12월_계_50~59세,"56,931","3,651","3,610","5,174","3,066","4,820","3,003","4,193","2,050","3,056","2,554","2,900","1,997","1,943","2,821","3,102","2,532","2,199","4,260"
2020년12월_계_60~69세,"47,072","3,193","3,031","4,121","2,639","3,775","2,329","3,573","1,686","2,195","2,295","2,450","1,787","1,673","2,565","2,144","2,190","1,877","3,549"
2020년12월_계_70~79세,"27,380","1,823","1,527","2,687","1,462","2,012","1,490","2,077","1,076","1,104","1,544","1,417",983,898,"1,385","1,067","1,460","1,414","1,954"
