,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년09월_계_총인구수,"213,833","11,170","17,001","8,716","4,465","11,283","12,735","18,470","33,196","22,706","22,104","20,232","10,860","20,895"
2021년09월_계_연령구간인구수,"213,833","11,170","17,001","8,716","4,465","11,283","12,735","18,470","33,196","22,706","22,104","20,232","10,860","20,895"
2021년09월_계_0~9세,"15,602",516,"1,316",380,193,908,398,"1,243","3,246",971,"1,397","1,921","1,289","1,824"
2021년09월_계_10~19세,"19,620",666,"1,291",580,302,"1,073",622,"1,546","3,655","1,918","2,198","1,938","1,279","2,552"
2021년09월_계_20~29세,"25,592","1,303","2,005","1,254",536,"1,457","1,495","2,146","3,656","3,084","2,814","2,143","1,279","2,420"
2021년09월_계_30~39세,"25,422","1,343","2,366","1,025",477,"1,591","1,248","2,228","4,184","2,015","2,218","2,682","1,596","2,449"
2021년09월_계_40~49세,"33,310","1,504","2,574","1,096",507,"1,755","1,517","2,687","5,880","3,173","3,211","3,386","1,820","4,200"
2021년09월_계_50~59세,"40,280","1,955","3,292","1,728",878,"2,030","2,463","3,320","5,770","4,968","4,643","3,565","1,978","3,690"
2021년09월_계_60~69세,"33,304","2,112","2,716","1,544",954,"1,508","2,848","3,168","4,419","3,932","3,649","3,033","1,090","2,331"
2021년09월_계_70~79세,"14,703","1,277","1,048",795,452,686,"1,514","1,441","1,747","1,825","1,433","1,110",373,"1,002"
2021년09월_계_80~89세,"5,356",438,351,275,152,240,583,622,555,747,480,411,134,368
2021년09월_계_90~99세,628,54,40,39,14,35,47,69,82,73,57,41,21,56
2021년09월_계_100세 이상,16,2,2,0,0,0,0,0,2,0,4,2,1,3
2021년09월_남_총인구수,"108,235","5,697","8,833","4,435","2,239","5,617","6,571","9,215","16,530","11,544","11,220","10,198","5,445","10,691"
2021년09월_남_연령구간인구수,"108,235","5,697","8,833","4,435","2,239","5,617","6,571","9,215","16,530","11,544","11,220","10,198","5,445","10,691"
2021년09월_남_0~9세,"8,024",252,667,210,113,442,217,664,"1,718",485,709,951,645,951
2021년09월_남_10~19세,"10,436",354,674,309,164,560,326,839,"1,921","1,053","1,181","1,033",670,"1,352"
2021년09월_남_20~29세,"14,311",703,"1,115",687,287,800,845,"1,178","2,073","1,790","1,608","1,207",699,"1,319"
2021년09월_남_30~39세,"13,360",760,"1,286",558,280,860,750,"1,148","2,029","1,125","1,164","1,369",769,"1,262"
2021년09월_남_40~49세,"17,021",849,"1,400",588,259,870,831,"1,372","2,880","1,568","1,584","1,786",881,"2,153"
2021년09월_남_50~59세,"20,056","1,048","1,699",853,410,961,"1,279","1,625","2,722","2,481","2,305","1,744","1,002","1,927"
2021년09월_남_60~69세,"16,218","1,006","1,343",734,468,704,"1,438","1,528","2,151","1,935","1,784","1,463",549,"1,115"
2021년09월_남_70~79세,"6,814",557,512,390,203,339,657,621,833,844,695,510,170,483
2021년09월_남_80~89세,"1,891",159,133,99,53,74,216,222,193,249,183,132,55,123
2021년09월_남_90~99세,102,9,4,7,2,7,12,18,10,14,7,2,5,5
2021년09월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년09월_여_총인구수,"105,598","5,473","8,168","4,281","2,226","5,666","6,164","9,255","16,666","11,162","10,884","10,034","5,415","10,204"
2021년09월_여_연령구간인구수,"105,598","5,473","8,168","4,281","2,226","5,666","6,164","9,255","16,666","11,162","10,884","10,034","5,415","10,204"
2021년09월_여_0~9세,"7,578",264,649,170,80,466,181,579,"1,528",486,688,970,644,873
2021년09월_여_10~19세,"9,184",312,617,271,138,513,296,707,"1,734",865,"1,017",905,609,"1,200"
2021년09월_여_20~29세,"11,281",600,890,567,249,657,650,968,"1,583","1,294","1,206",936,580,"1,101"
2021년09월_여_30~39세,"12,062",583,"1,080",467,197,731,498,"1,080","2,155",890,"1,054","1,313",827,"1,187"
2021년09월_여_40~49세,"16,289",655,"1,174",508,248,885,686,"1,315","3,000","1,605","1,627","1,600",939,"2,047"
2021년09월_여_50~59세,"20,224",907,"1,593",875,468,"1,069","1,184","1,695","3,048","2,487","2,338","1,821",976,"1,763"
2021년09월_여_60~69세,"17,086","1,106","1,373",810,486,804,"1,410","1,640","2,268","1,997","1,865","1,570",541,"1,216"
2021년09월_여_70~79세,"7,889",720,536,405,249,347,857,820,914,981,738,600,203,519
2021년09월_여_80~89세,"3,465",279,218,176,99,166,367,400,362,498,297,279,79,245
2021년09월_여_90~99세,526,45,36,32,12,28,35,51,72,59,50,39,16,51
2021년09월_여_100세 이상,14,2,2,0,0,0,0,0,2,0,4,1,1,2
