카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년08월_계_총인구수,"42,980","13,098","3,800","1,630","3,932","2,365","3,571","2,652","3,467","2,872","5,593"
2020년08월_계_연령구간인구수,"42,980","13,098","3,800","1,630","3,932","2,365","3,571","2,652","3,467","2,872","5,593"
2020년08월_계_0~9세,"1,590",882,83,36,129,89,71,53,66,47,134
2020년08월_계_10~19세,"2,942","1,384",219,99,186,180,211,94,169,115,285
2020년08월_계_20~29세,"3,276","1,504",240,100,212,185,196,135,221,166,317
2020년08월_계_30~39세,"2,495","1,150",166,76,208,136,157,102,148,111,241
2020년08월_계_40~49세,"4,640","1,943",346,141,382,257,325,233,306,212,495
2020년08월_계_50~59세,"7,435","2,213",652,314,676,493,588,431,579,478,"1,011"
2020년08월_계_60~69세,"8,137","1,919",763,312,835,492,703,536,680,658,"1,239"
2020년08월_계_70~79세,"6,791","1,237",712,281,702,325,708,529,661,558,"1,078"
2020년08월_계_80~89세,"4,834",737,536,239,500,173,524,468,531,432,694
2020년08월_계_90~99세,823,128,83,32,99,34,83,70,104,92,98
2020년08월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년08월_남_총인구수,"20,687","6,398","1,821",794,"1,888","1,215","1,683","1,268","1,618","1,365","2,637"
2020년08월_남_연령구간인구수,"20,687","6,398","1,821",794,"1,888","1,215","1,683","1,268","1,618","1,365","2,637"
2020년08월_남_0~9세,848,452,42,21,76,42,45,30,34,28,78
2020년08월_남_10~19세,"1,561",719,131,53,104,90,103,55,104,54,148
2020년08월_남_20~29세,"2,005",902,147,64,123,130,121,96,119,110,193
2020년08월_남_30~39세,"1,307",570,91,40,113,75,88,59,81,58,132
2020년08월_남_40~49세,"2,510",935,192,80,216,146,191,140,187,125,298
2020년08월_남_50~59세,"3,931","1,117",366,178,368,265,321,249,295,251,521
2020년08월_남_60~69세,"3,981",912,361,152,417,250,334,265,333,340,617
2020년08월_남_70~79세,"2,948",539,307,122,310,158,319,227,286,246,434
2020년08월_남_80~89세,"1,447",236,162,79,144,54,142,137,155,137,201
2020년08월_남_90~99세,148,16,22,5,16,5,19,10,24,16,15
2020년08월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년08월_여_총인구수,"22,293","6,700","1,979",836,"2,044","1,150","1,888","1,384","1,849","1,507","2,956"
2020년08월_여_연령구간인구수,"22,293","6,700","1,979",836,"2,044","1,150","1,888","1,384","1,849","1,507","2,956"
2020년08월_여_0~9세,742,430,41,15,53,47,26,23,32,19,56
2020년08월_여_10~19세,"1,381",665,88,46,82,90,108,39,65,61,137
2020년08월_여_20~29세,"1,271",602,93,36,89,55,75,39,102,56,124
2020년08월_여_30~39세,"1,188",580,75,36,95,61,69,43,67,53,109
2020년08월_여_40~49세,"2,130","1,008",154,61,166,111,134,93,119,87,197
2020년08월_여_50~59세,"3,504","1,096",286,136,308,228,267,182,284,227,490
2020년08월_여_60~69세,"4,156","1,007",402,160,418,242,369,271,347,318,622
2020년08월_여_70~79세,"3,843",698,405,159,392,167,389,302,375,312,644
2020년08월_여_80~89세,"3,387",501,374,160,356,119,382,331,376,295,493
2020년08월_여_90~99세,675,112,61,27,83,29,64,60,80,76,83
2020년08월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
