카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년06월_계_총인구수,"475,371","36,850","38,927","28,002","22,580","28,545","32,394","27,088","32,554","27,416","24,877","45,909","27,228","20,535","15,118","11,243","56,105"
2021년06월_계_연령구간인구수,"475,371","36,850","38,927","28,002","22,580","28,545","32,394","27,088","32,554","27,416","24,877","45,909","27,228","20,535","15,118","11,243","56,105"
2021년06월_계_0~9세,"28,620","2,382","2,289","1,073",967,"1,465","1,718","1,128","2,508","3,154",989,"2,531","1,520","1,060",711,714,"4,411"
2021년06월_계_10~19세,"37,782","2,229","2,613","1,724","1,505","2,385","2,815","1,587","2,688","2,304","1,563","3,419","2,049","1,622","1,151",762,"7,366"
2021년06월_계_20~29세,"66,395","4,985","5,290","4,294","3,641","4,354","4,429","4,921","4,424","2,693","3,585","6,559","3,865","2,922","2,045","1,464","6,924"
2021년06월_계_30~39세,"67,380","5,968","5,333","3,806","2,970","3,838","4,060","4,192","5,410","4,848","3,390","6,436","4,030","2,727","2,003","1,751","6,618"
2021년06월_계_40~49세,"75,071","5,632","5,807","3,736","3,174","4,602","5,010","3,957","5,499","5,244","3,498","7,460","4,148","3,114","2,246","1,511","10,433"
2021년06월_계_50~59세,"76,763","5,842","6,625","4,865","3,892","4,753","5,602","4,160","4,826","3,646","4,149","7,605","4,389","3,457","2,496","1,972","8,484"
2021년06월_계_60~69세,"65,915","5,198","5,694","4,483","3,544","3,782","4,746","3,613","3,813","2,987","3,791","6,383","4,009","3,200","2,489","1,726","6,457"
2021년06월_계_70~79세,"38,759","3,134","3,458","2,750","2,040","2,301","2,696","2,356","2,318","1,703","2,580","3,834","2,238","1,642","1,369",883,"3,457"
2021년06월_계_80~89세,"16,384","1,304","1,617","1,136",739,945,"1,167","1,036",952,725,"1,191","1,507",885,698,531,404,"1,547"
2021년06월_계_90~99세,"2,018",170,189,121,102,108,148,115,114,90,138,166,94,89,74,56,244
2021년06월_계_100세 이상,284,6,12,14,6,12,3,23,2,22,3,9,1,4,3,0,164
