카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년04월_계_총인구수,"117,301","30,585","10,133","4,631","13,212","7,759","9,537","3,878","3,731","4,576","6,808","17,334","5,117"
2020년04월_계_연령구간인구수,"117,301","30,585","10,133","4,631","13,212","7,759","9,537","3,878","3,731","4,576","6,808","17,334","5,117"
2020년04월_계_0~9세,"7,509","2,316",944,165,743,491,652,132,122,145,231,"1,335",233
2020년04월_계_10~19세,"9,653","3,312",887,250,"1,008",542,809,248,158,196,389,"1,516",338
2020년04월_계_20~29세,"10,460","3,528",789,325,"1,200",715,595,260,239,290,494,"1,616",409
2020년04월_계_30~39세,"11,035","3,302","1,235",380,"1,221",772,835,306,206,296,402,"1,678",402
2020년04월_계_40~49세,"16,383","4,870","1,611",512,"1,806","1,026","1,509",460,380,412,723,"2,466",608
2020년04월_계_50~59세,"20,902","5,412","1,695",911,"2,402","1,381","1,710",695,689,883,"1,291","2,893",940
2020년04월_계_60~69세,"21,568","4,185","1,622","1,148","2,540","1,571","1,974",895,912,"1,141","1,589","2,885","1,106"
2020년04월_계_70~79세,"12,768","2,380",891,679,"1,535",849,984,565,605,700,"1,005","1,870",705
2020년04월_계_80~89세,"6,037","1,126",396,214,645,355,395,283,367,429,573,920,334
2020년04월_계_90~99세,920,139,60,46,102,53,69,34,46,76,108,147,40
2020년04월_계_100세 이상,66,15,3,1,10,4,5,0,7,8,3,8,2
2020년04월_남_총인구수,"58,837","15,321","4,993","2,343","6,621","3,915","4,719","1,976","1,880","2,283","3,458","8,736","2,592"
2020년04월_남_연령구간인구수,"58,837","15,321","4,993","2,343","6,621","3,915","4,719","1,976","1,880","2,283","3,458","8,736","2,592"
2020년04월_남_0~9세,"3,852","1,200",473,93,381,242,314,67,62,82,139,689,110
2020년04월_남_10~19세,"5,103","1,726",445,147,529,283,435,133,91,102,220,801,191
2020년04월_남_20~29세,"5,745","1,904",426,186,638,425,323,143,125,167,283,896,229
2020년04월_남_30~39세,"5,561","1,651",591,198,636,393,397,183,110,160,208,826,208
2020년04월_남_40~49세,"8,425","2,397",803,271,932,552,754,254,221,231,404,"1,282",324
2020년04월_남_50~59세,"10,727","2,800",849,450,"1,229",694,837,340,364,474,668,"1,528",494
2020년04월_남_60~69세,"10,649","2,081",777,545,"1,218",761,966,470,458,559,839,"1,438",537
2020년04월_남_70~79세,"6,266","1,129",464,356,752,413,526,283,294,327,463,895,364
2020년04월_남_80~89세,"2,268",394,148,88,275,136,149,98,147,162,202,346,123
2020년04월_남_90~99세,227,36,17,8,26,16,17,5,7,18,32,34,11
2020년04월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년04월_여_총인구수,"58,464","15,264","5,140","2,288","6,591","3,844","4,818","1,902","1,851","2,293","3,350","8,598","2,525"
2020년04월_여_연령구간인구수,"58,464","15,264","5,140","2,288","6,591","3,844","4,818","1,902","1,851","2,293","3,350","8,598","2,525"
2020년04월_여_0~9세,"3,657","1,116",471,72,362,249,338,65,60,63,92,646,123
2020년04월_여_10~19세,"4,550","1,586",442,103,479,259,374,115,67,94,169,715,147
2020년04월_여_20~29세,"4,715","1,624",363,139,562,290,272,117,114,123,211,720,180
2020년04월_여_30~39세,"5,474","1,651",644,182,585,379,438,123,96,136,194,852,194
2020년04월_여_40~49세,"7,958","2,473",808,241,874,474,755,206,159,181,319,"1,184",284
2020년04월_여_50~59세,"10,175","2,612",846,461,"1,173",687,873,355,325,409,623,"1,365",446
2020년04월_여_60~69세,"10,919","2,104",845,603,"1,322",810,"1,008",425,454,582,750,"1,447",569
2020년04월_여_70~79세,"6,502","1,251",427,323,783,436,458,282,311,373,542,975,341
2020년04월_여_80~89세,"3,769",732,248,126,370,219,246,185,220,267,371,574,211
2020년04월_여_90~99세,693,103,43,38,76,37,52,29,39,58,76,113,29
2020년04월_여_100세 이상,52,12,3,0,5,4,4,0,6,7,3,7,1
