,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년03월_계_총인구수,"22,277","7,452","2,117","2,370","4,429","2,115","2,197","1,597"
2020년03월_계_연령구간인구수,"22,277","7,452","2,117","2,370","4,429","2,115","2,197","1,597"
2020년03월_계_0~9세,"1,208",581,82,79,244,53,97,72
2020년03월_계_10~19세,"1,681",735,115,123,366,103,150,89
2020년03월_계_20~29세,"1,715",660,151,157,384,128,154,81
2020년03월_계_30~39세,"1,669",735,117,129,331,118,140,99
2020년03월_계_40~49세,"2,653","1,044",209,223,582,206,235,154
2020년03월_계_50~59세,"3,785","1,169",345,414,794,378,417,268
2020년03월_계_60~69세,"4,085","1,156",397,517,746,488,407,374
2020년03월_계_70~79세,"3,117",829,373,426,559,352,339,239
2020년03월_계_80~89세,"2,064",477,288,261,374,243,233,188
2020년03월_계_90~99세,278,63,38,39,41,43,21,33
2020년03월_계_100세 이상,22,3,2,2,8,3,4,0
2020년03월_남_총인구수,"11,096","3,678","1,043","1,201","2,245","1,055","1,083",791
2020년03월_남_연령구간인구수,"11,096","3,678","1,043","1,201","2,245","1,055","1,083",791
2020년03월_남_0~9세,626,294,47,49,125,24,51,36
2020년03월_남_10~19세,847,350,63,64,207,53,65,45
2020년03월_남_20~29세,967,355,94,87,222,78,85,46
2020년03월_남_30~39세,870,356,65,80,175,67,80,47
2020년03월_남_40~49세,"1,526",586,123,138,321,128,133,97
2020년03월_남_50~59세,"2,128",642,196,221,457,221,243,148
2020년03월_남_60~69세,"2,048",554,193,280,368,248,204,201
2020년03월_남_70~79세,"1,337",357,165,190,242,142,138,103
2020년03월_남_80~89세,680,168,87,87,118,83,77,60
2020년03월_남_90~99세,63,15,10,5,9,11,5,8
2020년03월_남_100세 이상,4,1,0,0,1,0,2,0
2020년03월_여_총인구수,"11,181","3,774","1,074","1,169","2,184","1,060","1,114",806
2020년03월_여_연령구간인구수,"11,181","3,774","1,074","1,169","2,184","1,060","1,114",806
2020년03월_여_0~9세,582,287,35,30,119,29,46,36
2020년03월_여_10~19세,834,385,52,59,159,50,85,44
2020년03월_여_20~29세,748,305,57,70,162,50,69,35
2020년03월_여_30~39세,799,379,52,49,156,51,60,52
2020년03월_여_40~49세,"1,127",458,86,85,261,78,102,57
2020년03월_여_50~59세,"1,657",527,149,193,337,157,174,120
2020년03월_여_60~69세,"2,037",602,204,237,378,240,203,173
2020년03월_여_70~79세,"1,780",472,208,236,317,210,201,136
2020년03월_여_80~89세,"1,384",309,201,174,256,160,156,128
2020년03월_여_90~99세,215,48,28,34,32,32,16,25
2020년03월_여_100세 이상,18,2,2,2,7,3,2,0
