,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년11월_계_총인구수,"1,833,864","218,785","276,747","281,587","116,701","150,493","46,184","27,581","25,175","62,833","39,478","62,618","36,622","33,793","67,328","52,964","90,973","31,343","52,024","43,518","48,770","30,104","38,243"
2021년11월_계_연령구간인구수,"1,833,864","218,785","276,747","281,587","116,701","150,493","46,184","27,581","25,175","62,833","39,478","62,618","36,622","33,793","67,328","52,964","90,973","31,343","52,024","43,518","48,770","30,104","38,243"
2021년11월_계_0~9세,"124,403","16,496","19,638","22,629","9,882","12,667","2,196",979,"1,037","2,424","1,538","3,276","1,838","1,544","3,617","3,192","8,195","1,217","3,646","2,495","2,914","1,565","1,418"
2021년11월_계_10~19세,"163,429","23,809","25,625","29,478","9,656","15,701","2,975","1,871","1,769","3,684","2,506","5,528","2,627","2,414","4,991","4,302","9,676","2,011","4,000","3,168","3,506","2,167","1,965"
2021년11월_계_20~29세,"194,193","26,264","32,737","36,823","12,209","19,367","4,534","2,186","1,864","3,885","2,774","6,652","2,876","2,721","5,380","4,901","9,497","2,349","4,697","3,936","3,586","2,421","2,534"
2021년11월_계_30~39세,"178,946","23,716","29,673","32,885","14,443","18,033","3,559","1,622","1,517","3,430","2,319","4,678","2,526","2,255","4,623","4,432","11,155","1,847","4,597","3,418","3,642","2,085","2,491"
2021년11월_계_40~49세,"252,438","36,089","40,638","42,475","16,739","23,123","5,104","2,898","2,693","5,988","3,899","7,924","3,846","3,545","7,631","7,207","14,446","3,276","6,224","5,245","5,944","3,399","4,105"
2021년11월_계_50~59세,"312,312","35,977","48,106","49,216","17,367","29,381","8,199","4,764","4,543","9,909","6,513","11,404","6,138","5,520","11,378","9,444","13,483","5,365","8,430","7,443","7,883","4,951","6,898"
2021년11월_계_60~69세,"284,327","29,925","42,271","36,471","16,951","18,210","8,746","5,271","4,885","13,011","7,770","10,173","6,726","6,440","12,704","8,560","11,538","6,195","8,648","7,635","8,737","5,509","7,951"
2021년11월_계_70~79세,"191,177","17,914","25,066","19,237","11,406","8,370","6,192","4,122","3,798","11,305","6,434","7,283","5,347","5,085","9,860","6,143","7,901","4,945","6,955","5,731","7,327","4,531","6,225"
2021년11월_계_80~89세,"115,039","7,592","11,257","10,651","6,954","4,781","4,044","3,282","2,662","7,858","4,920","4,974","4,006","3,664","6,216","4,188","4,453","3,596","4,261","3,898","4,580","3,073","4,129"
2021년11월_계_90~99세,"17,082",973,"1,699","1,666","1,060",839,608,571,393,"1,296",780,703,675,594,897,583,606,526,539,532,633,393,516
2021년11월_계_100세 이상,518,30,37,56,34,21,27,15,14,43,25,23,17,11,31,12,23,16,27,17,18,10,11
2021년11월_남_총인구수,"922,677","108,916","141,051","140,550","58,889","78,624","23,432","13,557","12,253","30,566","19,264","30,908","17,821","16,370","33,346","27,488","45,682","15,776","25,979","22,272","24,537","14,925","20,471"
2021년11월_남_연령구간인구수,"922,677","108,916","141,051","140,550","58,889","78,624","23,432","13,557","12,253","30,566","19,264","30,908","17,821","16,370","33,346","27,488","45,682","15,776","25,979","22,272","24,537","14,925","20,471"
2021년11월_남_0~9세,"63,393","8,508","9,940","11,583","5,093","6,442","1,074",512,499,"1,203",810,"1,661",909,766,"1,832","1,632","4,219",632,"1,830","1,251","1,504",765,728
2021년11월_남_10~19세,"84,587","12,182","13,237","15,321","4,962","8,140","1,534","1,007",927,"1,986","1,279","2,880","1,397","1,238","2,559","2,271","4,909","1,087","2,083","1,658","1,826","1,098","1,006"
2021년11월_남_20~29세,"108,753","14,233","18,618","20,047","6,459","11,295","2,692","1,207","1,050","2,280","1,605","3,596","1,627","1,544","3,058","2,883","5,094","1,386","2,676","2,334","2,100","1,420","1,549"
2021년11월_남_30~39세,"94,103","12,206","15,909","16,959","7,535","9,700","1,827",856,779,"1,856","1,234","2,408","1,339","1,165","2,469","2,405","5,644",987,"2,359","1,829","1,966","1,110","1,561"
2021년11월_남_40~49세,"134,570","18,607","21,425","20,924","9,247","12,003","2,908","1,612","1,451","3,457","2,208","4,043","2,124","1,947","4,239","4,311","7,557","1,941","3,460","2,939","3,471","1,974","2,722"
2021년11월_남_50~59세,"168,310","18,245","25,346","24,848","9,545","15,973","4,560","2,656","2,532","5,606","3,656","6,186","3,388","3,016","6,350","5,416","7,389","3,148","4,700","4,265","4,434","2,801","4,250"
2021년11월_남_60~69세,"143,731","14,193","20,820","18,251","8,630","9,582","4,567","2,780","2,449","6,493","3,973","5,364","3,341","3,247","6,396","4,492","5,813","3,274","4,423","4,064","4,371","2,810","4,398"
