카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년06월_계_총인구수,"50,802","29,133","3,238","1,429","1,949","2,337","3,056","4,271","2,336","3,053"
2020년06월_계_연령구간인구수,"50,802","29,133","3,238","1,429","1,949","2,337","3,056","4,271","2,336","3,053"
2020년06월_계_0~9세,"2,704","2,199",97,34,32,31,63,115,64,69
2020년06월_계_10~19세,"3,945","3,072",130,71,74,54,136,207,85,116
2020년06월_계_20~29세,"4,475","3,165",232,68,101,86,147,274,185,217
2020년06월_계_30~39세,"4,012","2,888",179,68,69,83,133,276,133,183
2020년06월_계_40~49세,"6,348","4,533",297,102,171,135,229,403,180,298
2020년06월_계_50~59세,"9,101","4,999",632,274,334,456,533,790,445,638
2020년06월_계_60~69세,"9,633","4,243",794,352,510,622,794,981,573,764
2020년06월_계_70~79세,"6,230","2,600",488,240,342,446,593,694,378,449
2020년06월_계_80~89세,"3,766","1,252",329,188,261,370,379,455,263,269
2020년06월_계_90~99세,559,175,59,31,48,51,45,73,30,47
2020년06월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년06월_남_총인구수,"25,585","14,586","1,664",712,983,"1,168","1,491","2,173","1,211","1,597"
2020년06월_남_연령구간인구수,"25,585","14,586","1,664",712,983,"1,168","1,491","2,173","1,211","1,597"
2020년06월_남_0~9세,"1,416","1,157",55,17,14,15,30,57,33,38
2020년06월_남_10~19세,"2,063","1,604",66,38,37,33,74,103,42,66
2020년06월_남_20~29세,"2,547","1,764",149,43,61,57,83,161,100,129
2020년06월_남_30~39세,"2,082","1,442",102,41,46,42,67,166,74,102
2020년06월_남_40~49세,"3,437","2,326",172,67,108,87,136,255,115,171
2020년06월_남_50~59세,"4,853","2,582",344,142,195,246,307,430,251,356
2020년06월_남_60~69세,"4,930","2,069",419,190,266,346,404,509,314,413
2020년06월_남_70~79세,"2,845","1,144",230,111,156,214,270,336,181,203
2020년06월_남_80~89세,"1,269",459,109,56,86,110,107,139,96,107
2020년06월_남_90~99세,136,38,18,7,11,18,12,15,5,12
2020년06월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년06월_여_총인구수,"25,217","14,547","1,574",717,966,"1,169","1,565","2,098","1,125","1,456"
2020년06월_여_연령구간인구수,"25,217","14,547","1,574",717,966,"1,169","1,565","2,098","1,125","1,456"
2020년06월_여_0~9세,"1,288","1,042",42,17,18,16,33,58,31,31
2020년06월_여_10~19세,"1,882","1,468",64,33,37,21,62,104,43,50
2020년06월_여_20~29세,"1,928","1,401",83,25,40,29,64,113,85,88
2020년06월_여_30~39세,"1,930","1,446",77,27,23,41,66,110,59,81
2020년06월_여_40~49세,"2,911","2,207",125,35,63,48,93,148,65,127
2020년06월_여_50~59세,"4,248","2,417",288,132,139,210,226,360,194,282
2020년06월_여_60~69세,"4,703","2,174",375,162,244,276,390,472,259,351
2020년06월_여_70~79세,"3,385","1,456",258,129,186,232,323,358,197,246
2020년06월_여_80~89세,"2,497",793,220,132,175,260,272,316,167,162
2020년06월_여_90~99세,423,137,41,24,37,33,33,58,25,35
2020년06월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
