카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년02월_계_총인구수,"30,750","9,948","2,140","2,250","3,572","1,533","1,914","2,322","2,747","2,207","2,117"
2021년02월_계_연령구간인구수,"30,750","9,948","2,140","2,250","3,572","1,533","1,914","2,322","2,747","2,207","2,117"
2021년02월_계_0~9세,"1,248",631,53,72,145,40,51,76,81,54,45
2021년02월_계_10~19세,"2,005",962,87,85,258,85,107,110,98,111,102
2021년02월_계_20~29세,"2,569","1,211",147,150,318,85,117,132,173,125,111
2021년02월_계_30~39세,"2,070",930,102,114,264,75,99,108,137,122,119
2021년02월_계_40~49세,"3,087","1,241",176,219,407,130,167,195,217,170,165
2021년02월_계_50~59세,"5,234","1,667",355,427,611,305,311,368,477,339,374
2021년02월_계_60~69세,"6,229","1,578",471,525,686,331,435,531,614,537,521
2021년02월_계_70~79세,"4,511",996,381,344,502,242,343,456,493,395,359
2021년02월_계_80~89세,"3,325",620,330,277,337,207,248,310,413,305,278
2021년02월_계_90~99세,453,105,38,36,42,33,34,34,44,48,39
2021년02월_계_100세 이상,19,7,0,1,2,0,2,2,0,1,4
2021년02월_남_총인구수,"15,572","4,990","1,070","1,184","1,855",804,986,"1,175","1,361","1,110","1,037"
2021년02월_남_연령구간인구수,"15,572","4,990","1,070","1,184","1,855",804,986,"1,175","1,361","1,110","1,037"
2021년02월_남_0~9세,636,321,28,36,74,27,23,39,41,27,20
2021년02월_남_10~19세,"1,059",485,52,49,142,51,58,54,56,55,57
2021년02월_남_20~29세,"1,489",696,85,90,196,49,71,65,94,76,67
2021년02월_남_30~39세,"1,181",486,62,73,159,41,61,68,86,76,69
2021년02월_남_40~49세,"1,802",646,100,139,234,83,114,140,133,111,102
2021년02월_남_50~59세,"2,859",878,194,246,325,177,183,210,271,178,197
2021년02월_남_60~69세,"3,183",761,250,273,364,182,227,268,314,270,274
2021년02월_남_70~79세,"2,047",471,171,169,223,106,155,198,214,187,153
2021년02월_남_80~89세,"1,186",215,118,99,119,78,83,125,144,115,90
2021년02월_남_90~99세,125,27,10,10,19,10,10,8,8,15,8
2021년02월_남_100세 이상,5,4,0,0,0,0,1,0,0,0,0
2021년02월_여_총인구수,"15,178","4,958","1,070","1,066","1,717",729,928,"1,147","1,386","1,097","1,080"
2021년02월_여_연령구간인구수,"15,178","4,958","1,070","1,066","1,717",729,928,"1,147","1,386","1,097","1,080"
2021년02월_여_0~9세,612,310,25,36,71,13,28,37,40,27,25
2021년02월_여_10~19세,946,477,35,36,116,34,49,56,42,56,45
2021년02월_여_20~29세,"1,080",515,62,60,122,36,46,67,79,49,44
2021년02월_여_30~39세,889,444,40,41,105,34,38,40,51,46,50
2021년02월_여_40~49세,"1,285",595,76,80,173,47,53,55,84,59,63
2021년02월_여_50~59세,"2,375",789,161,181,286,128,128,158,206,161,177
2021년02월_여_60~69세,"3,046",817,221,252,322,149,208,263,300,267,247
2021년02월_여_70~79세,"2,464",525,210,175,279,136,188,258,279,208,206
2021년02월_여_80~89세,"2,139",405,212,178,218,129,165,185,269,190,188
2021년02월_여_90~99세,328,78,28,26,23,23,24,26,36,33,31
2021년02월_여_100세 이상,14,3,0,1,2,0,1,2,0,1,4
