카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년02월_계_총인구수,"266,989","15,957","32,960","12,600","16,937","15,625","44,869","17,247","12,507","8,706","8,271","13,688","6,954","13,223","13,995","8,807","15,937","8,706"
2021년02월_계_연령구간인구수,"266,989","15,957","32,960","12,600","16,937","15,625","44,869","17,247","12,507","8,706","8,271","13,688","6,954","13,223","13,995","8,807","15,937","8,706"
2021년02월_계_0~9세,"17,760",529,"2,786","1,038","1,069","1,783","3,416","1,407",497,533,499,687,284,629,761,351,"1,150",341
2021년02월_계_10~19세,"22,896",918,"3,141",874,"1,413","1,536","5,160","1,777",911,635,773,969,490,896,"1,198",381,"1,290",534
2021년02월_계_20~29세,"34,995","3,601","6,280","1,233","2,696","1,744","4,948","1,660","1,426",931,"1,024","1,534",660,"1,295","1,707","1,311","1,924","1,021"
2021년02월_계_30~39세,"29,855","1,836","4,235","1,759","1,957","2,207","4,129","1,832","1,156","1,033",807,"1,382",638,"1,259","1,295","1,310","2,180",840
2021년02월_계_40~49세,"41,706","2,075","5,675","1,886","2,626","2,779","7,736","2,877","1,644","1,338","1,266","1,962","1,037","1,851","2,157","1,196","2,435","1,166"
2021년02월_계_50~59세,"42,761","2,249","4,630","1,855","2,479","2,256","7,884","2,722","2,152","1,367","1,479","2,328","1,151","2,156","2,516","1,328","2,664","1,545"
2021년02월_계_60~69세,"41,121","2,360","3,440","1,997","2,451","1,833","6,411","2,803","2,531","1,617","1,362","2,599","1,342","2,705","2,313","1,400","2,314","1,643"
2021년02월_계_70~79세,"24,966","1,679","1,894","1,361","1,554","1,050","3,568","1,531","1,579",892,763,"1,567",958,"1,689","1,430",996,"1,364","1,091"
2021년02월_계_80~89세,"9,627",635,751,537,626,376,"1,411",548,540,308,257,591,359,635,554,469,558,472
2021년02월_계_90~99세,"1,169",64,115,51,60,54,200,81,65,42,39,54,31,97,59,53,56,48
2021년02월_계_100세 이상,133,11,13,9,6,7,6,9,6,10,2,15,4,11,5,12,2,5
2021년02월_남_총인구수,"130,623","8,008","16,050","6,144","8,194","7,524","21,612","8,481","6,052","4,214","4,213","6,982","3,429","6,530","6,834","4,368","7,728","4,260"
2021년02월_남_연령구간인구수,"130,623","8,008","16,050","6,144","8,194","7,524","21,612","8,481","6,052","4,214","4,213","6,982","3,429","6,530","6,834","4,368","7,728","4,260"
2021년02월_남_0~9세,"9,069",252,"1,435",534,568,867,"1,705",722,240,294,267,364,150,353,400,184,568,166
2021년02월_남_10~19세,"11,845",465,"1,619",463,717,809,"2,641",937,464,308,394,529,263,457,609,205,663,302
2021년02월_남_20~29세,"18,519","1,978","3,188",635,"1,334",870,"2,670",918,771,485,600,880,376,734,908,604,"1,008",560
2021년02월_남_30~39세,"15,309","1,065","2,068",898,989,"1,065","1,934",911,642,549,437,747,351,667,671,714,"1,139",462
2021년02월_남_40~49세,"20,927","1,094","2,779","1,005","1,301","1,359","3,603","1,427",838,681,636,"1,072",563,985,"1,089",659,"1,206",630
2021년02월_남_50~59세,"20,876","1,094","2,205",876,"1,215","1,078","3,801","1,316","1,030",646,763,"1,195",596,"1,086","1,242",703,"1,288",742
2021년02월_남_60~69세,"18,908","1,025","1,590",914,"1,102",823,"3,052","1,291","1,133",709,670,"1,248",569,"1,220","1,087",694,"1,029",752
2021년02월_남_70~79세,"11,190",748,854,590,683,489,"1,600",750,726,406,334,710,413,783,616,431,604,453
2021년02월_남_80~89세,"3,698",270,290,218,267,149,543,195,195,118,106,224,143,228,202,158,209,183
2021년02월_남_90~99세,259,15,20,10,17,15,61,13,13,15,5,10,5,15,9,13,14,9
2021년02월_남_100세 이상,23,2,2,1,1,0,2,1,0,3,1,3,0,2,1,3,0,1
2021년02월_여_총인구수,"136,366","7,949","16,910","6,456","8,743","8,101","23,257","8,766","6,455","4,492","4,058","6,706","3,525","6,693","7,161","4,439","8,209","4,446"
2021년02월_여_연령구간인구수,"136,366","7,949","16,910","6,456","8,743","8,101","23,257","8,766","6,455","4,492","4,058","6,706","3,525","6,693","7,161","4,439","8,209","4,446"
2021년02월_여_0~9세,"8,691",277,"1,351",504,501,916,"1,711",685,257,239,232,323,134,276,361,167,582,175
2021년02월_여_10~19세,"11,051",453,"1,522",411,696,727,"2,519",840,447,327,379,440,227,439,589,176,627,232
2021년02월_여_20~29세,"16,476","1,623","3,092",598,"1,362",874,"2,278",742,655,446,424,654,284,561,799,707,916,461
2021년02월_여_30~39세,"14,546",771,"2,167",861,968,"1,142","2,195",921,514,484,370,635,287,592,624,596,"1,041",378
2021년02월_여_40~49세,"20,779",981,"2,896",881,"1,325","1,420","4,133","1,450",806,657,630,890,474,866,"1,068",537,"1,229",536
