,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년10월_계_총인구수,"230,403","35,682","20,702","61,095","31,987","16,229","64,708"
2021년10월_계_연령구간인구수,"230,403","35,682","20,702","61,095","31,987","16,229","64,708"
2021년10월_계_0~9세,"22,117","3,720",832,"6,649","3,837","1,275","5,804"
2021년10월_계_10~19세,"24,873","4,151","1,149","7,175","3,358","1,909","7,131"
2021년10월_계_20~29세,"31,336","4,400","3,843","7,029","4,063","2,243","9,758"
2021년10월_계_30~39세,"37,661","5,288","4,991","9,447","5,694","2,343","9,898"
2021년10월_계_40~49세,"43,813","6,709","3,912","11,883","6,172","3,072","12,065"
2021년10월_계_50~59세,"33,932","5,500","2,936","8,520","4,340","2,547","10,089"
2021년10월_계_60~69세,"21,814","3,446","1,863","6,124","2,881","1,641","5,859"
2021년10월_계_70~79세,"9,954","1,630",792,"2,868","1,124",773,"2,767"
2021년10월_계_80~89세,"4,332",762,348,"1,225",439,383,"1,175"
2021년10월_계_90~99세,543,76,32,162,77,38,158
2021년10월_계_100세 이상,28,0,4,13,2,5,4
2021년10월_남_총인구수,"119,588","17,907","12,347","30,872","16,382","8,371","33,709"
2021년10월_남_연령구간인구수,"119,588","17,907","12,347","30,872","16,382","8,371","33,709"
2021년10월_남_0~9세,"11,280","1,902",412,"3,394","1,929",667,"2,976"
2021년10월_남_10~19세,"12,738","2,065",575,"3,635","1,707",985,"3,771"
2021년10월_남_20~29세,"17,009","2,313","2,252","3,694","2,151","1,244","5,355"
2021년10월_남_30~39세,"20,477","2,697","3,233","4,898","2,981","1,285","5,383"
2021년10월_남_40~49세,"23,358","3,403","2,467","6,293","3,239","1,585","6,371"
2021년10월_남_50~59세,"17,769","2,822","1,844","4,306","2,208","1,314","5,275"
2021년10월_남_60~69세,"10,815","1,703","1,041","2,920","1,441",814,"2,896"
2021년10월_남_70~79세,"4,417",700,375,"1,279",556,332,"1,175"
2021년10월_남_80~89세,"1,607",289,144,415,162,133,464
2021년10월_남_90~99세,111,13,4,35,8,9,42
2021년10월_남_100세 이상,7,0,0,3,0,3,1
2021년10월_여_총인구수,"110,815","17,775","8,355","30,223","15,605","7,858","30,999"
2021년10월_여_연령구간인구수,"110,815","17,775","8,355","30,223","15,605","7,858","30,999"
2021년10월_여_0~9세,"10,837","1,818",420,"3,255","1,908",608,"2,828"
2021년10월_여_10~19세,"12,135","2,086",574,"3,540","1,651",924,"3,360"
2021년10월_여_20~29세,"14,327","2,087","1,591","3,335","1,912",999,"4,403"
2021년10월_여_30~39세,"17,184","2,591","1,758","4,549","2,713","1,058","4,515"
2021년10월_여_40~49세,"20,455","3,306","1,445","5,590","2,933","1,487","5,694"
2021년10월_여_50~59세,"16,163","2,678","1,092","4,214","2,132","1,233","4,814"
2021년10월_여_60~69세,"10,999","1,743",822,"3,204","1,440",827,"2,963"
2021년10월_여_70~79세,"5,537",930,417,"1,589",568,441,"1,592"
2021년10월_여_80~89세,"2,725",473,204,810,277,250,711
2021년10월_여_90~99세,432,63,28,127,69,29,116
2021년10월_여_100세 이상,21,0,4,10,2,2,3
