카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년08월_계_총인구수,"118,372","30,543","10,292","4,673","13,600","7,850","9,612","3,859","3,754","4,564","6,815","17,730","5,080"
2020년08월_계_연령구간인구수,"118,372","30,543","10,292","4,673","13,600","7,850","9,612","3,859","3,754","4,564","6,815","17,730","5,080"
2020년08월_계_0~9세,"7,410","2,265",956,169,733,488,643,123,114,141,235,"1,312",231
2020년08월_계_10~19세,"9,927","3,284",912,245,"1,117",548,815,228,162,194,388,"1,714",320
2020년08월_계_20~29세,"10,573","3,507",823,323,"1,260",732,598,260,235,274,481,"1,675",405
2020년08월_계_30~39세,"10,884","3,237","1,213",377,"1,213",775,833,287,203,290,413,"1,662",381
2020년08월_계_40~49세,"16,366","4,835","1,662",515,"1,830","1,027","1,511",443,369,384,693,"2,492",605
2020년08월_계_50~59세,"20,925","5,391","1,682",904,"2,446","1,393","1,709",700,691,900,"1,292","2,914",903
2020년08월_계_60~69세,"22,167","4,310","1,677","1,181","2,638","1,593","2,011",926,941,"1,156","1,623","2,964","1,147"
2020년08월_계_70~79세,"12,949","2,403",907,690,"1,575",870,"1,013",565,607,703,"1,004","1,908",704
2020년08월_계_80~89세,"6,147","1,151",399,222,673,361,396,291,383,438,576,914,343
2020년08월_계_90~99세,956,146,57,45,105,59,78,36,41,76,107,167,39
2020년08월_계_100세 이상,68,14,4,2,10,4,5,0,8,8,3,8,2
2020년08월_남_총인구수,"59,475","15,284","5,088","2,367","6,859","3,958","4,759","1,965","1,897","2,263","3,476","8,980","2,579"
2020년08월_남_연령구간인구수,"59,475","15,284","5,088","2,367","6,859","3,958","4,759","1,965","1,897","2,263","3,476","8,980","2,579"
2020년08월_남_0~9세,"3,804","1,175",485,94,372,237,305,60,62,80,141,681,112
2020년08월_남_10~19세,"5,305","1,693",459,144,636,288,438,122,92,99,223,937,174
2020년08월_남_20~29세,"5,845","1,908",438,187,685,434,329,142,120,155,284,936,227
2020년08월_남_30~39세,"5,514","1,631",585,195,625,399,392,172,113,160,210,835,197
2020년08월_남_40~49세,"8,362","2,340",832,266,937,550,757,243,215,212,389,"1,290",331
2020년08월_남_50~59세,"10,732","2,800",832,446,"1,242",705,835,359,360,476,663,"1,536",478
2020년08월_남_60~69세,"10,961","2,145",815,567,"1,268",766,987,477,474,566,866,"1,467",563
2020년08월_남_70~79세,"6,372","1,149",469,368,771,427,542,279,296,333,471,909,358
2020년08월_남_80~89세,"2,337",404,154,91,295,136,154,106,159,163,196,350,129
2020년08월_남_90~99세,228,36,19,7,23,16,19,5,5,18,33,38,9
2020년08월_남_100세 이상,15,3,0,2,5,0,1,0,1,1,0,1,1
2020년08월_여_총인구수,"58,897","15,259","5,204","2,306","6,741","3,892","4,853","1,894","1,857","2,301","3,339","8,750","2,501"
2020년08월_여_연령구간인구수,"58,897","15,259","5,204","2,306","6,741","3,892","4,853","1,894","1,857","2,301","3,339","8,750","2,501"
2020년08월_여_0~9세,"3,606","1,090",471,75,361,251,338,63,52,61,94,631,119
2020년08월_여_10~19세,"4,622","1,591",453,101,481,260,377,106,70,95,165,777,146
2020년08월_여_20~29세,"4,728","1,599",385,136,575,298,269,118,115,119,197,739,178
2020년08월_여_30~39세,"5,370","1,606",628,182,588,376,441,115,90,130,203,827,184
2020년08월_여_40~49세,"8,004","2,495",830,249,893,477,754,200,154,172,304,"1,202",274
2020년08월_여_50~59세,"10,193","2,591",850,458,"1,204",688,874,341,331,424,629,"1,378",425
2020년08월_여_60~69세,"11,206","2,165",862,614,"1,370",827,"1,024",449,467,590,757,"1,497",584
2020년08월_여_70~79세,"6,577","1,254",438,322,804,443,471,286,311,370,533,999,346
2020년08월_여_80~89세,"3,810",747,245,131,378,225,242,185,224,275,380,564,214
2020년08월_여_90~99세,728,110,38,38,82,43,59,31,36,58,74,129,30
2020년08월_여_100세 이상,53,11,4,0,5,4,4,0,7,7,3,7,1
