카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년02월_계_총인구수,"31,957","10,175","3,187","2,182","2,037","4,451","2,248","1,571","2,280","1,774","2,052"
2020년02월_계_연령구간인구수,"31,957","10,175","3,187","2,182","2,037","4,451","2,248","1,571","2,280","1,774","2,052"
2020년02월_계_0~9세,"1,488",660,108,51,79,190,58,37,60,35,210
2020년02월_계_10~19세,"1,927",905,143,106,82,245,98,78,110,42,118
2020년02월_계_20~29세,"2,157",937,163,151,107,265,108,77,121,102,126
2020년02월_계_30~39세,"2,098",838,169,136,105,254,102,64,113,70,247
2020년02월_계_40~49세,"3,387","1,344",254,188,169,419,220,141,208,147,297
2020년02월_계_50~59세,"5,952","1,816",630,399,358,868,448,342,462,288,341
2020년02월_계_60~69세,"6,541","1,607",748,500,452,943,558,399,528,439,367
2020년02월_계_70~79세,"4,790","1,175",554,354,366,716,385,242,398,380,220
2020년02월_계_80~89세,"3,120",752,367,260,279,456,237,167,245,244,113
2020년02월_계_90~99세,469,135,48,36,39,88,29,23,34,24,13
2020년02월_계_100세 이상,28,6,3,1,1,7,5,1,1,3,0
2020년02월_남_총인구수,"16,082","5,023","1,590","1,065","1,026","2,213","1,128",796,"1,201",912,"1,128"
2020년02월_남_연령구간인구수,"16,082","5,023","1,590","1,065","1,026","2,213","1,128",796,"1,201",912,"1,128"
2020년02월_남_0~9세,787,354,57,29,41,102,34,21,30,16,103
2020년02월_남_10~19세,"1,044",448,89,49,43,146,54,50,71,26,68
2020년02월_남_20~29세,"1,236",528,92,94,64,144,64,40,80,64,66
2020년02월_남_30~39세,"1,132",406,97,75,64,127,52,35,75,42,159
2020년02월_남_40~49세,"1,985",712,142,120,107,247,140,80,133,101,203
2020년02월_남_50~59세,"3,178",967,326,199,198,449,235,177,259,167,201
2020년02월_남_60~69세,"3,411",817,400,254,244,481,294,224,277,222,198
2020년02월_남_70~79세,"2,110",506,250,151,153,320,178,107,180,174,91
2020년02월_남_80~89세,"1,087",267,125,85,100,170,69,55,91,92,33
2020년02월_남_90~99세,107,17,12,8,12,24,8,7,5,8,6
2020년02월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년02월_여_총인구수,"15,875","5,152","1,597","1,117","1,011","2,238","1,120",775,"1,079",862,924
2020년02월_여_연령구간인구수,"15,875","5,152","1,597","1,117","1,011","2,238","1,120",775,"1,079",862,924
2020년02월_여_0~9세,701,306,51,22,38,88,24,16,30,19,107
2020년02월_여_10~19세,883,457,54,57,39,99,44,28,39,16,50
2020년02월_여_20~29세,921,409,71,57,43,121,44,37,41,38,60
2020년02월_여_30~39세,966,432,72,61,41,127,50,29,38,28,88
2020년02월_여_40~49세,"1,402",632,112,68,62,172,80,61,75,46,94
2020년02월_여_50~59세,"2,774",849,304,200,160,419,213,165,203,121,140
2020년02월_여_60~69세,"3,130",790,348,246,208,462,264,175,251,217,169
2020년02월_여_70~79세,"2,680",669,304,203,213,396,207,135,218,206,129
2020년02월_여_80~89세,"2,033",485,242,175,179,286,168,112,154,152,80
2020년02월_여_90~99세,362,118,36,28,27,64,21,16,29,16,7
2020년02월_여_100세 이상,23,5,3,0,1,4,5,1,1,3,0
