카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년06월_계_총인구수,"38,687","4,226",239,"5,757",232,221,"1,454",319,"3,214","2,287","3,516","2,487",216,"2,222",446,208,474,319,"1,733","1,537","1,551","2,717",287,987,"2,038"
2021년06월_계_연령구간인구수,"38,687","4,226",239,"5,757",232,221,"1,454",319,"3,214","2,287","3,516","2,487",216,"2,222",446,208,474,319,"1,733","1,537","1,551","2,717",287,987,"2,038"
2021년06월_계_0~9세,"1,499",138,6,206,10,15,38,11,165,74,138,107,9,76,11,11,21,10,65,67,77,112,16,21,95
2021년06월_계_10~19세,"2,013",226,6,297,3,5,44,10,231,106,202,203,6,110,21,18,26,21,102,102,66,97,8,30,73
2021년06월_계_20~29세,"2,686",271,12,465,8,6,96,18,231,136,214,167,8,190,53,12,46,29,116,140,76,200,22,50,120
2021년06월_계_30~39세,"2,606",253,13,418,17,14,84,18,212,136,222,167,14,187,49,16,49,24,116,116,99,175,30,61,116
2021년06월_계_40~49세,"4,229",437,19,615,20,20,177,37,406,222,395,263,28,297,81,24,82,41,190,210,157,218,27,83,180
2021년06월_계_50~59세,"6,950",757,46,"1,091",33,32,292,64,585,428,623,375,60,422,100,40,108,65,314,266,238,449,44,150,368
2021년06월_계_60~69세,"7,822",894,57,"1,275",62,49,255,69,604,488,712,462,43,373,70,43,71,62,324,286,333,567,65,218,440
2021년06월_계_70~79세,"6,254",716,38,817,52,51,269,62,505,397,607,399,31,322,37,23,38,41,284,211,284,473,45,211,341
2021년06월_계_80~89세,"4,092",472,40,499,25,27,181,29,256,275,351,315,15,197,23,19,32,18,197,122,195,362,27,141,274
2021년06월_계_90~99세,524,62,2,73,2,2,17,1,19,24,52,28,2,45,1,2,1,8,25,15,24,63,3,22,31
2021년06월_계_100세 이상,12,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년06월_남_총인구수,"20,652","2,205",126,"3,120",117,128,796,184,"1,708","1,203","1,863","1,272",124,"1,240",286,119,269,190,921,834,823,"1,409",155,491,"1,069"
2021년06월_남_연령구간인구수,"20,652","2,205",126,"3,120",117,128,796,184,"1,708","1,203","1,863","1,272",124,"1,240",286,119,269,190,921,834,823,"1,409",155,491,"1,069"
2021년06월_남_0~9세,764,77,3,110,5,11,17,4,75,42,75,52,7,34,7,5,11,4,31,30,43,55,8,9,49
2021년06월_남_10~19세,"1,031",115,2,140,0,3,24,9,121,52,99,93,3,63,12,11,15,11,56,53,28,52,6,18,45
2021년06월_남_20~29세,"1,620",166,9,278,5,5,58,9,144,79,110,103,3,119,36,7,20,19,71,79,49,123,14,39,75
2021년06월_남_30~39세,"1,644",153,8,264,12,11,61,16,121,93,146,108,6,120,40,12,36,15,67,68,61,102,18,34,72
2021년06월_남_40~49세,"2,817",282,14,398,14,15,132,26,272,142,245,159,22,212,61,19,58,31,126,142,109,147,17,56,118
2021년06월_남_50~59세,"4,254",449,31,635,19,21,193,45,357,245,401,221,40,273,71,25,70,48,195,164,160,276,23,78,214
