카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년06월_계_총인구수,"549,901","27,973","43,728","24,140","27,083","11,335","3,667","27,363","6,656","5,189","44,218","25,370","20,137","12,785","22,033","7,035","5,674","22,748","10,585","4,119","88,566","54,049","25,805","29,643"
2021년06월_계_연령구간인구수,"549,901","27,973","43,728","24,140","27,083","11,335","3,667","27,363","6,656","5,189","44,218","25,370","20,137","12,785","22,033","7,035","5,674","22,748","10,585","4,119","88,566","54,049","25,805","29,643"
2021년06월_계_0~9세,"49,436","1,602","3,821","1,817","3,958",476,113,"3,056",299,143,"2,829","1,263","2,360",683,"1,574",586,157,998,520,126,"11,312","5,705","3,424","2,614"
2021년06월_계_10~19세,"53,846","1,833","5,730","1,919","3,290",813,209,"2,086",492,280,"4,819","2,245","1,843",885,"2,165",483,270,"1,701",634,220,"9,655","6,178","3,180","2,916"
2021년06월_계_20~29세,"75,943","3,144","5,943","3,183","2,416","1,481",345,"4,237",689,428,"7,302","3,717","2,625","2,542","2,918","1,044",705,"3,998","1,623",626,"11,612","7,301","3,587","4,477"
2021년06월_계_30~39세,"83,132","3,149","5,559","3,858","4,778","1,348",334,"5,457",612,340,"5,408","3,035","3,402","2,293","2,602","1,227",639,"2,977","1,472",427,"17,050","8,055","4,723","4,387"
2021년06월_계_40~49세,"95,388","4,047","8,445","4,616","5,552","1,672",466,"4,420",885,587,"7,508","4,096","3,683","2,122","3,699","1,125",762,"3,370","1,565",520,"16,892","9,428","5,251","4,677"
2021년06월_계_50~59세,"88,569","5,034","7,077","3,909","3,012","2,101",670,"3,960","1,240",944,"8,186","4,818","3,245","1,966","4,044","1,084",998,"4,207","1,857",781,"12,029","8,739","3,283","5,385"
2021년06월_계_60~69세,"58,470","4,684","4,003","2,776","2,289","1,863",769,"2,421","1,228","1,143","4,708","3,382","1,842","1,236","2,877",764,"1,010","3,080","1,562",757,"6,283","5,154","1,534","3,105"
2021년06월_계_70~79세,"28,471","2,715","1,961","1,289","1,095","1,017",464,"1,084",694,782,"2,229","1,805",706,707,"1,367",449,685,"1,578",873,446,"2,459","2,216",537,"1,313"
2021년06월_계_80~89세,"14,596","1,579","1,040",652,581,499,266,542,450,470,"1,095",898,368,313,671,235,361,756,429,190,"1,121","1,144",251,685
2021년06월_계_90~99세,"1,959",177,145,117,108,63,31,99,66,69,131,108,62,36,102,37,64,81,49,26,149,121,35,83
2021년06월_계_100세 이상,91,9,4,4,4,2,0,1,1,3,3,3,1,2,14,1,23,2,1,0,4,8,0,1
2021년06월_남_총인구수,"285,580","14,579","22,569","14,544","14,301","6,239","2,003","14,508","3,576","2,743","22,783","12,862","10,528","7,014","11,050","3,654","2,886","11,784","5,524","2,146","44,983","26,830","13,523","14,951"
2021년06월_남_연령구간인구수,"285,580","14,579","22,569","14,544","14,301","6,239","2,003","14,508","3,576","2,743","22,783","12,862","10,528","7,014","11,050","3,654","2,886","11,784","5,524","2,146","44,983","26,830","13,523","14,951"
2021년06월_남_0~9세,"25,143",816,"1,892",903,"2,018",232,57,"1,525",172,79,"1,408",622,"1,225",336,786,303,87,522,256,59,"5,756","2,920","1,810","1,359"
2021년06월_남_10~19세,"27,809",964,"2,889","1,021","1,707",429,123,"1,050",249,144,"2,487","1,166",913,433,"1,094",249,153,906,323,125,"5,004","3,241","1,657","1,482"
2021년06월_남_20~29세,"41,787","1,790","3,224","2,071","1,338",912,215,"2,476",402,255,"4,103","2,030","1,435","1,474","1,603",584,392,"2,156",924,356,"6,004","3,770","1,907","2,366"
2021년06월_남_30~39세,"45,535","1,785","3,072","2,588","2,480",862,188,"3,029",382,200,"3,089","1,731","1,775","1,412","1,317",675,386,"1,743",882,263,"8,785","4,052","2,510","2,329"
2021년06월_남_40~49세,"51,005","2,237","4,328","3,022","3,133","1,005",306,"2,453",533,372,"3,832","2,180","2,026","1,227","1,934",624,455,"1,793",836,286,"8,688","4,576","2,774","2,385"
2021년06월_남_50~59세,"46,675","2,830","3,879","2,488","1,707","1,155",378,"2,048",703,547,"4,196","2,446","1,682","1,075","2,043",576,533,"2,157",983,418,"6,127","4,286","1,749","2,669"
2021년06월_남_60~69세,"29,409","2,349","2,037","1,555","1,159",976,423,"1,201",647,596,"2,322","1,589",996,629,"1,440",385,468,"1,510",769,364,"3,099","2,553",783,"1,559"
2021년06월_남_70~79세,"12,532","1,184",846,635,544,479,218,520,317,377,951,741,323,299,566,166,265,688,377,194,"1,101",949,246,546
2021년06월_남_80~89세,"5,201",584,371,231,191,175,88,189,150,158,364,321,140,123,233,83,122,287,164,74,382,451,81,239
2021년06월_남_90~99세,458,38,31,30,24,14,7,16,21,14,31,35,13,6,26,8,15,22,10,7,36,31,6,17
2021년06월_남_100세 이상,26,2,0,0,0,0,0,1,0,1,0,1,0,0,8,1,10,0,0,0,1,1,0,0
2021년06월_여_총인구수,"264,321","13,394","21,159","9,596","12,782","5,096","1,664","12,855","3,080","2,446","21,435","12,508","9,609","5,771","10,983","3,381","2,788","10,964","5,061","1,973","43,583","27,219","12,282","14,692"
2021년06월_여_연령구간인구수,"264,321","13,394","21,159","9,596","12,782","5,096","1,664","12,855","3,080","2,446","21,435","12,508","9,609","5,771","10,983","3,381","2,788","10,964","5,061","1,973","43,583","27,219","12,282","14,692"
2021년06월_여_0~9세,"24,293",786,"1,929",914,"1,940",244,56,"1,531",127,64,"1,421",641,"1,135",347,788,283,70,476,264,67,"5,556","2,785","1,614","1,255"
2021년06월_여_10~19세,"26,037",869,"2,841",898,"1,583",384,86,"1,036",243,136,"2,332","1,079",930,452,"1,071",234,117,795,311,95,"4,651","2,937","1,523","1,434"
2021년06월_여_20~29세,"34,156","1,354","2,719","1,112","1,078",569,130,"1,761",287,173,"3,199","1,687","1,190","1,068","1,315",460,313,"1,842",699,270,"5,608","3,531","1,680","2,111"
2021년06월_여_30~39세,"37,597","1,364","2,487","1,270","2,298",486,146,"2,428",230,140,"2,319","1,304","1,627",881,"1,285",552,253,"1,234",590,164,"8,265","4,003","2,213","2,058"
2021년06월_여_40~49세,"44,383","1,810","4,117","1,594","2,419",667,160,"1,967",352,215,"3,676","1,916","1,657",895,"1,765",501,307,"1,577",729,234,"8,204","4,852","2,477","2,292"
2021년06월_여_50~59세,"41,894","2,204","3,198","1,421","1,305",946,292,"1,912",537,397,"3,990","2,372","1,563",891,"2,001",508,465,"2,050",874,363,"5,902","4,453","1,534","2,716"
2021년06월_여_60~69세,"29,061","2,335","1,966","1,221","1,130",887,346,"1,220",581,547,"2,386","1,793",846,607,"1,437",379,542,"1,570",793,393,"3,184","2,601",751,"1,546"
2021년06월_여_70~79세,"15,939","1,531","1,115",654,551,538,246,564,377,405,"1,278","1,064",383,408,801,283,420,890,496,252,"1,358","1,267",291,767
2021년06월_여_80~89세,"9,395",995,669,421,390,324,178,353,300,312,731,577,228,190,438,152,239,469,265,116,739,693,170,446
2021년06월_여_90~99세,"1,501",139,114,87,84,49,24,83,45,55,100,73,49,30,76,29,49,59,39,19,113,90,29,66
2021년06월_여_100세 이상,65,7,4,4,4,2,0,0,1,2,3,2,1,2,6,0,13,2,1,0,3,7,0,1
