,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년11월_계_총인구수,"262,988","25,655","36,273","20,926","6,005","5,569","3,338","3,766","3,033","10,086","6,643","20,175","36,810","29,850","16,298","38,561"
2020년11월_계_연령구간인구수,"262,988","25,655","36,273","20,926","6,005","5,569","3,338","3,766","3,033","10,086","6,643","20,175","36,810","29,850","16,298","38,561"
2020년11월_계_0~9세,"20,546","1,681","2,430","2,357",183,146,73,119,93,600,242,"2,051","2,870","3,293","1,064","3,344"
2020년11월_계_10~19세,"22,665","2,750","3,594","1,178",285,248,105,157,113,602,403,"1,981","4,043","2,245",797,"4,164"
2020년11월_계_20~29세,"35,989","3,818","5,386","3,149",520,473,204,276,260,"1,601","1,009","2,088","4,487","3,763","3,718","5,237"
2020년11월_계_30~39세,"33,148","2,559","3,973","4,182",504,409,206,215,196,"1,183",697,"2,761","4,018","4,486","2,841","4,918"
2020년11월_계_40~49세,"41,536","4,075","6,402","2,994",627,614,271,405,288,"1,330",829,"3,526","6,502","4,592","2,255","6,826"
2020년11월_계_50~59세,"44,759","4,233","6,937","2,831","1,205","1,073",612,726,609,"1,930","1,306","3,030","6,272","5,068","2,461","6,466"
2020년11월_계_60~69세,"34,639","3,280","4,004","2,311","1,384","1,276",861,863,696,"1,720","1,124","2,546","4,765","3,598","1,837","4,374"
2020년11월_계_70~79세,"19,366","2,100","2,281","1,224",802,836,593,558,485,775,658,"1,505","2,564","1,953",890,"2,142"
2020년11월_계_80~89세,"9,190","1,043","1,149",623,438,438,360,379,243,309,336,599,"1,147",765,390,971
2020년11월_계_90~99세,"1,084",104,110,73,51,53,51,65,48,34,36,79,137,84,43,116
2020년11월_계_100세 이상,66,12,7,4,6,3,2,3,2,2,3,9,5,3,2,3
2020년11월_남_총인구수,"132,410","12,878","18,904","11,105","3,223","2,826","1,757","1,950","1,542","4,890","3,302","9,931","17,627","14,333","8,860","19,282"
2020년11월_남_연령구간인구수,"132,410","12,878","18,904","11,105","3,223","2,826","1,757","1,950","1,542","4,890","3,302","9,931","17,627","14,333","8,860","19,282"
2020년11월_남_0~9세,"10,502",896,"1,249","1,238",104,71,36,58,49,291,130,"1,037","1,413","1,631",552,"1,747"
2020년11월_남_10~19세,"11,757","1,439","1,834",616,152,132,52,82,63,314,226,"1,074","1,980","1,128",433,"2,232"
2020년11월_남_20~29세,"19,758","2,138","3,083","1,743",316,274,139,168,156,831,546,"1,119","2,325","2,010","2,056","2,854"
2020년11월_남_30~39세,"17,766","1,402","2,254","2,367",287,252,131,128,108,613,404,"1,407","1,954","2,187","1,721","2,551"
2020년11월_남_40~49세,"21,268","1,986","3,303","1,723",383,381,178,240,173,645,422,"1,764","3,162","2,232","1,303","3,373"
2020년11월_남_50~59세,"22,472","2,167","3,731","1,457",691,528,343,405,333,908,659,"1,475","2,994","2,309","1,293","3,179"
2020년11월_남_60~69세,"16,922","1,578","2,073","1,174",738,661,473,478,346,819,536,"1,167","2,254","1,633",908,"2,084"
2020년11월_남_70~79세,"8,572",883,964,560,392,379,279,266,228,363,268,643,"1,091",878,453,925
2020년11월_남_80~89세,"3,143",362,379,210,148,139,118,111,72,99,102,226,421,301,135,320
2020년11월_남_90~99세,239,25,34,17,9,9,8,14,12,7,9,17,33,23,5,17
2020년11월_남_100세 이상,11,2,0,0,3,0,0,0,2,0,0,2,0,1,1,0
2020년11월_여_총인구수,"130,578","12,777","17,369","9,821","2,782","2,743","1,581","1,816","1,491","5,196","3,341","10,244","19,183","15,517","7,438","19,279"
2020년11월_여_연령구간인구수,"130,578","12,777","17,369","9,821","2,782","2,743","1,581","1,816","1,491","5,196","3,341","10,244","19,183","15,517","7,438","19,279"
2020년11월_여_0~9세,"10,044",785,"1,181","1,119",79,75,37,61,44,309,112,"1,014","1,457","1,662",512,"1,597"
2020년11월_여_10~19세,"10,908","1,311","1,760",562,133,116,53,75,50,288,177,907,"2,063","1,117",364,"1,932"
2020년11월_여_20~29세,"16,231","1,680","2,303","1,406",204,199,65,108,104,770,463,969,"2,162","1,753","1,662","2,383"
2020년11월_여_30~39세,"15,382","1,157","1,719","1,815",217,157,75,87,88,570,293,"1,354","2,064","2,299","1,120","2,367"
2020년11월_여_40~49세,"20,268","2,089","3,099","1,271",244,233,93,165,115,685,407,"1,762","3,340","2,360",952,"3,453"
2020년11월_여_50~59세,"22,287","2,066","3,206","1,374",514,545,269,321,276,"1,022",647,"1,555","3,278","2,759","1,168","3,287"
2020년11월_여_60~69세,"17,717","1,702","1,931","1,137",646,615,388,385,350,901,588,"1,379","2,511","1,965",929,"2,290"
2020년11월_여_70~79세,"10,794","1,217","1,317",664,410,457,314,292,257,412,390,862,"1,473","1,075",437,"1,217"
2020년11월_여_80~89세,"6,047",681,770,413,290,299,242,268,171,210,234,373,726,464,255,651
2020년11월_여_90~99세,845,79,76,56,42,44,43,51,36,27,27,62,104,61,38,99
2020년11월_여_100세 이상,55,10,7,4,3,3,2,3,0,2,3,7,5,2,1,3
