카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년09월_계_총인구수,"283,937","15,881","25,377","19,737","38,185","41,861","16,963","29,879","11,249","12,098","10,784","16,565","26,560","18,798"
2021년09월_계_연령구간인구수,"283,937","15,881","25,377","19,737","38,185","41,861","16,963","29,879","11,249","12,098","10,784","16,565","26,560","18,798"
2021년09월_계_0~9세,"18,610",850,"1,340",835,"1,999","3,930","1,190","2,478",383,431,408,"1,417","2,176","1,173"
2021년09월_계_10~19세,"22,645",758,"1,690","1,430","2,975","4,379","1,354","3,787",508,578,608,999,"2,283","1,296"
2021년09월_계_20~29세,"36,260","2,060","3,431","2,826","4,370","5,561","2,395","3,851","1,377","1,819","1,358","1,819","3,069","2,324"
2021년09월_계_30~39세,"33,752","2,242","3,083","1,882","3,704","5,237","2,072","3,150","1,281","1,517","1,089","3,017","3,247","2,231"
2021년09월_계_40~49세,"39,976","1,929","3,345","2,719","5,000","6,467","2,216","5,294","1,265","1,451","1,436","2,253","4,074","2,527"
2021년09월_계_50~59세,"52,677","2,998","4,958","4,170","7,322","8,122","3,385","5,412","2,003","2,172","1,898","2,588","4,369","3,280"
2021년09월_계_60~69세,"48,209","3,063","4,691","3,668","6,930","5,621","2,596","3,346","2,437","2,450","2,148","2,811","4,607","3,841"
2021년09월_계_70~79세,"21,969","1,380","2,021","1,611","3,690","1,841","1,187","1,735","1,307","1,161","1,293","1,218","1,981","1,544"
2021년09월_계_80~89세,"8,718",536,738,527,"1,984",606,492,732,606,457,495,395,652,498
2021년09월_계_90~99세,"1,085",63,76,65,208,94,73,91,76,62,50,46,100,81
2021년09월_계_100세 이상,36,2,4,4,3,3,3,3,6,0,1,2,2,3
2021년09월_남_총인구수,"140,255","8,021","12,989","10,159","18,458","20,550","8,291","14,633","5,549","6,030","5,275","8,123","13,017","9,160"
2021년09월_남_연령구간인구수,"140,255","8,021","12,989","10,159","18,458","20,550","8,291","14,633","5,549","6,030","5,275","8,123","13,017","9,160"
2021년09월_남_0~9세,"9,579",414,705,433,"1,036","2,031",631,"1,256",183,222,215,730,"1,113",610
2021년09월_남_10~19세,"11,781",365,895,776,"1,529","2,261",679,"1,996",278,299,319,510,"1,182",692
2021년09월_남_20~29세,"19,416","1,081","1,874","1,615","2,344","2,954","1,298","2,043",751,957,722,897,"1,615","1,265"
2021년09월_남_30~39세,"17,628","1,242","1,696","1,061","1,990","2,517","1,080","1,508",720,873,596,"1,575","1,630","1,140"
2021년09월_남_40~49세,"19,874","1,060","1,779","1,402","2,440","2,997","1,062","2,432",652,774,794,"1,172","2,034","1,276"
2021년09월_남_50~59세,"24,949","1,477","2,445","2,090","3,428","3,732","1,532","2,655","1,004","1,053",919,"1,153","2,045","1,416"
2021년09월_남_60~69세,"23,706","1,523","2,342","1,828","3,500","2,938","1,296","1,640","1,133","1,166",996,"1,349","2,188","1,807"
2021년09월_남_70~79세,"10,131",659,971,743,"1,547",910,532,778,605,523,552,599,966,746
2021년09월_남_80~89세,"2,981",184,273,203,595,198,164,299,205,152,154,136,225,193
2021년09월_남_90~99세,207,15,9,8,49,12,15,26,18,11,8,2,19,15
2021년09월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021년09월_여_총인구수,"143,682","7,860","12,388","9,578","19,727","21,311","8,672","15,246","5,700","6,068","5,509","8,442","13,543","9,638"
2021년09월_여_연령구간인구수,"143,682","7,860","12,388","9,578","19,727","21,311","8,672","15,246","5,700","6,068","5,509","8,442","13,543","9,638"
2021년09월_여_0~9세,"9,031",436,635,402,963,"1,899",559,"1,222",200,209,193,687,"1,063",563
2021년09월_여_10~19세,"10,864",393,795,654,"1,446","2,118",675,"1,791",230,279,289,489,"1,101",604
2021년09월_여_20~29세,"16,844",979,"1,557","1,211","2,026","2,607","1,097","1,808",626,862,636,922,"1,454","1,059"
2021년09월_여_30~39세,"16,124","1,000","1,387",821,"1,714","2,720",992,"1,642",561,644,493,"1,442","1,617","1,091"
2021년09월_여_40~49세,"20,102",869,"1,566","1,317","2,560","3,470","1,154","2,862",613,677,642,"1,081","2,040","1,251"
2021년09월_여_50~59세,"27,728","1,521","2,513","2,080","3,894","4,390","1,853","2,757",999,"1,119",979,"1,435","2,324","1,864"
2021년09월_여_60~69세,"24,503","1,540","2,349","1,840","3,430","2,683","1,300","1,706","1,304","1,284","1,152","1,462","2,419","2,034"
2021년09월_여_70~79세,"11,838",721,"1,050",868,"2,143",931,655,957,702,638,741,619,"1,015",798
2021년09월_여_80~89세,"5,737",352,465,324,"1,389",408,328,433,401,305,341,259,427,305
2021년09월_여_90~99세,878,48,67,57,159,82,58,65,58,51,42,44,81,66
2021년09월_여_100세 이상,33,1,4,4,3,3,1,3,6,0,1,2,2,3
